source 	 destination 	 fft 	 flow 	 cost(min)
1	2	4.5	1359.645057897149	595.0353933342544
6	5	4.5	0.0	4.5
8	5	9.0	736.6633857595893	15.361068759727903
3	2	4.5	0.0	4.5
5	2	4.5	539.6094583842444	19.150820653576787
2	5	4.5	1642.6860137586343	1262.735620944267
4	5	9.0	2025.264183919084	372.39628305595534
6	3	4.5	500.0000000000005	15.300000000000047
5	8	9.0	2462.106416580203	802.745052032648
2	3	4.5	1501.6679812507043	883.1975617005845
7	8	9.0	1615.0907581837696	155.97432668783867
9	8	9.0	1754.5550460584845	213.70183843426997
6	9	4.5	822.8028252360305	83.70030155082912
8	9	9.0	319.220098117525	9.224292451692024
3	6	4.5	1501.6679812507043	883.1975617005845
5	6	4.5	1433.666966690255	734.5235208634675
2	1	4.5	654.9005212720567	36.28667361250311
4	1	9.0	960.3905416157554	27.375757384170345
9	6	4.5	1087.4678772950765	246.16262407227282
1	4	9.0	2755.646004990663	1254.510684865268
8	7	9.0	875.8687369453396	21.71188195288857
5	4	9.0	969.2307417826049	28.061737001115308
7	4	9.0	875.8687369453396	21.71188195288857
4	7	9.0	2615.0907581837696	1019.1847656567809
