iteration 	 pChnage
0	Infinity
1	0.18870614904107358
2	0.10496587993552485
3	0.1361778789466569
4	0.10769173626016194
5	0.0909721752572072
6	0.06809399537381168
7	0.06964278438506182
8	0.055962025322364835
9	0.05169998391274997
10	0.04498807192433274
11	0.03494205113770917
12	0.019246564860637815
13	0.015275300570027283
14	0.016149120088228393
15	0.00976317677988707
16	0.009742454903803639
17	0.007156030087992739
18	0.008002191506043482
19	0.004919332412681963
20	0.004195143442764956
21	0.002820678132910634
22	0.0029622773752641983
23	0.0021345783553783013
24	0.001130009651410527
25	0.0012342164805579767
26	6.475187527413141E-4
27	6.855015525626084E-4
28	4.0505430682457564E-4
29	3.3126876188386417E-4
30	2.815963726894574E-4
31	2.472368181072869E-4
32	2.167257514019371E-4
33	1.913236407018535E-4
34	1.69436052155769E-4
35	1.507308861370794E-4
36	1.3502220480049738E-4
37	1.211594591594891E-4
38	1.3229156600072587E-4
39	9.10501699812598E-5
40	1.0343309543516586E-4
41	7.333438177580013E-5
42	8.348662701180678E-5
43	5.9673128862852805E-5
44	6.80890561545769E-5
45	4.9023263952667464E-5
46	5.611645063540336E-5
47	4.061309674292287E-5
48	4.676164297712248E-5
49	3.3903414775183116E-5
50	3.916922124636061E-5
51	3.21813378772631E-5
52	3.231172456608283E-5
53	2.6435475087711908E-5
54	2.6983197676462126E-5
55	2.204094178814036E-5
56	2.278470425834864E-5
57	1.8589990676994267E-5
58	1.9412482374835205E-5
59	1.582652974565831E-5
60	1.666381028357663E-5
61	1.3579752265411523E-5
62	1.4397245963441537E-5
63	1.173073843907976E-5
64	1.0637310669810396E-5
65	1.2399942613900023E-5
66	9.660522376050501E-6
67	1.0718583915950937E-5
68	8.516055288849345E-6
69	7.770880028580647E-6
70	9.274899162649795E-6
71	7.112096101494631E-6
72	8.079467833047275E-6
73	6.374290991504568E-6
74	5.8240155089213495E-6
75	7.04855786615147E-6
76	5.384772599174812E-6
77	4.983610882872098E-6
78	6.034187485358496E-6
79	4.286422927190179E-6
80	4.004939410965413E-6
81	3.816529350396958E-6
82	3.4577914644489136E-6
83	3.1432005310903345E-6
84	2.879075557016799E-6
85	2.640354699719957E-6
86	2.4249925536402397E-6
87	2.2307226641362187E-6
88	2.055325237040008E-6
89	2.8503196878062165E-6
90	1.7385421142421083E-6
91	1.687215172815146E-6
92	1.6400972084302618E-6
93	1.5957819490408038E-6
94	1.5593665222701833E-6
95	1.4506086303879935E-6
96	1.3502091892394623E-6
97	1.2584186014599538E-6
98	1.1738965399904919E-6
99	1.8264555442750264E-6
100	1.0269432881172778E-6
101	1.0076751522242718E-6
102	9.92906739978023E-7
103	9.783073680753223E-7
104	9.193991908382643E-7
105	8.657217680465994E-7
106	8.148606832750819E-7
107	1.3190694697421244E-6
108	7.284753316569372E-7
109	7.177701310331356E-7
110	7.09472967840974E-7
111	7.012519802299437E-7
112	6.949103020150244E-7
113	6.905068528970251E-7
114	1.1357726109345515E-6
115	6.264235414761799E-7
116	6.140088548383176E-7
117	6.062450214474462E-7
118	5.997838091441756E-7
119	5.933875229556429E-7
120	9.827794506370572E-7
121	5.48294504632345E-7
122	5.3674379366177E-7
123	5.293648667682784E-7
124	5.226906979318224E-7
125	5.162417841020999E-7
126	5.110316867089843E-7
127	8.590442479475927E-7
128	4.7260085834974184E-7
129	4.6404234278415636E-7
130	4.585619621270751E-7
131	4.532846075832817E-7
132	4.4816981384466573E-7
133	7.504489140132892E-7
134	4.147613616666964E-7
135	4.0769422447427846E-7
136	4.024345088662082E-7
137	3.98166695134601E-7
138	3.940199618894391E-7
139	6.58614768326936E-7
140	3.6402196451535843E-7
141	3.583927678534134E-7
142	3.537966869473936E-7
143	3.5036012479541777E-7
144	3.470127960081681E-7
145	5.799130184963801E-7
146	3.2000218115129324E-7
147	3.155306014221409E-7
148	3.116495850282665E-7
149	3.0888759473392034E-7
150	3.06191001702291E-7
151	5.119512970419598E-7
152	2.818546332774719E-7
153	2.7830629735107575E-7
154	2.750754579691105E-7
155	2.7285687346985284E-7
156	4.755791770645791E-7
157	2.650615140510663E-7
158	2.6179896101604706E-7
159	2.586893224697254E-7
160	2.5603939204838583E-7
161	2.540660589716333E-7
162	4.219062827408204E-7
163	2.3365537569991346E-7
164	2.3108928261993743E-7
165	2.2863056017388228E-7
166	2.266178718217117E-7
167	2.2503486933424667E-7
168	3.7471630537582894E-7
169	2.0652830098888715E-7
170	2.0449716296430647E-7
171	2.0254217526319306E-7
172	2.0095998089276442E-7
173	3.499996484519117E-7
174	1.9450640602174032E-7
175	1.9265406410078355E-7
176	1.9086846855910653E-7
177	1.891458625788846E-7
178	1.8786750626852192E-7
179	3.117643407677684E-7
180	1.7224931748768447E-7
181	1.707860946397895E-7
182	1.6936897671811313E-7
183	1.6799664361635577E-7
184	2.9199661117600176E-7
185	1.6233513176689225E-7
186	1.6100623984979298E-7
187	1.5971744861508593E-7
188	1.5846772905155136E-7
189	1.573299179359239E-7
190	2.60642587079151E-7
191	1.4407813778799366E-7
192	1.4302551002314485E-7
