FID,NewNodeID,Longitude,latitude,Manual_par
0,1,-106433489,31952085,0
1,2,-106549942,31883437,0
2,3,-104871684,31003580,0
3,4,-97981149,26141895,0
4,5,-98002086,26141420,0
5,6,-98030425,26158543,0
6,7,-98059666,26202923,0
7,8,-98086583,26146773,0
8,9,-98169414,26135052,0
9,10,-98179854,26096321,0
10,11,-98234234,26087638,0
11,12,-98263550,26125713,0
12,13,-98348580,26182875,0
13,14,-104451528,30725931,0
14,15,-98422394,26225051,0
15,16,-98468189,26236879,0
16,17,-98489592,26250215,0
17,18,-98436723,26258270,0
18,19,-98360578,26233783,0
19,20,-98311131,26176962,0
20,21,-98302949,26255041,0
21,22,-98313402,26286748,0
22,23,-98276038,26290253,0
23,24,-98261023,26257458,0
24,25,-103916099,30708946,0
25,26,-98244832,26255220,0
26,27,-98228953,26284349,0
27,28,-98218424,26327589,0
28,29,-98174865,26321091,0
29,30,-98137593,26314880,0
30,31,-98188308,26297351,0
31,32,-98145121,26270115,0
32,33,-98189606,26271339,0
33,34,-98112298,26216078,0
34,35,-98180429,26226785,0
35,36,-103861232,30601068,0
36,37,-98150931,26177920,0
37,38,-98191333,26167641,0
38,39,-98186016,26196253,0
39,40,-98179034,26204750,0
40,41,-98263536,26169131,0
41,42,-98222264,26166292,0
42,43,-98218566,26203378,0
43,44,-98252205,26205041,0
44,45,-98211162,26233744,0
45,46,-98230765,26243459,0
46,47,-104290533,30175426,0
47,48,-98256687,26234510,0
48,49,-98299110,26228726,0
49,50,-98302342,26204746,0
50,51,-98266237,26945592,0
51,52,-98248515,27217851,0
52,53,-98149643,27219770,0
53,54,-98129480,27228889,0
54,55,-97306566,25977593,0
55,56,-97313448,26069818,0
56,57,-97207608,26073228,0
57,58,-104129442,29623048,0
58,59,-97219354,26057246,0
59,60,-97166233,26105811,0
60,61,-97307954,26100792,0
61,62,-97342022,26164080,0
62,63,-97413229,26286057,0
63,64,-97442756,26150223,0
64,65,-97543573,26261975,0
65,66,-97553823,26210568,0
66,67,-97535139,26146600,0
67,68,-97709141,26276416,0
68,69,-104021209,30314306,0
69,70,-97779742,26294297,0
70,71,-97838944,26212574,0
71,72,-97382826,25887119,0
72,73,-97421675,25868092,0
73,74,-97436243,25908529,0
74,75,-97460760,25887840,0
75,76,-97517007,25892915,0
76,77,-97526393,25915612,0
77,78,-97515900,25919785,0
78,79,-97502598,25913110,0
79,80,-104025158,30306261,0
80,81,-97473642,25901459,0
81,82,-97466203,25909839,0
82,83,-97455515,25909681,0
83,84,-97438495,25925757,0
84,85,-97481024,25914704,0
85,86,-97469546,25932604,0
86,87,-97494468,25940466,0
87,88,-97502211,25932172,0
88,89,-97514673,25938822,0
89,90,-97525647,25937538,0
90,91,-104367076,29553980,0
91,92,-97446280,25959146,0
92,93,-97477682,25960932,0
93,94,-97499557,25967360,0
94,95,-97515820,25962326,0
95,96,-97531204,25958793,0
96,97,-97555332,25956233,0
97,98,-97495504,25998374,0
98,99,-97541564,25996250,0
99,100,-97585817,25989866,0
100,101,-97574191,26045434,0
101,102,-103659564,30371424,0
102,103,-97537379,26024283,0
103,104,-97633852,26052509,0
104,105,-97437057,26053858,0
105,106,-97516287,26055935,0
106,107,-97662747,26071632,0
107,108,-97703910,26091632,0
108,109,-97681029,26125389,0
109,110,-97762396,26099695,0
110,111,-97835104,26091954,0
111,112,-97844410,26142948,0
112,113,-106594574,31852944,0
113,114,-103652397,30357867,0
114,115,-97804668,26151340,0
115,116,-97748664,26164407,0
116,117,-97697519,26160048,0
117,118,-97798641,26214063,0
118,119,-97739893,26215786,0
119,120,-97695040,26234191,0
120,121,-97634160,26231064,0
121,122,-97585501,26218496,0
122,123,-97603211,26155780,0
123,124,-97636000,26200609,0
124,125,-103304567,29686683,0
125,126,-97627614,26124593,0
126,127,-97653856,26150248,0
127,128,-97664807,26178089,0
128,129,-97682934,26169630,0
129,130,-97674708,26195529,0
130,131,-97698291,26184661,0
131,132,-97680599,26208661,0
132,133,-97531340,26485185,0
133,134,-97899784,26468114,0
134,135,-103694268,29491617,0
135,136,-97821800,26404460,0
136,137,-97688989,26408405,0
137,138,-97677801,26331352,0
138,139,-97818352,26356341,0
139,140,-97663528,26477633,0
140,141,-97751162,26496580,0
