iteration 	 gap
0	NaN
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	1.1102230246251565E-16
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	2.220446049250313E-16
17	0.0
18	-2.220446049250313E-16
19	0.0
20	-2.220446049250313E-16
21	0.0
22	0.0
23	-2.220446049250313E-16
24	0.0
25	2.220446049250313E-16
26	-2.220446049250313E-16
27	2.220446049250313E-16
28	-2.220446049250313E-16
29	-4.440892098500626E-16
30	-2.220446049250313E-16
31	-4.440892098500626E-16
32	0.0
33	-2.220446049250313E-16
34	0.0
35	0.0
36	0.0
37	-2.220446049250313E-16
38	-2.220446049250313E-16
39	-2.220446049250313E-16
40	-2.220446049250313E-16
41	-2.220446049250313E-16
42	1.1102230246251565E-16
43	1.1102230246251565E-16
44	1.1102230246251565E-16
45	-2.220446049250313E-16
46	0.0
47	0.0
48	1.1102230246251565E-16
49	0.0
50	1.1102230246251565E-16
51	-2.220446049250313E-16
52	0.0
53	-2.220446049250313E-16
54	0.0
55	1.1102230246251565E-16
56	-2.220446049250313E-16
57	-2.220446049250313E-16
58	3.3306690738754696E-16
59	3.3306690738754696E-16
60	3.3306690738754696E-16
61	-2.220446049250313E-16
62	3.3306690738754696E-16
63	0.0
64	3.3306690738754696E-16
65	-2.220446049250313E-16
66	1.1102230246251565E-16
67	0.0
68	-2.220446049250313E-16
69	0.0
70	6.661338147750939E-16
71	0.0
72	-2.220446049250313E-16
73	0.0
74	0.0
75	3.3306690738754696E-16
76	1.1102230246251565E-16
77	4.440892098500626E-16
78	3.3306690738754696E-16
79	1.1102230246251565E-16
80	0.0
81	-2.220446049250313E-16
82	3.3306690738754696E-16
83	-2.220446049250313E-16
84	-2.220446049250313E-16
85	3.3306690738754696E-16
86	1.1102230246251565E-16
87	4.440892098500626E-16
88	3.3306690738754696E-16
89	3.3306690738754696E-16
90	0.0
91	1.1102230246251565E-16
