source 	 destination 	 fft 	 flow 	 cost(min)
1	2	6.0	35026.2957661827	9.010279617980038
23	22	4.0	29199.214542445745	701.8400803194244
19	15	3.0	33346.22480510174	15.364788575374632
12	3	4.0	43606.30669665542	11.23148044035872
17	16	2.0	18079.942699016174	44.84819892423358
3	1	4.0	40956.33542449813	9.62748518595789
14	11	4.0	15257.249394856788	61.49371411241167
5	9	5.0	20859.945348942096	19.200836541703403
11	10	5.0	12626.608165726197	6.906373872625565
20	21	6.0	0.0	6.0
7	8	3.0	22935.59247704001	35.92962727724954
4	3	4.0	30426.389224369952	9.999287932655943
10	9	3.0	0.0	3.0
6	2	5.0	798.9297192527126	5.000505598862643
22	20	5.0	15064.318224017657	63.19375331325545
11	14	4.0	36262.45121562552	1838.6110892456506
5	4	2.0	38063.62566360338	8.297408548477819
16	10	4.0	0.0	4.0
21	22	2.0	14096.062910087436	17.8319966714728
6	5	4.0	17587.659035300934	99.77810221169922
8	6	2.0	5679.7384902594085	2.5421894761416466
7	18	2.0	21135.056075562683	2.1995324880541895
9	10	3.0	2800.9771244845556	3.0007386173309323
12	13	3.0	29425.063141582734	3.749669105986641
22	15	3.0	26513.922933417867	29.192190940937756
17	10	8.0	18773.84403131671	247.7563569684005
20	22	5.0	7276.601246901227	8.168055269168853
17	19	2.0	22943.247800894896	155.50741123024483
13	12	3.0	39291.070079287914	5.3832819697425744
9	5	5.0	35442.92994851724	123.3531248190318
10	17	8.0	4552.886075227141	8.829286206941198
14	15	5.0	8157.150389821148	9.80378559318869
19	20	4.0	7610.06878305634	7.213067412962586
8	7	3.0	18486.783561793454	16.899282695495344
15	22	3.0	26562.022613661116	29.38277283531977
8	16	5.0	20743.48843104794	219.22025535623177
20	18	4.0	33267.404161601604	6.449659113437805
2	6	5.0	33425.36158921272	1554.0885282409772
20	19	4.0	13945.72817088105	40.235169056389935
18	20	4.0	15014.930976881607	4.10165373875305
4	5	2.0	13402.988406845927	2.0968116946890896
19	17	2.0	20047.147409493966	91.47878943644083
15	10	6.0	25101.514787762757	16.719227432438153
10	11	5.0	33049.02052448244	94.47374893906265
22	23	4.0	13346.035714209871	34.45652596208295
11	12	6.0	12646.074268573153	45.64191357540526
18	7	2.0	26085.023044523827	2.46298284484102
5	6	4.0	7048.328002648229	6.470463845761965
16	8	5.0	16214.595483445495	84.97566000300574
24	21	3.0	11225.256955385785	15.543312889958678
18	16	3.0	18199.161712844903	3.3290991731138764
14	23	4.0	41252.952720276466	2958.066910432226
15	19	3.0	23982.3169002104	6.307992755577368
21	20	6.0	16471.387037594104	107.06277665317286
3	12	4.0	30299.65092261901	5.685700813035156
15	14	5.0	19131.541448605316	150.35487107338975
10	16	4.0	0.0	4.0
16	17	2.0	34813.58046290487	591.0323376615937
23	14	4.0	8504.199337985723	9.33499353746202
13	24	4.0	22537.10312815763	234.37949761672374
12	11	6.0	8371.733472544693	13.613656373811708
21	24	3.0	3362.6140296965295	3.1010032093784528
24	23	2.0	14916.621230471646	24.328440436627663
4	11	6.0	8124.105424075934	12.752022800340661
9	8	10.0	10710.50032675561	40.345782323011946
11	4	6.0	5210.057358005773	7.142093648466829
8	9	10.0	31485.40744882702	2276.191333383558
22	21	2.0	22836.253719974196	111.0545552275495
2	1	6.0	2106.405340129673	6.000039372934486
24	13	4.0	30929.8531584231	821.2649835020754
23	24	2.0	31709.394336925347	457.9616635500129
3	4	4.0	9881.491979272849	4.066740296177762
16	18	3.0	5129.162484244483	3.002076381177406
10	15	6.0	26102.586290074974	18.534237642367426
6	8	2.0	28011.22315942645	322.7495214078539
1	3	4.0	7243.561845709415	4.005506031426401
