iteration 	 gap
0	0.18842087974290345
1	0.08992164809029868
2	0.1498363885212458
3	0.14823973889211506
4	0.15507438419459452
5	0.023784873103452786
6	0.10455408321326709
7	0.0460067650525714
8	0.15578881331926808
9	0.19207297635589005
10	0.46115823301869363
11	0.05063223856356536
12	0.04653248836939883
13	0.0617973541576623
14	0.05146859924814762
15	0.025738082299883724
16	0.04035869336418041
17	0.005776858169234567
18	0.01957146789601505
19	0.014223185944855943
20	0.025072657419282218
21	0.003346723772773341
22	4.371352320378108E-4
23	0.017289515511439535
24	0.010883397888564739
25	0.06749418286561715
26	0.04083466617614839
27	0.0013741847461556933
28	0.007077315653707172
29	0.03115924674686721
30	0.02986717311777809
31	0.0017634495254913451
32	0.03280598336508811
33	0.03337201576414506
34	0.01475121284742964
35	0.0015307150922905244
36	0.01854346552090158
37	0.007372789320936657
38	0.015885248048439715
39	0.0019176413201933418
40	0.008519472998701705
41	0.0064486778691353885
42	0.0016484799183662524
43	0.0014703342961955856
44	0.006362569486723868
45	0.005478150460381026
46	2.1536291450496847E-4
47	0.0017631686559375082
48	0.0019014759883791976
49	0.0015000540173076837
50	3.601230963609092E-4
51	7.382575230537869E-4
52	0.0016458299067095838
53	0.0013372744503097334
54	8.255591352527292E-4
55	2.695131008518814E-4
56	3.22477834921453E-4
57	1.2498873267585697E-4
58	3.462790538691918E-4
59	1.8273410383995436E-4
60	2.4551875388278965E-4
61	9.377547773892214E-5
62	3.512493454717047E-4
63	7.80715063751769E-5
64	1.2498803370808442E-4
65	2.0901351108992827E-5
66	1.546883337055771E-4
67	7.439148011312291E-5
68	3.0473983222312206E-5
69	1.7349742127081846E-5
70	8.150575719823028E-5
71	7.19376410730499E-5
72	5.134154850283679E-5
73	4.456747908498926E-7
74	1.2711863034753357E-5
75	4.212811297310548E-5
76	2.172758363006011E-5
77	9.756771384372698E-6
78	1.1862131729323266E-5
79	2.1798230738223623E-5
80	1.2064583006066165E-5
81	5.478842263317851E-6
82	2.1904888427570768E-6
83	4.4271631440828685E-6
84	5.171563639994048E-6
85	2.986842750574148E-6
86	2.1665251458413692E-6
87	4.549397751740791E-6
88	2.149068238255225E-6
89	3.3426893163435167E-6
90	1.4458072782330689E-6
91	7.607801808529047E-7
92	2.220274555875257E-6
93	1.4530771448306723E-6
94	1.400583721222759E-6
95	7.327816754498784E-7
96	8.056327530647778E-7
97	9.478562655873546E-7
98	1.0186198357020615E-6
99	7.258927733344578E-7
100	2.0332007200085656E-7
101	5.369772889673996E-7
102	5.296338553284485E-7
103	1.448324226105413E-7
104	2.448075431260577E-7
105	2.8616289093896796E-7
106	2.6784594653328497E-7
107	1.3161331957611822E-7
108	2.015056133064519E-8
109	1.0842714559533562E-7
110	1.2854362996250757E-7
111	2.7172295413713243E-8
112	2.9347286933933958E-8
113	5.29745918242952E-8
114	5.978735995171292E-8
115	3.4247693458944184E-8
116	3.196510500735883E-8
117	3.1748405571185856E-8
118	3.4175331786734375E-8
119	2.553589639742171E-8
120	1.7151736253495642E-8
121	1.178872355289684E-8
122	9.299188197253727E-9
123	4.9432459237053195E-9
124	1.334825572296694E-8
125	2.667562504221621E-9
126	3.3678726474306586E-11
127	5.1193534966742504E-9
128	1.160562201896198E-9
129	3.0706828191284785E-9
130	4.2564223257102185E-9
131	1.0643277370547821E-9
132	8.663120221186205E-10
133	2.981098035093055E-9
134	6.264877505657296E-11
135	1.050949771652654E-9
136	6.248389583518588E-10
137	4.3058911991522564E-10
138	4.7312043172098583E-11
139	1.0529898064604026E-9
140	5.891959142800829E-10
141	4.344912207798757E-10
142	3.4387825920134674E-11
143	2.182665159722319E-10
144	2.440596613695334E-10
145	4.326888847216992E-10
146	6.198985769145793E-11
147	2.217753758415597E-10
148	3.021172201300715E-11
