iteration 	 gap
0	NaN
1	0.6275703837154702
2	0.6019667104973837
3	0.302127548735199
4	0.2543537836221741
5	0.11979000853840027
6	0.10391574355735256
7	0.10391574355735256
8	0.09747381500924968
9	0.08207474205175591
10	0.0818258557161502
11	0.0818258557161502
12	0.08329791455915547
13	0.08329791455915547
14	0.08668205176225019
15	0.08653757409174634
16	0.09149533249880437
17	0.054289894852682985
18	0.0606561763418767
19	0.042256848811740855
20	0.046448212748773754
21	0.034491086006300686
22	0.03969563523815889
23	0.028540125812950512
24	0.030714576546330252
25	0.035287621921104795
26	0.03545642346825728
27	0.018248632242688023
28	0.018813556718254465
29	0.018813556718254465
30	0.018860929091618406
31	0.006041571419657554
32	0.0060008341870274595
33	0.006644972882834499
34	0.0060575070578623436
35	0.0060575070578623436
36	0.00574683522479047
37	0.0038301139834765463
38	0.0036446614070323458
39	0.003370625476778577
40	0.0034121318673036027
41	0.007418016094112745
42	0.006642418318723031
43	0.006190691727066544
44	0.005664934814808009
45	0.006391109269395123
46	0.005917109322835512
47	0.005297643851027933
48	0.005217980755312657
49	0.005217980755312657
50	0.005093365060895749
51	0.004636326676769387
52	0.004576936862454084
53	0.0039023390155767945
54	0.0038988232279628665
55	3.9738986771531426E-4
56	5.64892712786369E-4
57	5.64892712786369E-4
58	7.479250779487412E-4
59	4.4811206704520323E-4
60	5.60908859600806E-4
61	5.60908859600806E-4
62	6.94192343362876E-4
63	6.94192343362876E-4
64	8.339918880780894E-4
65	8.339918880780894E-4
66	9.432872559420602E-4
67	6.986117678554615E-4
68	8.935732685294573E-4
69	8.935732685294573E-4
70	0.0012721304996065053
71	9.36870288578584E-4
72	0.00126933003110008
73	3.962459818370734E-4
74	8.846271907702041E-4
75	8.846271907702041E-4
76	0.0013973048844593272
77	3.329276643100343E-4
78	8.895138458376861E-4
79	3.4384135244569514E-4
80	9.43228823494513E-4
81	3.649750342591407E-4
82	9.900945184927457E-4
83	3.571695105006878E-4
84	0.0010086511184648206
85	6.382232483181927E-5
86	7.406685299502502E-4
87	4.322530699440996E-5
88	7.017687899992797E-4
89	4.13108457312239E-5
90	6.778738224247904E-4
91	4.201120465918695E-5
92	6.549307512749847E-4
93	4.423689313370893E-5
94	6.040523991872604E-4
95	4.621559551964971E-5
96	5.900288126483577E-4
97	5.1729583276372004E-5
98	5.536488069167733E-4
99	5.507321250131092E-5
100	5.349387572980424E-4
101	2.429476775855921E-5
102	4.519010064460982E-4
103	3.166804080645402E-5
104	4.2676748009151666E-4
105	3.928433779032403E-5
106	4.103926977021555E-4
107	2.166734024111605E-5
108	3.6542705177045054E-4
109	3.152936538364237E-5
110	3.5023794319777313E-4
111	2.287370396913957E-5
112	3.1621379596546983E-4
113	2.097762442909712E-5
114	2.9715744705649527E-4
115	2.1504411894301967E-5
116	2.744060584648489E-4
117	1.9911304235731286E-5
118	2.5776017975154275E-4
119	1.9713813300459293E-5
120	2.3968618986180967E-4
121	1.8670708784807033E-5
122	2.2596117603224108E-4
123	1.8351414985406933E-5
124	2.108078388335377E-4
125	1.7384546176169025E-5
126	1.9883543285970084E-4
127	1.3821287575987995E-5
128	1.8278649823944004E-4
129	1.2708085959878268E-5
130	1.7212557761259184E-4
131	1.1965265538260716E-5
132	1.6068365586807687E-4
133	1.1170943906901876E-5
134	1.5165218903234745E-4
135	1.0541769736471807E-5
136	1.418895485740812E-4
137	5.625484599813824E-6
138	1.2986900634404108E-4
139	5.329051585789557E-6
140	1.2168700228154528E-4
141	5.011006861899148E-6
142	1.1507156687384779E-4
143	4.7652767164452214E-6
144	1.7004168174050704E-4
145	8.767386690644585E-6
146	1.060733830706706E-4
147	4.5612542162176695E-6
148	9.665024123051147E-5
149	4.078086650705082E-6
150	1.4328250150608124E-4
151	7.462537519042911E-6
152	8.907056150364578E-5
153	3.884017045541199E-6
154	8.101689590289674E-5
155	3.463482564081133E-6
156	1.2081700361021852E-4
157	6.346029550075016E-6
158	7.475386458932753E-5
159	3.2931487545795335E-6
160	6.803648028164133E-5
161	2.9357548122499466E-6
162	1.0213912301781924E-4
163	5.398006556522894E-6
164	6.300448899088096E-5
165	2.7949392934489836E-6
166	5.735098107384484E-5
167	2.4911194839161155E-6
168	8.656826452035915E-5
169	4.596925153754761E-6
170	5.3242728416669216E-5
171	2.3756854432566143E-6
172	4.8470307942749535E-5
173	2.117117347655295E-6
174	7.350884046286588E-5
175	3.919170715738218E-6
176	4.509341951486334E-5
177	2.0219548877431492E-6
178	4.102279219131422E-5
179	1.8013689750961959E-6
180	3.876059960206124E-5
181	1.7002382910469294E-6
