source	destination	fft(min)	flow	cost(min)
11	10	5.0	17604.13	12.203101666666667
11	12	6.0	8365.6431	13.591525
22	20	5.0	7000.0	7.71313
22	21	2.0	8606.4874	4.200128333333334
16	8	5.0	8406.6171	10.778543333333333
5	9	5.0	15780.6573	9.651163333333333
10	11	5.0	17726.4986	12.405478333333333
21	22	2.0	8618.8331	4.21278
21	24	3.0	10309.4182	11.924085
15	14	5.0	9079.7322	12.374318333333333
4	11	6.0	5200.0	7.1333
9	5	5.0	15797.2178	9.670718333333333
15	22	3.0	18408.9866	9.086888333333333
9	8	10.0	6836.5125	15.0373
20	22	5.0	7000.0	7.71313
14	15	5.0	9036.3385	12.234353333333333
8	7	3.0	12040.801	5.501315
8	9	10.0	6882.2174	15.173361666666667
8	16	5.0	8388.5409	10.729003333333333
13	12	3.0	12378.5522	3.0234783333333333
24	21	3.0	10259.7666	11.753405
7	8	3.0	12100.998	5.551711666666667
12	11	6.0	8405.0656	13.735638333333334
12	13	3.0	12288.2587	3.0228016666666666
11	4	6.0	5300.0	7.223025
22	15	3.0	18385.875	9.05638
