source 	 destination 	 fft 	 flow 	 cost(min)
1	2	6.0	12191.129675998167	6.044177974392209
23	22	4.0	28704.07492582052	655.6965967135563
19	15	3.0	36623.450499726	20.990243306904983
12	3	4.0	15941.708081101307	4.129172303637763
17	16	2.0	19532.985663042924	60.37392527839705
3	1	4.0	25669.131293880877	4.868309757236671
14	11	4.0	26535.83410437802	530.0734178428665
5	9	5.0	14279.408875602961	8.118187173206685
11	10	5.0	16248.178707365338	10.227331128558976
20	21	6.0	15231.960363406099	79.90838987369582
7	8	3.0	10638.303549131902	4.52418075616203
4	3	4.0	23295.473467223	6.061504116708278
10	9	3.0	36171.60967592113	23.542466572261436
6	2	5.0	7506.035529581564	8.939256358479714
11	14	4.0	27039.948325881865	571.2033841495465
22	20	5.0	5938.355925360178	6.405216822776864
5	4	2.0	35815.81077599175	6.9365143332395585
16	10	4.0	17879.674074738694	114.37282206649247
21	22	2.0	2882.0504307842343	2.027666274165938
6	5	4.0	18277.12641683316	115.70323228670568
8	6	2.0	22757.664674408483	141.74893246630933
7	18	2.0	22598.313641742923	2.2607979227368897
9	10	3.0	35180.503740169464	21.381860279833028
17	10	8.0	12620.011544537309	56.95491689560884
12	13	3.0	10961.476774403678	3.0144369772483808
22	15	3.0	15830.837316977002	6.328828442227685
20	22	5.0	5798.6108508601565	6.277539388911223
17	19	2.0	17549.470993149043	54.549172745634095
13	12	3.0	11657.61678132456	3.0184688178908727
9	5	5.0	15145.309261167778	8.946152338764534
10	17	8.0	11737.177169803954	44.62789408521836
19	20	4.0	11824.208519674414	22.72637985525492
14	15	5.0	7471.949284770019	8.381936120635787
8	7	3.0	9548.598368483677	3.9892486527655753
15	22	3.0	15751.85713524033	6.262893708770863
8	16	5.0	7637.134931094721	8.936001121656489
20	18	4.0	23112.577215080553	4.5707205311645
2	6	5.0	7208.612205452331	8.351030902799724
20	19	4.0	12381.558503268296	26.514731141295787
18	20	4.0	23396.299647950626	4.59926469944468
4	5	2.0	35053.64274990623	6.52953770993793
19	17	2.0	17984.48620290644	59.95646719320273
15	10	6.0	30020.658722678516	27.930303076309897
10	11	5.0	16635.642045757242	10.74406745242106
22	23	4.0	28404.842564641523	628.943534204088
11	12	6.0	6660.332358289865	9.050108610315679
18	7	2.0	23597.898012540496	2.310093940289065
5	6	4.0	18230.73091917645	114.57333320732174
16	8	5.0	7645.141370646896	8.952532423423099
18	16	3.0	20906.926479087524	3.5731681151854136
24	21	3.0	6324.448190710016	4.263914359900543
14	23	4.0	24679.820665618037	382.4148493444763
15	19	3.0	36500.87638915186	20.750605343735124
21	20	6.0	15026.097765129889	75.99312405794892
3	12	4.0	16104.166738889218	4.134518814064917
15	14	5.0	7509.652335893699	8.450714782719317
10	16	4.0	17553.59534882023	106.53876586700004
16	17	2.0	18307.58725435247	47.04730596962478
13	24	4.0	25310.468768880655	370.4816327682811
23	14	4.0	24099.621634435334	348.0654533319604
12	11	6.0	6638.450334693077	9.01022210113529
21	24	3.0	6408.6519900771245	4.332581702912912
24	23	2.0	31610.394229930473	452.2940315992953
9	8	10.0	1072.2061397141654	10.003047701733896
4	11	6.0	7275.928866184792	10.343956585880411
11	4	6.0	6998.634667598009	9.718647334078959
8	9	10.0	800.0	10.00094453760016
22	21	2.0	2812.9413551370294	2.025106552663761
2	1	6.0	12488.553000127386	6.0486495111737835
24	13	4.0	26004.470035624265	412.3602758017707
23	24	2.0	32336.909853318375	495.14042566502263
3	4	4.0	23007.99900483451	5.961613489718011
16	18	3.0	21790.233282755165	3.6763457634288046
10	15	6.0	29715.530350878373	27.052210653387107
6	8	2.0	22377.32157775201	132.6381841886201
1	3	4.0	25535.452671953302	4.850362774474716
