Origin 	 destination 	 od demand 	od travel time
1	2	100.0	6.044177974392209
1	3	100.0	4.850362774474716
1	4	500.0	122.78444272564873
1	5	200.0	22.01680488161562
1	6	300.0	14.395208877191932
1	7	500.0	268.44852413337776
1	8	800.0	147.35597258147413
1	9	500.0	25.459701147337345
1	10	1300.0	46.84156142717039
1	11	500.0	21.133610212459796
1	12	200.0	70.3586446795487
1	13	500.0	11.999318565788013
1	14	300.0	713.4739381499446
1	15	500.0	74.31408527167682
1	16	500.0	161.17130934442628
1	17	400.0	91.6678607690666
1	18	100.0	270.68502938899917
1	19	300.0	94.75452429089329
1	20	300.0	275.27507291396745
1	21	100.0	355.18346278766336
1	22	400.0	1490.471579646921
1	23	300.0	1559.6383031154676
1	24	100.0	382.4809513340691
2	1	100.0	6.0486495111737835
2	3	100.0	10.899012285648501
2	4	200.0	178.06351633085663
2	5	100.0	23.44996293433495
2	6	400.0	8.351030902799724
2	7	200.0	273.8706293775964
2	8	400.0	142.1733703605575
2	9	200.0	31.548099713004202
2	10	600.0	53.07752937244442
2	11	200.0	24.416828488011184
2	12	100.0	117.89343077144102
2	13	300.0	18.047968076961798
2	14	100.0	1177.4510153862807
2	15	100.0	87.61195438656925
2	16	400.0	230.1564602745555
2	17	200.0	311.1731757545092
2	19	100.0	100.88736064039442
2	20	100.0	280.72302252377955
2	22	100.0	1495.4524648711388
3	1	100.0	4.868309757236671
3	2	100.0	10.912487731628879
3	4	200.0	32.41981559759041
3	5	100.0	13.98787469385833
3	6	300.0	19.263518634428603
3	7	100.0	263.60591481016223
3	8	200.0	152.14407387633352
3	9	100.0	20.609338372862634
3	10	300.0	41.991198652695644
3	11	300.0	13.144740915200206
3	12	200.0	18.667176809331774
3	13	100.0	7.1489557913132975
3	14	100.0	1015.427158244613
3	15	100.0	69.4612008220707
3	16	200.0	166.27599081388666
3	17	100.0	189.62371218846351
3	22	100.0	1485.621216872446
3	23	100.0	2112.486067794882
4	1	500.0	54.918720966653275
4	2	200.0	84.60424810546274
4	3	200.0	26.96664855121894
4	5	500.0	134.11604650642502
4	6	400.0	183.00054462931894
4	7	400.0	257.73030375864533
4	8	700.0	1937.5945730469516
4	9	700.0	14.647724883144614
4	10	1200.0	36.02958516297764
4	11	1400.0	10.343956585880411
4	12	600.0	23.815618003708128
4	13	600.0	13.210459908021576
4	14	500.0	581.5473407354268
4	15	500.0	63.50210900748407
4	16	800.0	255.63307080566983
4	17	500.0	81.4209043814115
