iteration 	 gap
0	0.6275703837154702
1	0.302127548735199
2	0.11979000853840027
3	0.10391574355735256
4	0.08207474205175591
5	0.0818258557161502
6	0.08329791455915547
7	0.08653757409174634
8	0.054289894852682985
9	0.042256848811740855
10	0.034491086006300686
11	0.028540125812950512
12	0.035287621921104795
13	0.018248632242688023
14	0.018813556718254465
15	0.006041571419657554
16	0.006644972882834499
17	0.0060575070578623436
18	0.0038301139834765463
19	0.003370625476778577
20	0.007418016094112745
21	0.006190691727066544
22	0.006391109269395123
23	0.005297643851027933
24	0.005217980755312657
25	0.004636326676769387
26	0.0039023390155767945
27	3.9738986771531426E-4
28	5.64892712786369E-4
29	4.4811206704520323E-4
30	5.60908859600806E-4
31	6.94192343362876E-4
32	8.339918880780894E-4
33	6.986117678554615E-4
34	8.935732685294573E-4
35	9.36870288578584E-4
36	3.962459818370734E-4
37	8.846271907702041E-4
38	3.329276643100343E-4
39	3.4384135244569514E-4
40	3.649750342591407E-4
41	3.571695105006878E-4
42	6.382232483181927E-5
43	4.322530699440996E-5
44	4.13108457312239E-5
45	4.201120465918695E-5
46	4.423689313370893E-5
47	4.621559551964971E-5
48	5.1729583276372004E-5
49	5.507321250131092E-5
50	2.429476775855921E-5
51	3.166804080645402E-5
52	3.928433779032403E-5
53	2.166734024111605E-5
54	3.152936538364237E-5
55	2.287370396913957E-5
56	2.097762442909712E-5
57	2.1504411894301967E-5
58	1.9911304235731286E-5
59	1.9713813300459293E-5
60	1.8670708784807033E-5
61	1.8351414985406933E-5
62	1.7384546176169025E-5
63	1.3821287575987995E-5
64	1.2708085959878268E-5
65	1.1965265538260716E-5
66	1.1170943906901876E-5
67	1.0541769736471807E-5
68	5.625484599813824E-6
69	5.329051585789557E-6
70	5.011006861899148E-6
71	4.7652767164452214E-6
72	8.767386690644585E-6
73	4.5612542162176695E-6
74	4.078086650705082E-6
75	7.462537519042911E-6
76	3.884017045541199E-6
77	3.463482564081133E-6
78	6.346029550075016E-6
79	3.2931487545795335E-6
80	2.9357548122499466E-6
81	5.398006556522894E-6
82	2.7949392934489836E-6
83	2.4911194839161155E-6
84	4.596925153754761E-6
85	2.3756854432566143E-6
86	2.117117347655295E-6
87	3.919170715738218E-6
88	2.0219548877431492E-6
89	1.8013689750961959E-6
90	1.7002382910469294E-6
