source	dest	fft	coef	power	capacity
22	20	5.0	0.15	4.0	5075.697193
22	21	2.0	0.15	4.0	5229.910063
22	23	4.0	0.15	4.0	5000.0
16	10	4.0	0.15	4.0	4854.917717
16	17	2.0	0.15	4.0	5229.910063
16	18	3.0	0.15	4.0	19679.89671
10	9	3.0	0.15	4.0	13915.78842
21	20	6.0	0.15	4.0	5059.91234
21	22	2.0	0.15	4.0	5229.910063
10	15	6.0	0.15	4.0	13512.00155
10	16	4.0	0.15	4.0	4854.917717
21	24	3.0	0.15	4.0	4885.357564
10	17	8.0	0.15	4.0	4993.510694
15	10	6.0	0.15	4.0	13512.00155
15	14	5.0	0.15	4.0	5127.526119
15	19	3.0	0.15	4.0	14564.75315
15	22	3.0	0.15	4.0	9599.180565
9	10	3.0	0.15	4.0	13915.78842
20	18	4.0	0.15	4.0	23403.47319
20	19	4.0	0.15	4.0	5002.607563
20	21	6.0	0.15	4.0	5059.91234
20	22	5.0	0.15	4.0	5075.697193
14	15	5.0	0.15	4.0	5127.526119
14	23	4.0	0.15	4.0	4924.790605
19	15	3.0	0.15	4.0	14564.75315
19	17	2.0	0.15	4.0	4823.950831
19	20	4.0	0.15	4.0	5002.607563
24	21	3.0	0.15	4.0	4885.357564
18	7	2.0	0.15	4.0	23403.47319
24	23	2.0	0.15	4.0	5078.508436
18	16	3.0	0.15	4.0	19679.89671
18	20	4.0	0.15	4.0	23403.47319
23	14	4.0	0.15	4.0	4924.790605
7	18	2.0	0.15	4.0	23403.47319
23	22	4.0	0.15	4.0	5000.0
23	24	2.0	0.15	4.0	5078.508436
17	10	8.0	0.15	4.0	4993.510694
17	16	2.0	0.15	4.0	5229.910063
17	19	2.0	0.15	4.0	4823.950831
22	15	3.0	0.15	4.0	9599.180565
