source	dest	fft	coef	power	capacity
15	22	3.0	0.15	4.0	9599.180565
16	10	4.0	0.15	4.0	4854.917717
10	9	3.0	0.15	4.0	13915.78842
19	15	3.0	0.15	4.0	14564.75315
17	16	2.0	0.15	4.0	5229.910063
22	21	2.0	0.15	4.0	5229.910063
22	20	5.0	0.15	4.0	5075.697193
20	22	5.0	0.15	4.0	5075.697193
23	14	4.0	0.15	4.0	4924.790605
15	14	5.0	0.15	4.0	5127.526119
21	22	2.0	0.15	4.0	5229.910063
20	18	4.0	0.15	4.0	23403.47319
22	15	3.0	0.15	4.0	9599.180565
10	17	8.0	0.15	4.0	4993.510694
24	21	3.0	0.15	4.0	4885.357564
17	10	8.0	0.15	4.0	4993.510694
23	22	4.0	0.15	4.0	5000.0
17	19	2.0	0.15	4.0	4823.950831
9	10	3.0	0.15	4.0	13915.78842
14	15	5.0	0.15	4.0	5127.526119
19	20	4.0	0.15	4.0	5002.607563
7	18	2.0	0.15	4.0	23403.47319
16	17	2.0	0.15	4.0	5229.910063
22	23	4.0	0.15	4.0	5000.0
20	19	4.0	0.15	4.0	5002.607563
18	20	4.0	0.15	4.0	23403.47319
15	10	6.0	0.15	4.0	13512.00155
19	17	2.0	0.15	4.0	4823.950831
10	16	4.0	0.15	4.0	4854.917717
18	7	2.0	0.15	4.0	23403.47319
15	19	3.0	0.15	4.0	14564.75315
21	20	6.0	0.15	4.0	5059.91234
14	23	4.0	0.15	4.0	4924.790605
18	16	3.0	0.15	4.0	19679.89671
16	18	3.0	0.15	4.0	19679.89671
24	23	2.0	0.15	4.0	5078.508436
21	24	3.0	0.15	4.0	4885.357564
10	15	6.0	0.15	4.0	13512.00155
20	21	6.0	0.15	4.0	5059.91234
23	24	2.0	0.15	4.0	5078.508436
