source	dest	fft	coef	power	capacity
15	22	3.0	0.15	4.0	9599.180565
10	9	3.0	0.15	4.0	13915.78842
22	21	2.0	0.15	4.0	5229.910063
5	4	2.0	0.15	4.0	17782.7941
11	10	5.0	0.15	4.0	10000.0
22	20	5.0	0.15	4.0	5075.697193
20	22	5.0	0.15	4.0	5075.697193
12	13	3.0	0.15	4.0	25900.20064
1	2	6.0	0.15	4.0	25900.20064
15	14	5.0	0.15	4.0	5127.526119
21	22	2.0	0.15	4.0	5229.910063
22	15	3.0	0.15	4.0	9599.180565
24	21	3.0	0.15	4.0	4885.357564
8	16	5.0	0.15	4.0	5045.822583
13	12	3.0	0.15	4.0	25900.20064
4	5	2.0	0.15	4.0	17782.7941
9	10	3.0	0.15	4.0	13915.78842
14	15	5.0	0.15	4.0	5127.526119
7	18	2.0	0.15	4.0	23403.47319
10	11	5.0	0.15	4.0	10000.0
16	8	5.0	0.15	4.0	5045.822583
18	7	2.0	0.15	4.0	23403.47319
11	12	6.0	0.15	4.0	4908.82673
4	11	6.0	0.15	4.0	4908.82673
21	24	3.0	0.15	4.0	4885.357564
2	1	6.0	0.15	4.0	25900.20064
12	11	6.0	0.15	4.0	4908.82673
11	4	6.0	0.15	4.0	4908.82673
