source	dest	fft	coef	power	capacity
16	10	4.0	0.15	4.0	4854.917717
19	15	3.0	0.15	4.0	14564.75315
17	16	2.0	0.15	4.0	5229.910063
20	18	4.0	0.15	4.0	23403.47319
10	17	8.0	0.15	4.0	4993.510694
17	10	8.0	0.15	4.0	4993.510694
17	19	2.0	0.15	4.0	4823.950831
19	20	4.0	0.15	4.0	5002.607563
16	17	2.0	0.15	4.0	5229.910063
20	19	4.0	0.15	4.0	5002.607563
18	20	4.0	0.15	4.0	23403.47319
15	10	6.0	0.15	4.0	13512.00155
19	17	2.0	0.15	4.0	4823.950831
10	16	4.0	0.15	4.0	4854.917717
15	19	3.0	0.15	4.0	14564.75315
21	20	6.0	0.15	4.0	5059.91234
18	16	3.0	0.15	4.0	19679.89671
16	18	3.0	0.15	4.0	19679.89671
10	15	6.0	0.15	4.0	13512.00155
20	21	6.0	0.15	4.0	5059.91234
