source	dest	fft	coef	power	capacity
15	22	30000	0.15	4	9599.180565
10	9	30000	0.15	4	13915.78842
22	21	20000	0.15	4	5229.910063
5	4	20000	0.15	4	17782.7941
11	10	50000	0.15	4	10000
22	20	50000	0.15	4	5075.697193
20	22	50000	0.15	4	5075.697193
12	13	30000	0.15	4	25900.20064
1	2	60000	0.15	4	25900.20064
15	14	50000	0.15	4	5127.526119
21	22	20000	0.15	4	5229.910063
22	15	30000	0.15	4	9599.180565
24	21	30000	0.15	4	4885.357564
8	16	50000	0.15	4	5045.822583
13	12	30000	0.15	4	25900.20064
4	5	20000	0.15	4	17782.7941
9	10	30000	0.15	4	13915.78842
14	15	50000	0.15	4	5127.526119
7	18	20000	0.15	4	23403.47319
10	11	50000	0.15	4	10000
16	8	50000	0.15	4	5045.822583
18	7	20000	0.15	4	23403.47319
11	12	60000	0.15	4	4908.82673
4	11	60000	0.15	4	4908.82673
21	24	30000	0.15	4	4885.357564
2	1	60000	0.15	4	25900.20064
12	11	60000	0.15	4	4908.82673
11	4	60000	0.15	4	4908.82673
