source	dest	fft	coef	power	capacity
15	22	3.0	0.15	4.0	9599.180565
19	15	3.0	0.15	4.0	14564.75315
5	4	2.0	0.15	4.0	17782.7941
11	10	5.0	0.15	4.0	10000.0
3	1	4.0	0.15	4.0	23403.47319
15	14	5.0	0.15	4.0	5127.526119
20	18	4.0	0.15	4.0	23403.47319
22	15	3.0	0.15	4.0	9599.180565
17	19	2.0	0.15	4.0	4823.950831
4	5	2.0	0.15	4.0	17782.7941
14	15	5.0	0.15	4.0	5127.526119
10	11	5.0	0.15	4.0	10000.0
18	20	4.0	0.15	4.0	23403.47319
19	17	2.0	0.15	4.0	4823.950831
15	19	3.0	0.15	4.0	14564.75315
1	3	4.0	0.15	4.0	23403.47319
