source	dest	fft	coef	power	capacity
4	3	4.0	0.15	4.0	17110.52372
14	11	4.0	0.15	4.0	4876.508287
12	3	4.0	0.15	4.0	23403.47319
22	21	2.0	0.15	4.0	5229.910063
22	20	5.0	0.15	4.0	5075.697193
20	22	5.0	0.15	4.0	5075.697193
12	13	3.0	0.15	4.0	25900.20064
23	14	4.0	0.15	4.0	4924.790605
21	22	2.0	0.15	4.0	5229.910063
24	21	3.0	0.15	4.0	4885.357564
13	12	3.0	0.15	4.0	25900.20064
23	22	4.0	0.15	4.0	5000.0
19	20	4.0	0.15	4.0	5002.607563
22	23	4.0	0.15	4.0	5000.0
20	19	4.0	0.15	4.0	5002.607563
24	13	4.0	0.15	4.0	5091.256152
3	12	4.0	0.15	4.0	23403.47319
11	12	6.0	0.15	4.0	4908.82673
21	20	6.0	0.15	4.0	5059.91234
14	23	4.0	0.15	4.0	4924.790605
11	14	4.0	0.15	4.0	4876.508287
4	11	6.0	0.15	4.0	4908.82673
24	23	2.0	0.15	4.0	5078.508436
13	24	4.0	0.15	4.0	5091.256152
21	24	3.0	0.15	4.0	4885.357564
12	11	6.0	0.15	4.0	4908.82673
3	4	4.0	0.15	4.0	17110.52372
20	21	6.0	0.15	4.0	5059.91234
23	24	2.0	0.15	4.0	5078.508436
11	4	6.0	0.15	4.0	4908.82673
