source	dest	fft	coef	power	capacity
4	3	4.0	0.15	4.0	17110.52372
6	2	5.0	0.15	4.0	4958.180928
12	3	4.0	0.15	4.0	23403.47319
5	4	2.0	0.15	4.0	17782.7941
12	13	3.0	0.15	4.0	25900.20064
1	2	6.0	0.15	4.0	25900.20064
5	9	5.0	0.15	4.0	10000.0
3	1	4.0	0.15	4.0	23403.47319
8	6	2.0	0.15	4.0	4898.587646
13	12	3.0	0.15	4.0	25900.20064
4	5	2.0	0.15	4.0	17782.7941
9	5	5.0	0.15	4.0	10000.0
3	12	4.0	0.15	4.0	23403.47319
6	5	4.0	0.15	4.0	4947.995469
11	12	6.0	0.15	4.0	4908.82673
4	11	6.0	0.15	4.0	4908.82673
9	8	10.0	0.15	4.0	5050.193156
5	6	4.0	0.15	4.0	4947.995469
8	9	10.0	0.15	4.0	5050.193156
2	1	6.0	0.15	4.0	25900.20064
12	11	6.0	0.15	4.0	4908.82673
3	4	4.0	0.15	4.0	17110.52372
1	3	4.0	0.15	4.0	23403.47319
6	8	2.0	0.15	4.0	4898.587646
2	6	5.0	0.15	4.0	4958.180928
11	4	6.0	0.15	4.0	4908.82673
