IterationNo	Gap
0	1.0
1	0.8993472878384263
2	0.39381984142398263
3	0.1401532873530057
4	0.04000678634492527
5	0.019739730059062044
6	0.0057488159844463205
7	0.0027298427435921147
8	0.0016769835638181796
9	9.856656090750926E-4
10	6.37688675241388E-4
11	3.884621555547696E-4
12	2.4353869423265895E-4
13	2.360847830953361E-4
14	9.401831358069046E-5
15	6.138789866383387E-5
16	4.483146842981789E-5
17	3.720863120626472E-5
18	2.8024677519389307E-5
19	2.3259814401210832E-5
20	1.967178377937362E-5
21	1.6965381209321784E-5
22	1.4995072494916606E-5
23	1.3418751912741556E-5
24	1.2159628738239725E-5
25	1.1179181270470906E-5
26	1.045594217452539E-5
27	9.917008444659814E-6
28	9.650688251650053E-6
29	8.613160845660772E-6
30	7.871878259457787E-6
31	7.291677618814774E-6
32	6.801944218759459E-6
33	6.3971097459258885E-6
34	6.017499242449986E-6
35	5.659227273024925E-6
36	5.341571090888841E-6
37	5.042380307518357E-6
38	4.763204461966097E-6
39	4.4924963027437315E-6
40	4.261391117088564E-6
41	4.019613201400318E-6
42	3.7856109705858287E-6
43	3.577772380469746E-6
44	3.3874890543739156E-6
45	3.202213469943871E-6
46	3.0219521045538045E-6
47	2.8554281447101815E-6
48	2.7045638167910724E-6
49	2.5635611032859273E-6
50	2.4302827436040175E-6
51	2.297944717066791E-6
52	2.1705370721880612E-6
53	2.058653721381809E-6
54	1.9603087348940562E-6
55	1.84089555854694E-6
56	1.7408498664828187E-6
57	1.6458764835469708E-6
58	1.570795547634063E-6
59	1.4881504855068783E-6
60	1.4084916036827266E-6
61	1.3277285123569627E-6
62	1.26518396592612E-6
63	1.2010835591658164E-6
64	1.1332890960114028E-6
65	1.0767887315132896E-6
66	1.0334152926727569E-6
67	9.761919015360832E-7
68	9.242764641426149E-7
