source 	 destination 	 fft 	 flow 	 cost(min)
15	22	3.0	18409.543233630415	9.087625427834592
16	10	4.0	11072.746937934062	20.234736842174843
4	3	4.0	14030.528967337928	4.271265284985992
7	8	3.0	12101.280239310443	5.55195043416556
10	9	3.0	21814.430145732098	5.717419801824105
19	15	3.0	19116.714385271618	4.335528027265286
14	11	4.0	9814.172958677735	13.843061844712487
6	2	5.0	5991.827577028975	6.599591218732015
12	3	4.0	9973.909764341231	4.019792093546211
17	16	2.0	11683.007689377277	9.470729689499345
22	21	2.0	8606.921492638234	4.200572792216727
5	4	2.0	18030.528967337945	2.317069980954592
11	10	5.0	17604.196544644026	12.203210361632905
22	20	5.0	6999.9999999999845	7.713130000305203
20	22	5.0	6999.999999999977	7.713130000305193
12	13	3.0	12287.54783633931	3.022796117478089
23	14	4.0	8394.486819237312	9.064968840033565
1	2	6.0	4494.487628509375	6.000816113859152
5	9	5.0	15781.162747202747	9.651759549900563
3	1	4.0	8094.487628509406	4.0085859321158095
8	6	2.0	12525.442430149462	14.823601802754387
15	14	5.0	9079.79793660635	12.37453214960794
21	22	2.0	8618.926604012433	4.21287612074374
20	18	4.0	18994.74636083716	4.260353841998869
22	15	3.0	18385.82786313121	9.056317413045983
10	17	8.0	8100.00000000003	16.308017150740547
24	21	3.0	10259.501880657106	11.752501479981476
8	7	3.0	12040.457305948736	5.501029934507736
8	16	5.0	8388.620558218672	10.72922080743228
17	10	8.0	8099.999999999992	16.308017150740383
13	12	3.0	12379.1100409867	3.023483222559527
23	22	4.0	9626.114263385234	12.242809881992562
17	19	2.0	9953.031306109837	7.436648373107053
4	5	2.0	18006.56035036362	2.315387370647217
9	10	3.0	21744.831900173573	5.6829060484277125
14	15	5.0	9036.277546972515	12.234157919119685
19	20	4.0	8687.6306387968	9.457212963602355
7	18	2.0	15796.458443258034	2.062264272399143
10	11	5.0	17726.477002970765	12.405442083078952
16	17	2.0	11694.110882446183	9.499170063652876
22	23	4.0	9661.834745258479	12.365841910207697
9	5	5.0	15796.914114217496	9.670359280724018
20	19	4.0	8709.789920320329	9.5131045554836
18	20	4.0	18978.94264387547	4.259488460339983
24	13	4.0	11112.452163660717	17.617302235054545
15	10	6.0	23192.701541092938	13.81212386950537
3	12	4.0	10022.356544366809	4.0201794530385175
19	17	2.0	9941.928113040929	7.412429330638633
10	16	4.0	11046.894948508769	20.083651407891917
16	8	5.0	8406.646159324371	10.778623922603924
18	7	2.0	15857.281376619734	2.0632287986553854
6	5	4.0	8806.476638588705	10.020642316788503
11	12	6.0	8365.19129197244	13.589885163869335
15	19	3.0	19083.451910679265	4.326257153873628
21	20	6.0	6240.57527664462	8.082423433581111
14	23	4.0	8400.29665187083	9.079005283369447
18	16	3.0	15335.203666785821	3.1659126300549896
16	18	3.0	15280.22288318597	3.16354603185948
11	14	4.0	9776.462401677356	13.692645334542322
4	11	6.0	5200.000000000019	7.13330048017991
9	8	10.0	6836.330847028945	15.036763889130471
24	23	2.0	7861.38807835615	3.722556537336354
5	6	4.0	8798.259388629023	9.99820250414211
8	9	10.0	6882.483968485267	15.174163367152548
13	24	4.0	11120.889959013326	17.65870837697775
21	24	3.0	10309.533770797796	11.924485607707838
2	1	6.0	4518.9657915607895	6.000834038715446
12	11	6.0	8405.200276645464	13.736133627872523
10	15	6.0	23126.67482663322	13.723542488189624
3	4	4.0	14006.560350363574	4.269416399078077
20	21	6.0	6302.612278159536	8.166471110169898
23	24	2.0	7902.918392862888	3.75924583416713
1	3	4.0	8118.965791560826	4.00869026144094
6	8	2.0	12492.747017138465	14.690230335953396
2	6	5.0	5967.349413977616	6.573611986715394
11	4	6.0	5300.0000000000055	7.22302455519414
