source 	 destination 	 fft 	 flow 	 cost(min)
13	24	4.0	9815.981002831639	12.290606370157073
14	11	4.0	8868.969738894786	10.564597097215529
5	9	5.0	12205.020880154636	6.6642377554837235
11	10	5.0	14480.908445260999	8.297953244990088
10	11	5.0	15734.947507635243	9.597507613539983
7	8	3.0	11972.077247749923	5.444696794153846
9	8	10.0	2692.4571665557673	10.121186575947071
8	9	10.0	5565.44412276432	12.212374326959932
9	5	5.0	15089.449628484434	8.888256099474777
16	8	5.0	8322.995571010666	10.552032668932192
24	13	4.0	10277.004428989347	13.961337017986597
11	14	4.0	7906.5278411401605	8.14627976534569
8	7	3.0	13918.943341891005	7.466548246803546
8	16	5.0	8865.07565527753	12.14600217120331
