source 	 destination 	 fft 	 flow 	 cost(min)
1	2	6.0	9308.465311823966	6.015015587686351
23	22	4.0	9582.257052230803	12.093614238985506
19	15	3.0	19368.86338765485	4.407396751132811
12	3	4.0	10760.985185609059	4.026818725180351
17	16	2.0	11744.849472881531	9.630169625605335
3	1	4.0	11408.46531182394	4.033879648886983
14	11	4.0	8868.969738894786	10.564597097215529
5	9	5.0	12205.020880154636	6.6642377554837235
11	10	5.0	14480.908445260999	8.297953244990088
20	21	6.0	6002.7350542023505	7.782654738060696
7	8	3.0	11972.077247749923	5.444696794153846
4	3	4.0	15140.8383878507	4.367872848510218
10	9	3.0	23195.60034812328	6.473791238598721
6	2	5.0	5950.185244916056	6.555584933485407
22	20	5.0	7400.000000000009	8.388483088381221
11	14	4.0	7906.5278411401605	8.14627976534569
5	4	2.0	19368.893079564656	2.4222216142397586
16	10	4.0	11654.32300299872	23.92379009384929
21	22	2.0	9217.816683778394	4.89505381199144
6	5	4.0	8715.594404983744	9.775932682686282
8	6	2.0	14429.628695996269	24.586989342325257
7	18	2.0	17218.943341890943	2.0879075119301014
9	10	3.0	23084.15855600203	6.407512364950866
12	13	3.0	12338.976573842325	3.023180166914057
22	15	3.0	18225.38441679651	8.847667347529937
17	10	8.0	8099.999999999997	16.308017150740408
20	22	5.0	8000.000000000023	9.628480000520758
17	19	2.0	9955.150527118485	7.441280184010898
13	12	3.0	12900.00000000001	3.0276922881047623
9	5	5.0	15089.449628484434	8.888256099474777
10	17	8.0	7700.000000000002	14.784536911154778
14	15	5.0	8924.270788909362	11.882095528059857
19	20	4.0	8754.26465482187	9.626576091486111
8	7	3.0	13918.943341891005	7.466548246803546
15	22	3.0	17823.301510415997	8.348456716123746
8	16	5.0	8865.07565527753	12.14600217120331
20	18	4.0	18038.26539847789	4.211743011587946
2	6	5.0	9237.555837630005	14.036496562791763
20	19	4.0	9236.857489646236	10.973687493283412
18	20	4.0	19797.374276737435	4.3072277006542325
4	5	2.0	18559.026873137373	2.355911529771668
19	17	2.0	9888.134852270741	7.296235487858352
15	10	6.0	24604.630010356614	15.89534906753537
10	11	5.0	15734.947507635243	9.597507613539983
22	23	4.0	9980.476627252561	13.525249512393101
11	12	6.0	8403.917246530007	13.731411113413383
18	7	2.0	15272.077247749905	2.0543991919409885
5	6	4.0	10790.156946886276	17.568915069872684
16	8	5.0	8322.995571010666	10.552032668932192
24	21	3.0	9815.981002831626	10.334355017664912
18	16	3.0	14701.112495450529	3.140127075598446
14	23	4.0	7979.022556084962	8.134271017852843
15	19	3.0	18819.25487798275	4.254323898013413
21	20	6.0	5226.219010767199	7.024285344698143
3	12	4.0	10291.023632766743	4.022431808980645
15	14	5.0	9473.302975767054	13.738470951225924
10	16	4.0	11291.501377698174	21.556200131413743
16	17	2.0	12211.865147729286	10.91810070311545
23	14	4.0	8392.432266981883	9.060012051795624
13	24	4.0	9815.981002831639	12.290606370157073
12	11	6.0	8394.979119845388	13.698572063477263
21	24	3.0	10392.194564864516	12.214168873561434
24	23	2.0	7399.999999999998	3.3523945776944837
4	11	6.0	5300.000000000003	7.223024555194138
9	8	10.0	2692.4571665557673	10.121186575947071
11	4	6.0	7407.542833444258	10.666898805165474
8	9	10.0	5565.44412276432	12.212374326959932
22	21	2.0	9017.514202376118	4.651500495634784
2	1	6.0	6021.094719110036	6.002628644360499
24	13	4.0	10277.004428989347	13.961337017986597
23	24	2.0	7384.809864124831	3.3413243667976262
3	4	4.0	12323.429347979123	4.16144491027556
16	18	3.0	14413.35527956904	3.1294737188330437
10	15	6.0	24101.970781161683	15.111166568438783
6	8	2.0	19791.561830612773	81.93886781213303
1	3	4.0	8121.094719110045	4.008699379949685
