iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	full_gap
0	0.0043192099420444885	7.366704305198368E-4	0.010685414897073753	0.14307201491265142
1	0.009180213542451465	1.56751839910374E-5	0.0010260961425656578	0.03728519905281946
2	0.014233406331849552	5.7251564000715405E-6	2.1152286668935094E-4	0.044771295988811355
3	0.008728042022453919	0.0	1.4715774439344464E-5	0.038473226047129216
4	0.013819826800893886	4.025601863855144E-6	1.3323312903157358E-5	0.04781988268684212
5	0.014218928541548048	-2.220446049250313E-16	3.6555376580205134E-6	0.04100739289672661
6	0.017900436061426217	7.246018737361304E-6	2.5271210648547537E-6	0.054081414317079135
7	0.012416785683249554	9.491687591456355E-8	3.905020719230379E-6	0.04070265902012238
8	0.003650721867447193	2.980676528263615E-6	2.241186710105758E-6	0.052585661825649166
9	0.019008430862389125	1.3360064177181386E-7	2.958075327796905E-6	0.045180929820795246
10	0.0030901527099236326	1.2559064550554666E-6	2.788744079995631E-6	0.0634264287959081
11	0.0013872503422278637	0.0	2.705638765032603E-6	0.047979608704249
12	0.00585879588894922	1.1555447804179053E-6	2.5165486866596254E-6	0.09212834606502529
13	0.0014264520117583945	0.0	1.977592677837592E-6	0.05559229481324479
14	0.0035442137514914984	1.2961122463073238E-6	3.1301879185319237E-6	0.12633816886504223
15	0.001982932541545801	8.323803935006424E-8	2.3870914298562695E-6	0.06606275640891679
16	0.0026574158664546266	1.013779129754866E-6	2.7787106621213198E-6	0.14962835299681054
17	0.0022371163391894378	9.978809512034559E-8	2.1823262726927695E-6	0.07297993177956141
18	0.0023465385443324216	1.000432208630997E-6	2.2638342310754567E-6	0.1623217536909941
19	0.0010228297917306284	1.412993297922327E-7	2.7031283443834653E-6	0.07554164054967982
20	0.0022659700869303023	8.102693008771311E-7	1.7573015980154594E-6	0.1714760041310347
21	0.003639549095113659	4.715940136179597E-7	3.1774186833866125E-6	0.07653094872514155
22	0.0012410763103111178	7.474237428972685E-7	1.3528854545530322E-6	0.17233087018693216
23	9.974433823295437E-4	2.4081656591068423E-7	2.7511261552204402E-6	0.07728307955347813
24	0.0012090914701847755	5.742910444972438E-7	2.7263684352352158E-6	0.21504875625067088
25	0.0011824387166262662	2.5639686574985276E-6	3.0744402242932622E-6	0.08149805331091875
26	3.865537790168627E-4	5.434371510570912E-7	2.794730829536185E-6	0.21086256047323737
27	8.805571519948652E-4	2.1001081274008015E-7	3.0862225021133227E-6	0.08284989235599227
28	9.225100742855652E-4	5.792938988502527E-7	2.793114293853094E-6	0.21541478767115707
29	8.510198485964793E-4	2.1488769352817627E-7	3.04682639629128E-6	0.08285839227949943
30	8.255287977713133E-4	5.806211212933121E-7	1.3005775139074416E-6	0.21672088679020163
31	8.34107019723751E-4	2.5151840943316017E-7	2.9804782499809335E-6	0.08122984487664175
32	3.9860594590224174E-4	5.60740761934575E-7	1.8078705811275242E-6	0.21194766097145445
33	8.494077247520604E-4	3.0482460899872166E-6	2.8451389536554572E-6	0.08226363818909932
34	2.3392286538603813E-4	5.365772278720371E-7	2.3411181634402922E-6	0.21412005892874797
35	4.886609747394299E-4	1.387958189491556E-7	2.9259768662415198E-6	0.08139376258302544
36	2.9405567411000533E-4	5.476578114338437E-7	2.3480875149806124E-6	0.21094960235669458
37	4.141299762495665E-4	1.9190344324737652E-7	2.872538086950982E-6	0.08133948452382922
38	1.8011835654152542E-4	5.981434875179659E-7	2.352055000653941E-6	0.21262310219763525
39	4.3796573931798033E-4	2.281259861014462E-7	3.145188252284825E-6	0.08143555552315818
40	2.082449846020351E-4	6.243237997693996E-7	2.246591977117518E-6	0.21234661939134136
41	4.951932269435799E-4	2.1200500477380757E-7	3.0291922529235293E-6	0.08117366706372031
42	2.3769202658607824E-4	5.81598894155988E-7	2.285759639120144E-6	0.20855406111939312
43	3.219982000146615E-4	2.3138074112249996E-7	2.8877216479150647E-6	0.08108597847894006
44	1.0484927993581472E-4	5.501987535572184E-7	2.2934634610338733E-6	0.2095773128422438
45	3.625587821951548E-4	1.9157809461045616E-7	2.3389882829460973E-6	0.08134718624518555
46	2.7539177474233956E-4	5.459588944267679E-7	2.0457911632520975E-6	0.21120816616853977
47	3.237970122930145E-4	1.8814763269592305E-7	1.984185723502563E-6	0.08128610412383552
48	8.475522112216805E-5	5.885338462130463E-7	2.078303772523604E-6	0.21002820145080503
49	3.365695962560533E-4	1.3514515051493703E-7	1.9546748539767123E-6	0.08114142549223513
50	1.5787075071327372E-4	5.924241264221308E-7	2.2549117955072973E-6	0.20945008818200683
51	2.572287360252945E-4	2.004258620180721E-7	1.9830547742794025E-6	0.0812708268731187
52	1.1128636500912226E-4	5.821854297538565E-7	2.113450701890507E-6	0.21287241916479072
53	2.3310283117150554E-4	2.1008533723776424E-7	1.6993592978353789E-6	0.0812912623900679
54	1.3985541456773554E-4	5.535254269384282E-7	1.841676661840097E-6	0.21101535895043932
55	1.631241679523887E-4	1.9537662321322813E-7	1.9306635501425973E-6	0.08125568635795943
