source 	 destination 	 fft 	 flow 	 cost(min)
13	24	40000.0	8575.389832736879	88291.08317047704
14	11	40000.0	8237.354443034246	88850.20585685794
5	9	50000.0	15032.788790664787	88301.82663626339
11	10	50000.0	15034.117098724957	88315.36593875449
10	11	50000.0	15083.332759274303	88819.55141807665
7	8	30000.0	14895.312758380613	88579.47400404132
9	8	100000.0	0.0	100000.0
8	9	100000.0	0.0	100000.0
9	5	50000.0	15077.24323298869	88756.89959850353
16	8	50000.0	7607.124369542437	88744.9785966294
24	13	40000.0	8599.632436779744	88839.47821688291
11	14	40000.0	8213.121609948601	88277.90297517812
8	7	30000.0	14859.82198047933	88023.16144334637
8	16	50000.0	7584.760687445466	88291.36860534648
