source 	 destination 	 fft 	 flow 	 cost(min)
1	2	6.0	12006.90366318272	6.041567518636034
23	22	4.0	12377.020977765795	26.52867973282134
19	15	3.0	19436.490847326677	4.427155951005463
12	3	4.0	14906.587837999512	4.098751333766963
17	16	2.0	13304.68361929158	14.56500249646515
3	1	4.0	15976.061207575915	4.130289332424039
14	11	40000.0	8237.354443034246	88850.20585685794
5	9	50000.0	15032.788790664787	88301.82663626339
11	10	50000.0	15034.117098724957	88315.36593875449
20	21	6.0	8765.092602733319	14.103946633251105
7	8	30000.0	14895.312758380613	88579.47400404132
4	3	4.0	13222.664866081663	4.213980403713725
10	9	3.0	24009.68235777302	6.987740635189372
6	2	5.0	10976.087003641736	23.012000278455808
22	20	5.0	9882.912144760943	15.779985637451276
11	14	40000.0	8213.121609948601	88277.90297517812
5	4	2.0	23061.32279483891	2.8485122444406867
16	10	4.0	14043.879057181228	46.011876346287856
21	22	2.0	10012.371444466104	6.029880652109066
6	5	4.0	12559.182274592991	28.904597739228095
8	6	2.0	24107.144941473423	177.96278997229064
7	18	2.0	24217.573504984768	2.3439715366405056
9	10	3.0	23865.22791544913	6.89263417337345
12	13	3.0	17858.211368474564	3.1017072321950923
22	15	3.0	21689.62430714966	14.7296212178247
17	10	8.0	10481.765382805024	31.296734317911135
20	22	5.0	9872.473403070078	15.73451267486681
17	19	2.0	10529.229837461244	8.80920152563079
13	12	3.0	17982.453972517425	3.104567284385864
9	5	50000.0	15077.24323298869	88756.89959850353
10	17	8.0	10288.157316544304	29.622589064157115
14	15	5.0	12583.802316546833	32.20678890370762
19	20	4.0	10289.650405051661	14.739102505224327
8	7	30000.0	14859.82198047933	88023.16144334637
15	22	3.0	21788.25967770612	14.944446795204072
8	16	50000.0	7584.760687445466	88291.36860534648
20	18	4.0	25604.057909499952	4.859538232577199
2	6	5.0	11139.734430252092	24.110459575245944
20	19	4.0	10241.758267975485	14.540557787979974
18	20	4.0	25451.885912224756	4.839285784566627
4	5	2.0	22795.366465906394	2.810042058412708
19	17	2.0	10683.526626505345	9.217192872610317
15	10	6.0	31640.83454939019	33.06172541533992
10	11	50000.0	15083.332759274303	88819.55141807665
22	23	4.0	12422.051722904866	26.858333564526863
11	12	6.0	10824.87938221941	27.282564668187398
18	7	2.0	24253.064282886065	2.3459923302454415
5	6	4.0	12337.680387984376	27.193598736556453
16	8	50000.0	7607.124369542437	88744.9785966294
24	21	3.0	12818.412544632418	24.328684495508803
18	16	3.0	25062.76800467826	4.183688398752899
14	23	4.0	8419.096713368608	9.124625881185846
15	19	3.0	19638.67977344695	4.487473216836069
21	20	6.0	8758.933721241468	14.081193346840795
3	12	4.0	13851.967372443469	4.073633566365318
15	14	5.0	12637.922243317902	32.677856551039625
10	16	4.0	13888.872797120906	44.187570957079984
16	17	2.0	13343.994896508204	14.71416494683553
23	14	4.0	8389.209619683175	9.052244461390025
13	24	40000.0	8575.389832736879	88291.08317047704
12	11	6.0	9794.501520706233	20.264647702393983
21	24	3.0	12867.737309850774	24.658872095446295
24	23	2.0	7981.205132220285	3.829997239069688
4	11	6.0	10625.95225934271	25.760737073617307
9	8	100000.0	0.0	100000.0
11	4	6.0	9569.022891464516	18.99577166862918
8	9	100000.0	0.0	100000.0
22	21	2.0	10055.537328192608	6.099826731612676
2	1	6.0	11843.256236572366	6.039347260288223
24	13	40000.0	8599.632436779744	88839.47821688291
23	24	2.0	8056.122971044795	3.8996819186541187
3	4	4.0	14113.637905027337	4.277749908304696
16	18	3.0	24846.08678530436	4.143281685090697
10	15	6.0	31895.778772838006	33.94451687439817
6	8	2.0	24049.290481475175	176.27969665162362
1	3	4.0	15812.413780965555	4.125032431752361
