iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	full_gap
0	0.0070624696052902225	0.009113243033139207	0.00898882345103924	0.008057072463393933
1	0.004036289680578786	0.002874830321028421	0.0012087033805032732	0.004028433315672819
2	0.0035953424498106346	5.5424536359161E-4	3.413871413735503E-4	0.0035759078797521493
3	0.001881988861241246	7.133609710718858E-7	8.140991332405978E-5	0.00190652682636816
4	0.0017333763006129876	1.0293466132793583E-6	1.3390184397166216E-5	0.0017398922040829934
5	0.0017066677346995185	1.0568348062234278E-6	3.884314876412276E-6	0.0017158312092366845
6	0.0016561056087527337	9.957736800680905E-7	2.177645833878472E-6	0.0016650740365604655
7	0.0015569611912371606	1.0583500676952795E-6	2.171696859787353E-6	0.001565082535855855
8	0.001581387058175121	1.0589630998758537E-6	2.3476200348149234E-6	0.0015848424232266511
9	0.00179362255906379	1.0471495693886723E-6	2.3795514382252136E-6	0.0018026346938723181
10	0.0017775446236844017	1.0866573773027355E-6	2.4164702623341583E-6	0.0017847909813453189
11	0.0017586307127419598	1.0887800844239237E-6	2.3154102496425466E-6	0.0017655875960743694
12	0.0017345675855408027	1.0913658895495004E-6	2.43839246016897E-6	0.001741421281247657
13	0.0017062989904770287	1.1616054012009158E-6	2.275640433868631E-6	0.0017131261620575433
14	0.0016940787964675463	1.0900548347292371E-6	2.319177750731427E-6	0.001698863968979225
15	0.0016771486489595144	1.186636062744384E-6	2.2810991514576884E-6	0.0016795742594662988
16	0.0016716052319043495	1.1496472684946468E-6	2.3524156181897737E-6	0.001676931717659702
17	0.0016494704415153105	1.1769195292776757E-6	2.346896475158289E-6	0.001654709199716664
18	0.0016269522932709224	1.2183423879763566E-6	2.2226053157936576E-6	0.001632076526352999
19	0.0016079850180429345	1.2213618371115231E-6	2.2498080680666277E-6	0.0016130532827853816
20	0.001586410909758862	1.2522010847115794E-6	2.197612365972823E-6	0.0015913782189591608
21	0.0015634700079514285	1.2689218316097595E-6	2.2577821566782674E-6	0.0015684989104065572
22	0.0015394910189470146	1.228101586869812E-6	2.224843970721757E-6	0.0015444989664715747
23	0.0015197556925450328	1.2657819465911047E-6	2.1867601952552107E-6	0.0015246298787892076
24	0.001502892560133584	1.2615853368647123E-6	2.23065000670708E-6	0.0015076455775854258
25	0.0014876800081112806	1.1803636718044075E-6	2.1515587186327068E-6	0.0014920625940111343
26	0.0014757093453440229	1.3628388688680104E-6	2.167353784887638E-6	0.0014797022280491623
27	0.0015109772888487472	1.2555898615262961E-6	2.1672735186495373E-6	0.0015150703716119152
28	0.0014926747669783413	1.3492530942516012E-6	2.083554007104027E-6	0.0014965439542523606
29	0.0014372108444640208	1.3328849107763219E-6	2.14194141934243E-6	0.001439635816935514
30	0.0014129661192298082	1.3041322749485218E-6	2.13662403325543E-6	0.0014153403123442487
31	0.0013902900838871357	1.2911033957507811E-6	2.1454624022920754E-6	0.0013926229325496031
32	0.001378952660139543	1.2805516830249886E-6	2.119879456419227E-6	0.0013813158417137483
33	0.0013674105028098626	1.2735027987709202E-6	2.0705257507414032E-6	0.0013697110603070328
34	0.001356064498404308	1.412571366765647E-6	2.030256631924132E-6	0.0013583174036216894
35	0.0013259353590963086	1.3396630865747383E-6	2.1171602458958105E-6	0.0013280661385014492
36	0.0014106532050859322	1.2914415978837468E-6	2.04687590532604E-6	0.0014128432745701414
37	0.0013881842811021006	1.3818171590296302E-6	1.936906342758782E-6	0.0013902749767397138
38	0.0013514356556075802	1.444193862276677E-6	1.9227783344399896E-6	0.0013532697180324016
39	0.0013396648791186294	1.3465618808883306E-6	2.0006995812282824E-6	0.0013416259690859356
40	0.0013439450336304448	1.5286172386774766E-6	1.9397309293234244E-6	0.0013494308524074627
41	0.0011906721944957566	1.7244905946567357E-6	2.6276944944392255E-6	0.0012840702247643998
42	9.343830803469899E-4	9.528972464423191E-7	2.700411086631327E-6	9.432648464127169E-4
