ODtype	Origin	Destination	Demand	Cost
Regular	1	2	100.0	6.0081912742699455
Regular	1	3	100.0	4.0161877815618725
Regular	1	4	500.0	8.288413636654512
Regular	1	5	200.0	10.748965856457263
Regular	1	6	300.0	14.757603158986685
Regular	1	7	500.0	88279.52077832131
Regular	1	8	800.0	61.42065959778845
Regular	1	9	500.0	88257.97456937579
Regular	1	10	1300.0	88264.28692318292
Regular	1	11	500.0	19.402393350466244
Regular	1	12	200.0	8.036502860624747
Regular	1	13	500.0	11.101971348527723
Regular	1	14	300.0	88312.18318714671
Regular	1	15	500.0	88302.60322707807
Regular	1	16	500.0	88285.33039783267
Regular	1	17	400.0	88295.58219922957
Regular	1	18	100.0	88281.71059219023
Regular	1	19	300.0	88297.91812541691
Regular	1	20	300.0	88286.02507986104
Regular	1	21	100.0	88295.07082673091
Regular	1	22	400.0	88299.05280652376
Regular	1	23	300.0	88313.75110009169
Regular	1	24	100.0	88310.45217174866
Regular	2	1	100.0	6.008319283274812
Regular	2	3	100.0	10.024507064836683
Regular	2	4	200.0	14.29673291992933
Regular	2	5	100.0	16.757285139732083
Regular	2	6	400.0	8.74941188471674
Regular	2	7	200.0	88273.51258704651
Regular	2	8	400.0	55.41246832351846
Regular	2	9	200.0	88263.98288865753
Regular	2	10	600.0	88270.16404555479
Regular	2	11	200.0	25.410712633741024
Regular	2	12	100.0	14.044822143899559
Regular	2	13	300.0	17.110290631802545
Regular	2	14	100.0	88313.19829616933
Regular	2	15	100.0	88298.40997978461
Regular	2	16	400.0	88279.32220655888
Regular	2	17	200.0	88293.58301216332
Regular	2	19	100.0	88292.26985140063
Regular	2	20	100.0	88280.01688858695
Regular	2	22	100.0	88290.54492452163
Regular	3	1	100.0	4.015976698571267
Regular	3	2	100.0	10.024167972841212
Regular	3	4	200.0	4.27222585509264
Regular	3	5	100.0	6.732778074895389
Regular	3	6	300.0	18.77273668464631
Regular	3	7	100.0	88283.53591184622
Regular	3	8	200.0	65.43579312344811
Regular	3	9	100.0	88253.95838159267
Regular	3	10	300.0	88260.13953848972
Regular	3	11	300.0	15.386205568904328
Regular	3	12	200.0	4.0203150790628746
Regular	3	13	100.0	7.085783566965862
Regular	3	14	100.0	88304.10991282733
Regular	3	15	100.0	88288.4026149709
Regular	3	16	200.0	88294.93031480827
Regular	3	17	100.0	88285.15188871558
Regular	3	22	100.0	88300.32562052245
Regular	3	23	100.0	88312.34133738442
Regular	4	1	500.0	8.257530812727808
Regular	4	2	200.0	14.26572208699776
Regular	4	3	200.0	4.241554114156541
Regular	4	5	500.0	2.4605522198027496
Regular	4	6	400.0	14.50051082955367
Regular	4	7	400.0	88279.26368599161
Regular	4	8	700.0	61.16356726835549
Regular	4	9	700.0	88249.68615573764
