ODtype	Origin	Destination	Demand	Cost
Regular	1	2	100.0	6.001856908923842
Regular	1	3	100.0	4.005374771202947
Regular	1	4	500.0	8.128754626951757
Regular	1	5	200.0	10.309317734521773
Regular	1	6	300.0	14.333243900695782
Regular	1	7	500.0	30.227380234344995
Regular	1	8	800.0	25.90721750580145
Regular	1	9	500.0	19.65861279619227
Regular	1	10	1300.0	27.467769920358865
Regular	1	11	500.0	15.552535892200167
Regular	1	12	200.0	8.026186851414355
Regular	1	13	500.0	11.04762273951807
Regular	1	14	300.0	25.923901391348902
Regular	1	15	500.0	44.440972566187064
Regular	1	16	500.0	35.62603706288644
Regular	1	17	400.0	46.52599592239309
Regular	1	18	100.0	32.24405104982303
Regular	1	19	300.0	49.36801381158351
Regular	1	20	300.0	36.479855893031164
Regular	1	21	100.0	42.999470113201006
Regular	1	22	400.0	46.5016030948106
Regular	1	23	300.0	39.383581511013986
Regular	1	24	100.0	33.56487073974297
Regular	2	1	100.0	6.000335923200058
Regular	2	3	100.0	10.005710694403005
Regular	2	4	200.0	14.129090550151892
Regular	2	5	100.0	27.791524081884134
Regular	2	6	400.0	8.331386991771943
Regular	2	7	200.0	24.225523325420856
Regular	2	8	400.0	19.905360596877678
Regular	2	9	200.0	37.140819143554694
Regular	2	10	600.0	44.94997626772215
Regular	2	11	200.0	21.55287181540034
Regular	2	12	100.0	14.026522774614412
Regular	2	13	300.0	17.047958662718088
Regular	2	14	100.0	31.924237314549018
Regular	2	15	100.0	61.923178913549854
Regular	2	16	400.0	29.62418015396219
Regular	2	17	200.0	37.3711237931275
Regular	2	19	100.0	66.85022015894684
Regular	2	20	100.0	30.477998984107472
Regular	2	22	100.0	40.15016306958662
Regular	3	1	100.0	4.013836044490535
Regular	3	2	100.0	10.015692953414376
Regular	3	4	200.0	4.123379855748809
Regular	3	5	100.0	6.303942963318599
Regular	3	6	300.0	12.733900861607935
Regular	3	7	100.0	29.68741467711973
Regular	3	8	200.0	27.037649202747826
Regular	3	9	100.0	15.65323802498908
Regular	3	10	300.0	23.462395149156126
Regular	3	11	300.0	11.547161120997206
Regular	3	12	200.0	4.0208120802114085
Regular	3	13	100.0	7.042247968315096
Regular	3	14	100.0	21.91852662014595
Regular	3	15	100.0	40.43559779498358
Regular	3	16	200.0	33.89605615395584
Regular	3	17	100.0	42.5206211511897
Regular	3	22	100.0	42.496228323607475
Regular	3	23	100.0	35.378206739811496
Regular	4	1	500.0	8.3516860991382
Regular	4	2	200.0	14.353543008062234
Regular	4	3	200.0	4.337850054647668
Regular	4	5	500.0	2.1805631075697898
Regular	4	6	400.0	8.479883136016408
Regular	4	7	400.0	27.620292226453497
Regular	4	8	700.0	20.05385674112228
Regular	4	9	700.0	11.52985816924027
Regular	4	10	1200.0	19.339015293407318
Regular	4	11	1400.0	7.423781265248397
Regular	4	12	600.0	8.358662134859063
