iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	subnet_2_gap 	subnet_3_gap 	full_gap
0	0.0075380912568663305	0.0	0.009828055643941735	0.0	1.1962448413227467E-4	0.46353534693715237
1	0.022006915507552294	0.0	4.956353162640648E-4	0.0	2.9033167016079275E-6	0.15793074584981626
2	0.012861255102485813	-2.220446049250313E-16	2.90601646494526E-4	0.0	0.0	0.15397861660746504
3	0.02479836331129004	-2.220446049250313E-16	2.5285459443247227E-5	0.0	2.3834798107413846E-6	0.11457171785623688
4	0.011937938924475033	0.0	5.3601476494025135E-6	0.0	9.232800242120476E-7	0.09752019992453531
5	0.011030219708311861	0.0	4.346165312196781E-6	0.0	5.17901131869003E-7	0.08700369471484726
6	0.014990425036840227	0.0	1.3197842976264695E-6	0.0	4.038140520190581E-6	0.08292081142054242
7	0.009342893214554837	0.0	2.60902435533783E-6	1.1102230246251565E-16	2.1234899723054923E-6	0.09199470740288218
8	0.013262860391386022	0.0	2.115834497495861E-6	0.0	3.5899898179758694E-6	0.08842204701964496
9	0.008100837096679192	0.0	1.5653131220094707E-6	0.0	2.1804255332380507E-6	0.10292435111237874
10	0.009939011769685147	0.0	1.5545950848849799E-6	0.0	3.4174176560819447E-6	0.095753993675885
11	0.00455897308811537	0.0	3.1773740281071383E-6	0.0	8.339856718553307E-7	0.11714228911436142
12	0.005152220265352558	1.1102230246251565E-16	1.4815807823920224E-6	1.1102230246251565E-16	3.473402991338581E-6	0.0993744187906076
13	0.00319322862093796	-2.220446049250313E-16	1.6358563436069673E-6	0.0	1.4259775941161124E-6	0.11641336494732668
14	0.005977438918714384	-2.220446049250313E-16	1.599968535881402E-6	0.0	3.453537329445311E-6	0.10242662450595741
15	0.004804933941771172	0.0	1.6271841490889116E-6	0.0	6.375750032372451E-7	0.1204218015934565
16	0.005468498170877134	0.0	1.5163273009433098E-6	0.0	3.5488209140233096E-6	0.09726842414551207
17	0.004270392506495857	0.0	1.8316755654446126E-6	0.0	1.041868113893507E-6	0.11646239835974503
18	0.002878768698064915	0.0	1.430405970559434E-6	0.0	2.6536570946200655E-6	0.10238951713621802
19	0.004956884613583901	0.0	1.8714354536042421E-6	0.0	7.512528281683473E-7	0.11832212159427868
