source 	 destination 	 fft 	 flow 	 cost(min)
1	2	60000.0	0.0	60000.0
4	5	20000.0	31600.00000000002	49913.662210619055
11	10	50000.0	7020.1572313804645	51821.58155543969
10	11	50000.0	7127.76626934056	51935.86498080655
11	12	60000.0	0.0	60000.0
18	7	20000.0	32743.64670710991	31494.97902976948
10	9	30000.0	10956.353292890097	31729.20051911441
16	8	50000.0	0.0	50000.0
24	21	30000.0	7225.852022767955	51536.90761245842
22	20	50000.0	3298.244462511683	51337.24139331607
5	4	20000.0	31653.1112988871	50115.27782583406
15	14	50000.0	3624.798972373554	51873.11931603692
21	22	20000.0	9431.491729831712	51729.69706154921
12	11	60000.0	0.0	60000.0
7	18	20000.0	32697.759396920173	31430.677591697426
9	10	30000.0	10849.129304192747	31662.496681783057
21	24	30000.0	7204.660590362859	51285.369601978935
12	13	30000.0	21453.111298887103	32118.171613753068
22	15	30000.0	14176.059713287852	51404.15095849366
20	22	50000.0	3382.0075298106594	51478.34815724691
4	11	60000.0	0.0	60000.0
11	4	60000.0	0.0	60000.0
13	12	30000.0	21600.0	32176.782336374345
22	21	20000.0	9383.890928426643	51093.970163948805
2	1	60000.0	0.0	60000.0
14	15	50000.0	3595.7956416254115	51813.88498147017
15	22	30000.0	14176.16360939356	51404.77844805651
8	16	50000.0	0.0	50000.0
