ODtype	Origin	Destination	Demand	Cost
Regular	1	2	100.0	49976.85259911066
Regular	1	3	100.0	4.011993907206574
Regular	1	4	500.0	13.60677106453857
Regular	1	5	200.0	49927.26898168359
Regular	1	6	300.0	49971.53490311065
Regular	1	7	500.0	50117.36165280634
Regular	1	8	800.0	50008.25111412642
Regular	1	9	500.0	49947.78551628575
Regular	1	10	1300.0	81617.9091374907
Regular	1	11	500.0	33114.59224911868
Regular	1	12	200.0	8.775044009233003
Regular	1	13	500.0	32126.9466577623
Regular	1	14	300.0	33052.87234086861
Regular	1	15	500.0	81619.33737180918
Regular	1	16	500.0	81554.88769933705
Regular	1	17	400.0	81609.38855977979
Regular	1	18	100.0	81548.03927134526
Regular	1	19	300.0	81613.63300963909
Regular	1	20	300.0	81552.82809711865
Regular	1	21	100.0	81731.6661290233
Regular	1	22	400.0	32994.14173227085
Regular	1	23	300.0	32785.24604496909
Regular	1	24	100.0	32568.225531365777
Regular	2	1	100.0	50178.69701101326
Regular	2	3	100.0	50174.68501710608
Regular	2	4	200.0	50165.12525204264
Regular	2	5	100.0	49.847426208589425
Regular	2	6	400.0	5.317695999994751
Regular	2	7	200.0	151.1449052290112
Regular	2	8	400.0	42.03390701575816
Regular	2	9	200.0	70.36396081075212
Regular	2	10	600.0	31652.803848042968
Regular	2	11	200.0	83285.26527231773
Regular	2	12	100.0	50179.44806720811
Regular	2	13	300.0	82297.61968096135
Regular	2	14	100.0	83223.54536406731
Regular	2	15	100.0	31653.12059739037
Regular	2	16	400.0	31588.6709249182
Regular	2	17	200.0	31643.171785360948
Regular	2	19	100.0	31647.41623522044
Regular	2	20	100.0	31586.611322699813
Regular	2	22	100.0	83063.84149146175
Regular	3	1	100.0	4.011993907206574
Regular	3	2	100.0	49972.84060520343
Regular	3	4	200.0	9.594777157331999
Regular	3	5	100.0	49923.256987776396
Regular	3	6	300.0	49967.52290920345
Regular	3	7	100.0	50113.34968574066
Regular	3	8	200.0	50004.23912021927
Regular	3	9	100.0	49943.77352237855
Regular	3	10	300.0	81614.91363584483
Regular	3	11	300.0	33110.580255211506
Regular	3	12	200.0	4.76305010202643
Regular	3	13	100.0	32122.934663855092
Regular	3	14	100.0	33048.860346961425
Regular	3	15	100.0	81615.32525942156
Regular	3	16	200.0	81550.87535044593
Regular	3	17	100.0	81605.37614078706
Regular	3	22	100.0	32990.12973836365
Regular	3	23	100.0	32781.23405106189
Regular	4	1	500.0	13.571758970635328
Regular	4	2	200.0	49963.2458280461
Regular	4	3	200.0	9.559765063428761
Regular	4	5	500.0	49913.662210619055
Regular	4	6	400.0	49957.928132046116
Regular	4	7	400.0	50103.7549085833
Regular	4	8	700.0	49994.644297075974
Regular	4	9	700.0	49934.178745221216
Regular	4	10	1200.0	81596.67542700429
Regular	4	11	1400.0	33120.1400202749
Regular	4	12	600.0	14.322815165455186
Regular	4	13	600.0	32132.494428918537
Regular	4	14	500.0	33058.42011202483
Regular	4	15	500.0	81605.13805272197
Regular	4	16	800.0	81541.28135766313
Regular	4	17	500.0	81602.82612362839
Regular	4	18	100.0	81534.43207681419
Regular	4	19	200.0	81610.12990254594
Regular	4	20	300.0	81539.22095015267
Regular	4	21	200.0	81718.05928588734
Regular	4	22	400.0	32999.68950342708
Regular	4	23	500.0	32790.79381612531
Regular	4	24	200.0	32573.773302522004
Regular	5	1	200.0	50128.8495848047
Regular	5	2	100.0	49.58361742705744
Regular	5	3	100.0	50124.83759089749
Regular	5	4	500.0	50115.27782583406
Regular	5	6	200.0	44.265921427062686
Regular	5	7	200.0	190.09269796424877
Regular	5	8	500.0	80.98213244282609
Regular	5	9	800.0	20.516534602162764
Regular	5	10	1000.0	31683.013216385232
Regular	5	11	500.0	83235.41784610903
Regular	5	12	200.0	50129.60064099952
Regular	5	13	200.0	82247.77225475265
Regular	5	14	100.0	83173.69793785879
Regular	5	15	200.0	31691.361594753653
Regular	5	16	500.0	31627.618291957424
Regular	5	17	200.0	31695.00433146333
Regular	5	19	100.0	31696.46769192687
Regular	5	20	100.0	31625.55939821365
Regular	5	21	100.0	31804.397089113932
Regular	5	22	200.0	83109.67695614828
Regular	5	23	100.0	82906.07164195942
Regular	6	1	300.0	50173.3793150133
Regular	6	2	400.0	5.3176959999947515
Regular	6	3	300.0	50169.36732110609
Regular	6	4	400.0	50159.80755604266
Regular	6	5	200.0	44.52973020859457
Regular	6	7	400.0	145.82720922901638
Regular	6	8	800.0	36.7162110157634
Regular	6	9	400.0	65.04626481075738
Regular	6	10	800.0	31671.68877235049
Regular	6	11	400.0	83279.94757631772
Regular	6	12	200.0	50174.13037120811
Regular	6	13	200.0	82292.3019849612
Regular	6	14	100.0	83218.22766806759
Regular	6	15	200.0	31647.80290139037
Regular	6	16	900.0	31583.353228918248
Regular	6	17	500.0	31689.41871395256
Regular	6	18	100.0	31576.504800926392
Regular	6	19	200.0	31740.99742213547
Regular	6	20	300.0	31581.293626699782
Regular	6	21	100.0	31760.131658604423
Regular	6	22	200.0	83059.64168803513
Regular	6	23	100.0	82950.601372168
Regular	6	24	100.0	82733.58085856469
Regular	7	1	500.0	50320.04276194131
Regular	7	2	200.0	151.98056587201066
Regular	7	3	100.0	50316.030746070246
Regular	7	4	400.0	50306.470981001534
Regular	7	5	200.0	191.1931551664269
Regular	7	6	400.0	146.6628698720159
Regular	7	8	1000.0	109.74623010254949
Regular	7	9	600.0	170.58956405702213
Regular	7	10	1900.0	31501.639496745214
Regular	7	11	500.0	83437.43125714522
Regular	7	12	700.0	50320.793796430786
Regular	7	13	400.0	82438.96540991904
Regular	7	14	200.0	83364.89109302552
Regular	7	15	500.0	31501.97569216135
Regular	7	16	1400.0	31437.526019689165
Regular	7	17	1000.0	31492.026880131925
Regular	7	18	200.0	31430.677591697426
Regular	7	19	400.0	31496.271329991407
Regular	7	20	500.0	31435.46641747078
Regular	7	21	200.0	31614.304449375424
Regular	7	22	500.0	82924.93674417271
Regular	7	23	200.0	83097.26479712583
Regular	7	24	100.0	82880.24428355048
Regular	8	1	800.0	50210.29599241736
Regular	8	2	400.0	42.234335769461104
Regular	8	3	200.0	50206.283960880006
Regular	8	4	700.0	50196.72419581429
