source 	 destination 	 fft 	 flow 	 cost(min)
1	2	60000.0	0.0	60000.0
23	22	4.0	21493.908516519754	208.89568730175617
19	15	3.0	22804.272029078373	5.704362169904693
12	3	4.0	24900.000000000007	4.7688248006214335
17	16	2.0	18847.265494289077	52.598514413535604
3	1	4.0	8800.0	4.011993907206574
14	11	4.0	15272.233730659436	61.71990825005611
5	9	5.0	21327.176726097026	20.516534602162764
11	10	50000.0	7020.1572313804645	51821.58155543969
20	21	6.0	18836.152320194575	178.83803190460333
7	8	3.0	30775.23629665989	109.74623010254953
4	3	4.0	29853.111298887103	9.559765063428756
10	9	30000.0	10956.353292890097	31729.20051911441
6	2	5.0	4000.000000000002	5.3176959999947515
11	14	4.0	15279.84276861954	61.835024693755685
22	20	50000.0	3298.244462511683	51337.24139331607
16	10	4.0	15359.584474989608	64.10929340746922
5	4	20000.0	31653.1112988871	50115.27782583406
21	22	20000.0	9431.491729831712	51729.69706154921
6	5	4.0	14185.181888259856	44.52973020859464
8	6	2.0	16089.72716559599	36.916639769466364
7	18	20000.0	32697.759396920173	31430.677591697426
9	10	30000.0	10849.129304192747	31662.496681783057
17	10	8.0	5427.7289459544345	9.675058251197026
12	13	30000.0	21453.111298887103	32118.171613753068
22	15	30000.0	14176.059713287852	51404.15095849366
20	22	50000.0	3382.0075298106594	51478.34815724691
17	19	2.0	11658.093232469762	12.233397907092984
13	12	30000.0	21600.0	32176.782336374345
9	5	5.0	21357.14856305293	20.603942385373315
10	17	8.0	6748.796531403406	12.003710327438448
19	20	4.0	15718.66202825354	62.48275371883909
14	15	50000.0	3595.7956416254115	51813.88498147017
8	7	3.0	30729.34898647015	109.11099821325303
15	22	30000.0	14176.16360939356	51404.77844805651
8	16	50000.0	0.0	50000.0
20	18	4.0	25164.188383548506	4.80197661875866
2	6	5.0	4000.000000000001	5.3176959999947515
20	19	4.0	15604.688243601786	60.80491252065103
18	20	4.0	25060.387035195698	4.7888257733550015
4	5	20000.0	31600.00000000002	49913.662210619055
19	17	2.0	10162.32027736926	7.908554924110291
15	10	6.0	18625.885975932237	9.249612104366893
10	11	50000.0	7127.76626934056	51935.86498080655
22	23	4.0	21625.376281329503	213.9548564525355
11	12	60000.0	0.0	60000.0
18	7	20000.0	32743.64670710991	31494.97902976948
5	6	4.0	14162.042426328695	44.265921427062686
16	8	50000.0	0.0	50000.0
18	16	3.0	33654.297341312806	6.848427991733951
24	21	30000.0	7225.852022767955	51536.90761245842
14	23	4.0	22584.047126994123	269.34276927141184
15	19	3.0	21422.47285862962	5.106097173227669
21	20	6.0	18809.7429511946	177.87075310465968
3	12	4.0	24853.111298887103	4.763050102026429
15	14	50000.0	3624.798972373554	51873.11931603692
10	16	4.0	15376.375806478109	64.37257432558667
16	17	2.0	19021.97086394063	54.500860442786205
23	14	4.0	22547.43475828588	267.6262958995331
13	24	4.0	26453.111298887117	441.2788736034817
12	11	60000.0	0.0	60000.0
21	24	30000.0	7204.660590362859	51285.369601978935
24	23	2.0	26277.003459893745	217.0205136033145
9	8	10.0	12162.761282805328	60.46473940409106
4	11	60000.0	0.0	60000.0
11	4	60000.0	0.0	60000.0
8	9	10.0	12185.509131063898	60.843333954472605
22	21	20000.0	9383.890928426643	51093.970163948805
24	13	4.0	26500.000000000004	444.3874708178475
2	1	60000.0	0.0	60000.0
23	24	2.0	26445.083593411724	222.57501558756428
3	4	4.0	29900.000000000015	9.594777157331997
16	18	3.0	33496.38330314975	6.776703800858899
10	15	6.0	17173.19403233734	8.348378368416848
1	3	4.0	8800.000000000004	4.011993907206574
6	8	2.0	16066.587703664829	36.71621101576339
