iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	subnet_2_max 	 subnet_2_avg 	subnet_3_max 	 subnet_3_avg 	full_max 	 full_avg
0	4545.78810003501	116.15215266284217	0.0	0.0	17.92342034124472	1.1050075829640829	0.0	0.0	51.89527845645921	2.460647657014725	5844.42161907674	126.36004353586512
1	3100.8618661101063	110.87908450572407	0.0	0.0	13.793808183209151	0.5672661254682856	0.0	0.0	0.003918689762997474	3.3503520913055496E-4	2896.673235148686	77.8669359348696
2	2059.0843619895895	84.95998545019324	0.0	0.0	3.2568778107896037	0.13695875413525496	0.0	0.0	9.987561081175045E-4	1.124050530416512E-4	2069.7104560980515	63.86117270091871
3	1790.8368339609733	91.87858740922988	0.0	0.0	0.1973973589516902	0.010450955408250247	0.0	0.0	9.79079648232073E-4	1.074979413631889E-4	1815.1699451822496	72.21130094130807
4	1770.9111790360112	84.29970752714416	0.0	0.0	0.043633616319226576	0.002103284542343431	0.0	0.0	9.264212899324775E-4	8.28166940960507E-5	1758.311094360135	72.70063059872763
5	1716.0217659207337	77.8370523052088	0.0	0.0	0.021974143043777872	0.0012462883185868634	0.0	0.0	8.660223238621256E-4	1.0050377908044084E-4	1708.0089723029887	66.11939955797294
6	1677.72058314865	75.77091910266788	0.0	0.0	0.0030572873770324804	2.2630340803887202E-4	0.0	0.0	9.694240697513123E-4	1.1038725796113875E-4	1670.7219693098668	67.40579800256718
7	1639.6715393125123	74.07508422402971	0.0	0.0	9.98438761740772E-4	1.6165935583331808E-4	0.0	0.0	9.516687437098881E-4	1.0393451837549773E-4	1631.351902014867	67.94855785215046
8	1598.3386619654848	67.51451597539334	0.0	0.0	9.966555612095362E-4	1.3499548300026324E-4	0.0	0.0	8.702067462706964E-4	1.0158657579202835E-4	1591.1693752684441	62.2943664794005
9	1563.0910519634417	59.82375265090884	0.0	0.0	9.969940581697756E-4	1.2742135949725001E-4	0.0	0.0	8.827278416561057E-4	9.957798425579553E-5	1555.729910928967	55.98462976341035
10	1529.7004935778605	58.13739688420169	0.0	0.0	9.828635805320118E-4	1.0472361356391365E-4	0.0	0.0	9.490887003380521E-4	1.0646597175465063E-4	1522.8345307271957	54.788488448611766
11	1498.4372089345852	54.07005706030424	0.0	0.0	9.36509399480201E-4	1.188586099071366E-4	0.0	0.0	9.100677620494935E-4	1.0234521860961448E-4	1491.3166623691286	52.33504763504208
12	1469.0420844498294	45.12631674777385	0.0	0.0	9.959949302924542E-4	1.1313755496248727E-4	0.0	0.0	9.97354911532966E-4	1.1727547935937738E-4	1460.6399906157312	46.33322648188584
13	1435.8697107780827	38.889206845106955	0.0	0.0	9.83017035764533E-4	1.0417749292787408E-4	0.0	0.0	8.566269648895286E-4	7.656202146136187E-5	1428.3070834532627	38.849986676606875
14	1410.7341757238246	53.06606389525018	0.0	0.0	9.48493074119483E-4	1.2936882582223057E-4	0.0	0.0	9.873037664078765E-4	8.722048237549036E-5	1402.0966077618068	45.077565110992076
15	1381.2867702252697	46.354230023537546	0.0	0.0	9.832200980213202E-4	1.046972794382959E-4	0.0	0.0	8.263743575867011E-4	7.448026753112654E-5	1368.079722607923	43.076168832563525
16	1350.3492323081227	51.2905002675535	0.0	0.0	9.89884210184755E-4	1.0908403340234883E-4	0.0	0.0	9.710620528835534E-4	1.088942112111661E-4	1339.768708704869	48.94072769470234
17	1322.1674854547528	46.10283938941057	0.0	0.0	9.886150501614566E-4	8.585273774957861E-5	0.0	0.0	8.744330784224985E-4	5.4209127006821234E-5	1311.931477308186	47.64288430367729
18	1297.6764827035659	47.3236023647881	0.0	0.0	9.921062712408002E-4	9.562089556383439E-5	0.0	0.0	9.215832979805327E-4	8.332730946244393E-5	1289.8200349236504	48.232701985439
19	1271.3902579476417	44.98738432924354	0.0	0.0	9.784299994208823E-4	8.209385361995454E-5	0.0	0.0	9.870641567744087E-4	1.1543836492055494E-4	1263.70329826136	45.06977523851992
20	1244.3139940767505	40.68560564948764	0.0	0.0	9.963161098909268E-4	7.485943096719258E-5	0.0	0.0	9.571049180294722E-4	1.0812899706447819E-4	1239.8235634334633	40.86620250068122
21	1223.2123391818895	37.541551574847276	0.0	0.0	9.97131369985027E-4	7.307572040838114E-5	0.0	0.0	8.868483219259815E-4	7.626262697096371E-5	1220.3150121317594	39.86208992786321
22	1204.8277785657338	34.59562226600994	0.0	0.0	9.91298521370254E-4	7.803950621241567E-5	0.0	0.0	8.477455456556982E-4	9.92978786484855E-5	1201.6731167672842	37.51485075152667
23	1186.5364845223812	32.52828024672294	0.0	0.0	9.876722486836798E-4	7.481785086526312E-5	0.0	0.0	9.392758173731863E-4	1.0867331013992712E-4	1182.8626920234383	35.489093875520346
24	1169.6611452553043	31.14640624928816	0.0	0.0	9.916973200603252E-4	7.353484294871996E-5	0.0	0.0	9.631112147303611E-4	1.0828804452746882E-4	1167.7709866403384	34.5891235212922
25	1156.1210883511303	28.47499585246084	0.0	0.0	9.860580287721632E-4	7.655494270074491E-5	0.0	0.0	9.481107181557036E-4	1.0390089195223094E-4	1155.8645108665514	32.87009467121635
26	1145.0887420926229	27.745786794446552	0.0	0.0	9.94931645081465E-4	7.792164265245966E-5	0.0	0.0	8.731052491128821E-4	1.0259196120856854E-4	1144.9113238868158	32.19266060147717
27	1134.4393798291349	26.76480369252895	0.0	0.0	9.796080029218501E-4	7.730582401387935E-5	0.0	0.0	9.321571342013613E-4	8.218579062220972E-5	1134.2058863854254	31.002533114822917
28	1124.4651598381606	28.279213487818105	0.0	0.0	9.801093302996833E-4	8.734306404445391E-5	0.0	0.0	9.933104788331093E-4	1.1388769848294674E-4	1122.4307582296824	30.87688584553388
29	1109.866217360919	27.44629694658683	0.0	0.0	9.839328993450636E-4	8.761262366419054E-5	0.0	0.0	9.79344156633033E-4	1.0476101852298277E-4	1107.6919523493561	30.974718420630047
30	1096.105914495347	27.356046180626958	0.0	0.0	9.905845446667172E-4	9.237890870905652E-5	0.0	0.0	9.25982229375677E-4	8.271664090042316E-5	1094.0427154213903	30.453974019645976
31	1082.3545724329233	26.348285148695215	0.0	0.0	9.874936610714258E-4	1.0567313338766587E-4	0.0	0.0	9.724489342772813E-4	8.335197534718604E-5	1080.4354581214648	30.36014291460592
32	1068.7623484226133	25.382778078922996	0.0	0.0	9.90567605981596E-4	9.120087725800197E-5	0.0	0.0	8.949924513217411E-4	5.5668939066499945E-5	1066.8164967005869	28.99160522833671
33	1055.8484367366254	25.31368100801759	0.0	0.0	9.780849116083346E-4	9.212724998941546E-5	0.0	0.0	9.589198403716637E-4	5.679937886604591E-5	1053.5691048778608	28.444659629538496
34	1043.1185649813851	22.171492366556215	0.0	0.0	9.995229394235139E-4	9.364686998036831E-5	0.0	0.0	9.61348665072137E-4	8.581211582047604E-5	1039.5033440325642	24.784994574754688
35	1030.0349938407235	21.24081696097269	0.0	0.0	9.917189456558617E-4	8.022354943839424E-5	0.0	0.0	8.74974180959498E-4	7.746108017091625E-5	1026.4624214939104	23.295539563544704
36	1017.442548086663	21.045647093874514	0.0	0.0	9.840494843444958E-4	6.074358360445976E-5	0.0	0.0	8.507660082557322E-4	7.727877044470516E-5	1013.922231225537	22.60493473726063
37	1005.0878177588529	19.97430604096984	0.0	0.0	9.936937353671738E-4	9.328699418498232E-5	0.0	0.0	8.419078211829856E-4	7.643592187913796E-5	1001.5862077818092	20.884516258659527
38	992.6468385078406	19.736056715133724	0.0	0.0	9.826548854903194E-4	8.939546250137519E-5	0.0	0.0	9.095164352288521E-4	8.091787119360905E-5	989.7317356017302	20.91597334259105
39	981.2985687425098	18.475605389981848	0.0	0.0	9.9161303648998E-4	9.255150437326165E-5	0.0	0.0	9.151294927391973E-4	8.268478334049301E-5	978.394102259881	20.082576262252317
