iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	subnet_2_gap 	subnet_3_gap 	full_gap
0	0.014219396265356843	0.0	0.010184363743874325	0.0	0.004467253794911641	0.016273873283684237
1	0.00974622689904392	0.0	0.0026207642253740504	0.0	2.322977635915713E-6	0.009699205105256792
2	0.00553599609131783	0.0	7.030426623580999E-4	0.0	1.2258873242076973E-6	0.005512115462696698
3	0.003971682600652171	0.0	1.194479168351581E-4	0.0	1.1781253254072865E-6	0.003936270424946486
4	0.003960032497696053	0.0	1.6522014799069673E-5	1.1102230246251565E-16	1.0433844529478264E-6	0.003898463321076351
5	0.003781789304754035	0.0	4.8797947069800784E-6	0.0	1.1415007055148862E-6	0.0037244971765728607
6	0.0033600694599410508	0.0	1.2093260938206285E-6	0.0	1.2840138839953497E-6	0.0033082636127883536
7	0.0036049787608330996	0.0	9.96880459069871E-7	0.0	1.2380219840402162E-6	0.0035713653664795064
8	0.0032197957574630065	0.0	9.271029629553951E-7	0.0	1.225851086306129E-6	0.003192090831964922
9	0.002981622759444136	0.0	9.70256652910173E-7	2.220446049250313E-16	1.2095362389441533E-6	0.002970906654253258
10	0.002802521218320253	0.0	8.66997919790613E-7	2.220446049250313E-16	1.3031760539572446E-6	0.002790378188106679
11	0.0026736989133727684	0.0	1.0135363226471128E-6	2.220446049250313E-16	1.2645530310662068E-6	0.002664059755756676
12	0.0024254760003995512	0.0	9.314770391677385E-7	0.0	1.4622237921591008E-6	0.002426050029258109
13	0.0017348995611491391	0.0	9.974701191683977E-7	2.220446049250313E-16	1.0812619787303746E-6	0.0017209776270715738
14	0.0019486677320140755	0.0	1.0212026606559732E-6	2.220446049250313E-16	1.2214327040904749E-6	0.001941779093022511
15	0.0016844049143061035	0.0	1.0221788174780144E-6	0.0	1.0524289022484368E-6	0.001675243062643439
16	0.0020690450845053387	0.0	9.720115662359419E-7	0.0	1.400790844430233E-6	0.002068321517634808
17	0.0020949838131490983	0.0	3.049025096846236E-7	4.440892098500626E-16	7.607887427818483E-7	0.002088099331976845
18	0.002040773061757206	0.0	4.953029312249058E-7	0.0	1.0077563681321067E-6	0.002036638574441585
19	0.0020021192153238943	0.0	2.863468482328102E-7	0.0	1.5152526788853038E-6	0.0019952775758729224
20	0.0018123206766527122	0.0	3.378020386746172E-7	-2.220446049250313E-16	1.425468227345128E-6	0.0018051493807202945
21	0.001804097980751207	0.0	3.122167476776738E-7	0.0	1.13156175118867E-6	0.001798947116158578
22	0.0017511323508551113	0.0	3.3924472542246065E-7	2.220446049250313E-16	1.3160533167688726E-6	0.0017454361059739965
23	0.0016995430575449388	0.0	3.190258572871585E-7	2.220446049250313E-16	1.4423031013954812E-6	0.00169247565117292
24	0.0018155017220264913	0.0	2.844852656780361E-7	0.0	1.4415467881612187E-6	0.001806768677200199
25	0.0017966252373582403	0.0	3.0010004825609116E-7	0.0	1.384920199853923E-6	0.0017848836538790769
26	0.0017526972052650525	0.0	2.994663823585597E-7	0.0	1.3698708011267158E-6	0.001741047471625401
27	0.0017255600574606067	0.0	2.898186028943428E-7	0.0	1.038084038285092E-6	0.0017104798809333133
28	0.0014598820867041118	0.0	2.459765556794835E-7	0.0	1.5178614709565608E-6	0.0014490021318848134
29	0.00142690800834544	0.0	2.7609770636427555E-7	0.0	1.3967409882020831E-6	0.001418743232473374
30	0.001397091919046134	0.0	2.7023366488965195E-7	0.0	1.2421398833950548E-6	0.0013895069362525048
31	0.0013678542534929505	0.0	2.459143327859792E-7	0.0	1.2577081429654413E-6	0.0013603620297336638
32	0.0013384112051842978	0.0	2.587932713682406E-7	0.0	8.40108197119882E-7	0.0013309498841936884
33	0.001310854120445737	0.0	2.685345802388994E-7	2.220446049250313E-16	8.663304694733753E-7	0.0013032342640684202
34	0.0012866956027867138	0.0	2.677136539119829E-7	1.1102230246251565E-16	1.2725893134835076E-6	0.001278616165821811
35	0.0012584808102245049	0.0	2.3982541075273645E-7	2.220446049250313E-16	1.1572751456023767E-6	0.0012512217772374656
36	0.001231896259631382	0.0	2.3630743828384482E-7	0.0	1.1481932684631602E-6	0.00122796090752042
37	0.0012231166979411734	0.0	2.582913819493271E-7	1.1102230246251565E-16	1.133056292568213E-6	0.0012189799215961417
38	0.001206219293301003	0.0	5.277319919949619E-7	1.1102230246251565E-16	1.1902528174179139E-6	0.0012017195895610566
39	0.00118951429097236	0.0	5.492810973839468E-7	1.1102230246251565E-16	1.2226600816234168E-6	0.001185089502517278
40	0.001183682062749658	0.0	5.177097491815275E-7	2.220446049250313E-16	1.214792895942729E-6	0.0011786830323528008
41	0.0011809586619485613	0.0	4.996574251014962E-7	1.1102230246251565E-16	1.148851403565132E-6	0.0011777910815750081
42	7.086994011099579E-4	0.0	8.181297109777219E-7	2.220446049250313E-16	1.1635207811666604E-6	7.00139223137275E-4
