iteration	solveMasterNet(ms)	updateSubDemand(ms)	solveSubNets(ms)	mapFlow(ms)	getGapFullNet(ms)		Sum	PercentMasterTime		
0	138	0	153	6	3		300	46.00%	51.00%	
1	133	0	30	2	2		167	79.64%	17.96%	
2	181	0	27	3	2		213	84.98%	12.68%	
3	193	0	31	2	3		229	84.28%	13.54%	
4	1270	0	30	2	2		1304	97.39%	2.30%	
5	1404	0	29	2	2		1437	97.70%	2.02%	
6	1213	0	187	1	2		1403	86.46%	13.33%	
7	1212	0	173	1	5		1391	87.13%	12.44%	
8	1248	1	200	1	1		1451	86.01%	13.78%	
9	1218	0	179	1	1		1399	87.06%	12.79%	
10	1263	0	193	1	1		1458	86.63%	13.24%	
11	1191	0	172	1	2		1366	87.19%	12.59%	
12	1220	0	191	1	2		1414	86.28%	13.51%	
13	1188	0	175	1	1		1365	87.03%	12.82%	
14	1233	0	197	1	1		1432	86.10%	13.76%	
15	1319	0	176	0	2		1497	88.11%	11.76%	
16	1252	0	235	1	2		1490	84.03%	15.77%	
17	1381	0	210	1	2		1594	86.64%	13.17%	
18	1329	0	195	0	2		1526	87.09%	12.78%	
19	1577	0	196	1	1		1775	88.85%	11.04%	
20	1307	0	200	3	1		1511	86.50%	13.24%	
21	1232	0	184	1	2		1419	86.82%	12.97%	
22	1246	0	204	1	2		1453	85.75%	14.04%	
23	1243	1	180	0	2		1426	87.17%	12.62%	
24	1253	1	199	0	2		1455	86.12%	13.68%	
25	1222	1	175	1	1		1400	87.29%	12.50%	
26	1251	0	198	1	1		1451	86.22%	13.65%	
27	1226	0	187	0	2		1415	86.64%	13.22%	
28	1261	1	206	0	2		1470	85.78%	14.01%	
29	1217	0	181	1	1		1400	86.93%	12.93%	
30	1250	0	209	1	2		1462	85.50%	14.30%	
31	1241	0	182	1	1		1425	87.09%	12.77%	
32	1280	1	205	1	2		1489	85.96%	13.77%	
33	1204	1	173	1	1		1380	87.25%	12.54%	
34	1271	0	200	1	1		1473	86.29%	13.58%	
35	1248	0	178	2	1		1429	87.33%	12.46%	
36	1287	1	210	1	1		1500	85.80%	14.00%	
37	1259	1	176	1	2		1439	87.49%	12.23%	
38	1301	0	199	1	2		1503	86.56%	13.24%	
39	1283	0	178	1	1		1463	87.70%	12.17%	
40	1288	0	190	1	1		1480	87.03%	12.84%	
41	1271	0	181	1	1		1454	87.41%	12.45%	
42	1309	1	199	1	2		1512	86.57%	13.16%	
43	1237	1	182	1	1		1422	86.99%	12.80%	
44	1262	0	192	1	1		1456	86.68%	13.19%	
45	1223	0	183	1	2		1409	86.80%	12.99%	
46	1322	0	194	1	1		1518	87.09%	12.78%	
47	1266	1	186	2	1		1456	86.95%	12.77%	
48	1308	1	199	1	1		1510	86.62%	13.18%	
49	1215	1	179	0	2		1397	86.97%	12.81%	
50	1364	0	197	1	1		1563	87.27%	12.60%	
51	1274	0	182	0	2		1458	87.38%	12.48%	
52	1278	0	198	1	1		1478	86.47%	13.40%	
53	1246	0	183	0	2		1431	87.07%	12.79%	
54	1306	0	198	1	2		1507	86.66%	13.14%	
55	1271	0	191	1	1		1464	86.82%	13.05%	
56	1296	0	203	1	2		1502	86.28%	13.52%	
57	1268	0	188	1	2		1459	86.91%	12.89%	
58	1330	1	199	1	1		1532	86.81%	12.99%	
59	1290	1	185	1	2		1479	87.22%	12.51%	
60	1275	0	197	1	1		1474	86.50%	13.36%	
61	1210	1	186	1	1		1399	86.49%	13.30%	
62	1302	0	194	1	1		1498	86.92%	12.95%	
63	1205	1	183	1	1		1391	86.63%	13.16%	
64	1250	0	199	1	1		1451	86.15%	13.71%	
65	1294	0	184	1	1		1480	87.43%	12.43%	
66	1286	1	200	1	3		1491	86.25%	13.41%	
67	1255	0	188	1	2		1446	86.79%	13.00%	
68	1309	0	204	1	1		1515	86.40%	13.47%	
69	1271	0	182	1	1		1455	87.35%	12.51%	
70	1251	0	189	1	2		1443	86.69%	13.10%	
71	1197	0	181	1	1		1380	86.74%	13.12%	
72	1246	1	194	1	1		1443	86.35%	13.44%	
73	1193	1	178	0	2		1374	86.83%	12.95%	
74	1249	0	192	1	1		1443	86.56%	13.31%	
75	1204	0	184	1	1		1390	86.62%	13.24%	
76	1307	0	217	1	2		1527	85.59%	14.21%	
77	1243	0	181	1	1		1426	87.17%	12.69%	
78	1254	1	191	1	1		1448	86.60%	13.19%	
79	1208	1	182	1	2		1394	86.66%	13.06%	
80	1278	1	197	1	2		1479	86.41%	13.32%	
81	1217	0	180	1	1		1399	86.99%	12.87%	
82	1267	0	192	1	1		1461	86.72%	13.14%	
83	1209	1	181	1	2		1394	86.73%	12.98%	
84	1251	1	195	1	1		1449	86.34%	13.46%	
85	1194	0	179	1	1		1375	86.84%	13.02%	
86	1272	1	195	1	1		1470	86.53%	13.27%	
87	1213	1	181	0	2		1397	86.83%	12.96%	
88	1266	0	199	0	2		1467	86.30%	13.57%	
89	1205	1	180	1	1		1388	86.82%	12.97%	
90	1249	0	194	1	1		1445	86.44%	13.43%	
91	1203	0	182	1	1		1387	86.73%	13.12%	
92	1255	1	196	1	1		1454	86.31%	13.48%	
93	1198	0	179	1	2		1380	86.81%	12.97%	
94	1248	1	191	1	1		1442	86.55%	13.25%	
95	1209	1	181	0	2		1393	86.79%	12.99%	
96	1250	0	197	1	1		1449	86.27%	13.60%	
97	1209	0	181	1	1		1392	86.85%	13.00%	
98	1264	0	191	0	2		1457	86.75%	13.11%	
99	1199	0	183	0	2		1384	86.63%	13.22%	
100	1252	1	197	1	1		1452	86.23%	13.57%	
101	1205	0	180	1	1		1387	86.88%	12.98%	
102	1287	0	191	1	2		1481	86.90%	12.90%	
103	1212	0	183	0	2		1397	86.76%	13.10%	
104	1249	0	197	1	1		1448	86.26%	13.60%	
105	1209	1	178	1	1		1390	86.98%	12.81%	
106	1259	0	192	1	1		1453	86.65%	13.21%	
107	1214	0	180	0	2		1396	86.96%	12.89%	
108	1273	1	196	0	2		1472	86.48%	13.32%	
109	1198	0	179	1	1		1379	86.87%	12.98%	
110	1286	0	188	1	1		1476	87.13%	12.74%	
111	1204	1	183	1	1		1390	86.62%	13.17%	
112	1244	0	199	0	2		1445	86.09%	13.77%	
113	1224	0	178	1	1		1404	87.18%	12.68%	
114	1259	1	192	1	1		1454	86.59%	13.20%	
115	1220	0	182	1	2		1405	86.83%	12.95%	
116	1263	1	197	0	2		1463	86.33%	13.47%	
117	1212	0	177	1	1		1391	87.13%	12.72%	
118	1247	0	192	1	1		1441	86.54%	13.32%	
119	1200	0	181	1	1		1383	86.77%	13.09%	
120	1267	0	197	0	2		1466	86.43%	13.44%	
121	1212	1	177	1	1		1392	87.07%	12.72%	
122	1268	0	192	1	1		1462	86.73%	13.13%	
123	1201	0	182	1	1		1385	86.71%	13.14%	
124	1262	0	193	1	1		1457	86.62%	13.25%	
125	1203	0	181	0	2		1386	86.80%	13.06%	
126	1267	1	190	1	1		1460	86.78%	13.01%	
127	1211	1	182	1	1		1396	86.75%	13.04%	
128	1265	0	199	1	1		1466	86.29%	13.57%	
129	1212	1	180	0	2		1395	86.88%	12.90%	
130	1266	0	191	1	1		1459	86.77%	13.09%	
131	1240	0	183	1	1		1425	87.02%	12.84%	
132	1268	0	193	1	1		1463	86.67%	13.19%	
133	1217	0	185	1	1		1404	86.68%	13.18%	
134	1257	0	193	1	2		1453	86.51%	13.28%	
135	1227	0	181	1	1		1410	87.02%	12.84%	
136	1250	1	192	0	2		1445	86.51%	13.29%	
137	1226	0	182	0	2		1410	86.95%	12.91%	
138	1266	1	194	1	1		1463	86.53%	13.26%	
139	1233	1	179	1	2		1416	87.08%	12.64%	
140	1249	0	194	1	1		1445	86.44%	13.43%	
141	1233	1	183	1	1		1419	86.89%	12.90%	
142	1251	0	193	1	1		1446	86.51%	13.35%	
143	1223	0	183	1	1		1408	86.86%	13.00%	
144	1283	0	192	1	2		1478	86.81%	12.99%	
145	1219	0	182	0	2		1403	86.89%	12.97%	
146	1255	0	196	1	1		1453	86.37%	13.49%	
147	1230	0	182	0	2		1414	86.99%	12.87%	
148	1253	0	190	1	1		1445	86.71%	13.15%	
149	1226	0	182	1	2		1411	86.89%	12.90%	
150	1261	0	192	1	2		1456	86.61%	13.19%	
151	1223	1	179	1	1		1405	87.05%	12.74%	
152	1254	0	193	1	1		1449	86.54%	13.32%	
153	1215	0	184	0	2		1401	86.72%	13.13%	
154	1256	0	196	1	1		1454	86.38%	13.48%	
155	1232	0	181	0	2		1415	87.07%	12.79%	
156	1269	1	194	0	2		1466	86.56%	13.23%	
157	1221	0	182	1	2		1406	86.84%	12.94%	
158	1275	0	193	1	1		1470	86.73%	13.13%	
159	1220	0	182	1	1		1404	86.89%	12.96%	
160	1253	0	196	1	1		1451	86.35%	13.51%	
161	1220	0	182	1	1		1404	86.89%	12.96%	
162	1267	0	194	1	1		1463	86.60%	13.26%	
163	1219	0	181	1	1		1402	86.95%	12.91%	
164	1265	0	194	1	1		1461	86.58%	13.28%	
165	1234	0	181	1	1		1417	87.09%	12.77%	
166	1259	0	194	0	2		1455	86.53%	13.33%	
167	1235	0	183	2	1		1421	86.91%	12.88%	
168	1262	0	192	1	2		1457	86.62%	13.18%	
169	1234	0	186	0	2		1422	86.78%	13.08%	
170	1272	0	194	1	1		1468	86.65%	13.22%	
171	1230	0	181	0	2		1413	87.05%	12.81%	
172	1266	0	192	0	2		1460	86.71%	13.15%	
173	1198	0	182	0	2		1382	86.69%	13.17%	
174	1258	0	196	1	1		1456	86.40%	13.46%	
175	1222	0	182	1	1		1406	86.91%	12.94%	
176	1263	1	193	1	1		1459	86.57%	13.23%	
177	1219	1	181	0	2		1403	86.89%	12.90%	
178	1274	0	193	0	2		1469	86.73%	13.14%	
179	1209	1	181	1	2		1394	86.73%	12.98%	
180	1262	0	193	1	1		1457	86.62%	13.25%	
181	1231	1	183	0	2		1417	86.87%	12.91%	
182	1281	0	192	0	2		1475	86.85%	13.02%	
