iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	full_max 	 full_avg
0	1.2926033876015879	0.05233568394170255	0.32090350517087884	0.008218036131799375	14.914625547789644	0.28227290712467645	51.61636717243361	1.0278321392264003
1	0.36164493935397246	0.013857318518766478	0.0037040392674292377	4.070372821350811E-5	1.03742698596378	0.04051922696015358	15.950471564273997	0.3678262697102633
2	0.13579329852585076	0.0019964996947456053	9.882065714847954E-4	4.883519855024145E-5	0.1497508631504303	0.004726090358044224	27.06538348695301	1.0028163227555384
3	0.015418741394931601	3.3896109071579385E-4	0.0	0.0	0.15385074023972578	0.0023885130721930554	24.06250729722846	0.6739018155174609
4	9.996906002243122E-4	1.872725402128663E-4	9.81497078143434E-4	6.976563267169449E-5	0.01193403182706021	3.184948177440535E-4	40.75626890111499	1.88475292629035
5	9.83139889136453E-4	1.8282190719773623E-4	0.0	0.0	0.0025360664964892976	1.1418548369876098E-4	28.434755756050883	0.8343684444513315
6	9.88322611043202E-4	1.7080904624269547E-4	9.89328897976094E-4	4.9882488824618134E-5	9.70330460237534E-4	1.394047710742216E-4	45.71430952597247	1.1556262371960595
7	9.93252895298724E-4	1.9031751267781444E-4	9.011620353049921E-4	9.902879508846067E-6	9.020546691864695E-4	8.865327913840773E-5	42.72021177313586	1.0539892620963658
8	9.952054431892066E-4	1.4925186343626716E-4	9.523478890400838E-4	4.900770609093809E-5	9.985548686373136E-4	1.0554726179029059E-4	53.13734648500967	0.5878700753396425
9	9.878387661927945E-4	1.7962991946655923E-4	9.035669564454452E-4	1.964275992272707E-5	9.86263392150022E-4	9.230241062296336E-5	35.049425275955194	0.969097345200866
10	9.872981909495593E-4	1.2857826151043087E-4	9.63246959813091E-4	7.55232802639155E-5	9.935477838567408E-4	1.1304541325496902E-4	60.25840269623777	0.8196418605261597
11	9.946066719379587E-4	1.8992771431846286E-4	8.900475166981892E-4	5.56279697935258E-5	9.63273327869274E-4	9.31303784771485E-5	41.85752562826351	1.0055503254290648
12	9.97444197722075E-4	1.6656654132726388E-4	8.85942968622544E-4	4.547441645069296E-5	9.819883699719867E-4	1.0535275645430096E-4	61.07465126061153	0.5843618130121639
13	9.916630942576887E-4	1.8845499138456446E-4	9.112570527243236E-4	2.9023750418286236E-5	9.825486142815976E-4	9.872658640544185E-5	35.480867373672794	1.103286685294899
14	9.841383539708204E-4	1.304973529785299E-4	9.170641007614222E-4	7.211781870360457E-5	9.221770368732507E-4	1.2095980387497802E-4	64.28285977329102	1.0693677549494653
15	9.888403938944634E-4	1.8370961727073122E-4	8.906239378347891E-4	6.404743633147217E-5	9.739345386456932E-4	9.553471115892175E-5	35.92327436800171	0.9030444769836906
16	9.91675050428853E-4	1.4705415652963802E-4	9.471752075285167E-4	7.703399847889439E-5	9.963511355479682E-4	1.0054287954680868E-4	66.19459702384606	0.7250336961498001
17	9.994663740897636E-4	1.843192514258484E-4	9.062948372715596E-4	7.317074874656923E-5	9.811876480654291E-4	1.0529873909648682E-4	35.52794999568741	0.8317543979650882
18	9.819201226690666E-4	1.43013309842752E-4	9.837259337501791E-4	6.982654777745018E-5	9.958831710399352E-4	1.1463292815801103E-4	66.33696669492954	0.7803441175865345
19	9.99427347480264E-4	1.8100038166947235E-4	8.90575153574602E-4	8.079125827790168E-5	9.46574686132351E-4	9.901994061517587E-5	26.650489112851076	0.7210553263981598
20	9.871972257755601E-4	1.4238073029101356E-4	9.280814717662622E-4	6.253838347491478E-5	9.699175370414537E-4	1.2379751854109058E-4	66.29041000480314	0.7719251255970078
21	9.990286293941608E-4	1.6841311241808655E-4	8.992663920182054E-4	8.10954676349915E-5	9.766928227534777E-4	1.2689991397933317E-4	26.680586383677234	0.7430633002875884
22	9.93234020967293E-4	1.8625734324896105E-4	8.824736902717234E-4	6.10929057158554E-5	9.979848458492313E-4	1.1627053261645476E-4	66.22088507427934	0.8722880625627307
23	9.984251769026287E-4	1.8594989906426754E-4	8.863731019310706E-4	7.95365847135583E-5	9.713499536232462E-4	9.332392522927014E-5	26.703239982364593	0.7769919726592966
24	9.865474441426159E-4	1.4284364395286854E-4	9.840980559552293E-4	7.04420760910749E-5	9.966980505744516E-4	1.1111420765757447E-4	66.19686287989086	0.78952594637796
25	9.991058175486955E-4	1.7647321567039624E-4	8.858253983738962E-4	7.873121587105583E-5	9.621077654387022E-4	7.504020433052743E-5	26.711996263911537	0.6664972903157838
26	9.982960781087513E-4	1.4599389740570416E-4	9.360552092090302E-4	6.665008774692856E-5	9.449643804337882E-4	1.0890943767041561E-4	66.18909347216203	0.7897422353322734
27	9.97748624797623E-4	1.4571085927503878E-4	8.857372364090565E-4	8.03822858432812E-5	9.51932685730128E-4	1.068737231585946E-4	26.71810803900238	0.7214365331229193
28	9.93770308717501E-4	1.649751863918901E-4	9.987915880316223E-4	6.802816289795692E-5	9.782409269618597E-4	1.2877845400786407E-4	66.19573211607019	0.8805116454632482
29	9.826928878595709E-4	1.7134698846087796E-4	9.002655293670614E-4	8.09526644648496E-5	9.864310764342576E-4	8.34781299888054E-5	26.71607213611172	0.6935381925641152
30	9.958181110363284E-4	1.7157956534074784E-4	8.5420575550188E-4	6.01130317119712E-5	9.770222344940294E-4	1.2269712409566206E-4	66.18448267522433	0.8771605822584456
31	9.930020839163944E-4	1.7144505267994103E-4	8.856778345354144E-4	8.029966862103705E-5	8.640206990584431E-4	9.49109839797996E-5	26.723649969612534	0.7435749426671819
32	9.795330762472076E-4	1.400088836983503E-4	9.222681215703687E-4	6.335469863901662E-5	9.986788043185868E-4	1.1299247559489488E-4	65.74378605975494	0.9791094146682905
33	9.954632764817006E-4	1.691014054877239E-4	9.915354146166067E-4	8.363176974339457E-5	9.977644826761889E-4	8.719044706063405E-5	26.765843079587217	0.6938748529410346
34	9.99436804008269E-4	1.467790285177583E-4	9.50346879150743E-4	6.638816717440346E-5	9.976294637397132E-4	1.139998291183731E-4	65.38340666412333	0.7906064385074795
35	9.885262455000543E-4	1.907789112104151E-4	8.835930438308992E-4	7.9150761512238E-5	9.946342686220078E-4	1.084620093557174E-4	26.803382523037254	0.7800457333292216
36	9.569474527424404E-4	1.5452549963828217E-4	9.657696189862008E-4	6.7386612565062E-5	9.792122460545727E-4	1.2521787965323006E-4	65.38374413814302	0.7940972696531357
37	9.946512670993002E-4	1.8240681860038767E-4	8.833764473372696E-4	7.992495912420543E-5	9.270783109727176E-4	7.358809304026606E-5	26.82066395132903	0.7103220750240968
38	9.814915927108814E-4	1.5739100917650504E-4	9.893786190389164E-4	6.852366537613466E-5	9.997045095957446E-4	1.1055312934566295E-4	65.38395736654037	0.7895002555023175
39	9.922803104878142E-4	1.8571864744714207E-4	8.966903125795511E-4	8.069826309414606E-5	9.639099237048754E-4	7.292056673570426E-5	26.818945942362035	0.7744020404486134
40	9.941636051280511E-4	1.6396248068071398E-4	8.837612580521181E-4	6.094885626847933E-5	9.714816144708038E-4	9.550563830069374E-5	65.43817035637505	0.796367437969111
41	9.949553086130436E-4	1.6289956045319816E-4	8.838656253971067E-4	7.895713734632525E-5	9.872805440913623E-4	1.005660339993208E-4	26.823641801708042	0.6955431778362217
42	9.9299017292509E-4	1.7354088448450313E-4	9.385405342214881E-4	6.544032089099957E-5	9.885990282008095E-4	1.1960258148641101E-4	65.54554671434522	0.776755327743926
43	9.856967201784528E-4	1.7460370551570736E-4	9.953297195721689E-4	8.378615545888353E-5	9.578592145800258E-4	1.2383180382902304E-4	26.826835198815424	0.5982111595868158
44	9.97814277894804E-4	1.4779358769257347E-4	8.97026223341868E-4	6.2801877665267E-5	9.486439406138913E-4	1.1016265003518844E-4	65.51745970564997	0.7924485708752897
45	9.919647546823285E-4	1.7098984402143933E-4	8.85339590912082E-4	7.79023343322606E-5	9.55582664943222E-4	1.0233450610667821E-4	26.829580439936763	0.691179861257428
46	9.842673307574046E-4	1.5228202527672874E-4	9.609750212256074E-4	6.69116123392978E-5	9.813392430260137E-4	1.2660844346160864E-4	65.47785571945204	0.784281330265644
47	9.975927081384839E-4	1.645073982545746E-4	9.881674802088014E-4	8.362646003516591E-5	9.46731593074901E-4	1.015362073189568E-4	26.82951298711805	0.6497109504895654
48	9.906597287780983E-4	1.4370488004311654E-4	9.360101580853097E-4	6.55803766458695E-5	9.998312089365413E-4	1.057027969561296E-4	65.42790773462373	0.7886723500883188
49	9.954254685027308E-4	1.6320293083766743E-4	9.89095947730334E-4	8.36624419290658E-5	9.496286213881433E-4	9.956359426659349E-5	26.840659145889557	0.6235860397480405
50	9.713911613111748E-4	1.467545825401875E-4	9.294999078122146E-4	6.55558161966716E-5	9.943655635069604E-4	1.197047855595128E-4	65.35491515138985	0.7964210168348326
51	9.901398386418236E-4	1.6716310910354465E-4	8.858046406032827E-4	7.800540716448728E-5	9.94293159479298E-4	1.0203069396811417E-4	26.832817104438753	0.6553418978728965
52	9.999349388536416E-4	1.816157369166111E-4	9.234781200717634E-4	6.568068534683464E-5	9.849883742205634E-4	1.0598930542105083E-4	65.39485576896635	0.7852892166090095
53	9.927690597706373E-4	1.6576535505855836E-4	9.989380844146467E-4	8.395927639025625E-5	9.490924989741245E-4	1.0131110636266808E-4	26.841351444512497	0.6823187891846656
54	9.914828195149994E-4	1.3884488395429813E-4	9.33394616509986E-4	6.597303340870802E-5	9.692874958417974E-4	1.2027105662909767E-4	65.34914138458285	0.7807443973757524
55	9.894838115940274E-4	1.6234129193088475E-4	8.858277917482837E-4	7.815829670328978E-5	9.93825774159518E-4	1.020071394505724E-4	26.833300560374216	0.6231767842875467
56	9.986957866132684E-4	1.5217167903194766E-4	9.127053228183968E-4	6.561003618513395E-5	9.846836422511274E-4	1.1154788531068031E-4	65.38627671640727	0.7946450794035255
57	9.989822893459177E-4	1.595489272125466E-4	8.858568602150285E-4	7.801565642015367E-5	9.823791043324093E-4	1.0264878524668707E-4	26.84153800059132	0.6829318725428974
58	9.872590214143884E-4	1.4173399042263627E-4	9.259954311495733E-4	6.598368122456957E-5	9.68733457842319E-4	1.1871705396095018E-4	65.34503186945693	0.7759958504769572
59	9.833008407014177E-4	1.634982655750714E-4	8.858386509693617E-4	7.813270926405164E-5	9.776236702521146E-4	1.0658647654979825E-4	26.832980582319955	0.6601001262404712
60	9.989654079518573E-4	1.512268805705731E-4	9.145843003501852E-4	6.566908817779055E-5	9.784603781426426E-4	1.1107869291515884E-4	65.38963944489737	0.769539660554684
61	9.992510317076153E-4	1.6423049730034887E-4	8.858826692588195E-4	7.80951361151497E-5	9.863469251598644E-4	1.0296843535031567E-4	26.84170757776617	0.6661713778362909
62	9.828429090248392E-4	1.8175344857783817E-4	9.201799778537634E-4	6.585452215454619E-5	9.680120325867847E-4	1.186291949541439E-4	65.34774128825498	0.7831038913522952
63	9.87907071845484E-4	1.4991593235820803E-4	8.858338285087086E-4	7.823378665919676E-5	9.767976368948439E-4	1.0651729472587891E-4	26.833255438587308	0.6642511322237307
64	9.633650877702848E-4	1.420147661971499E-4	9.107716476961514E-4	6.57210732943548E-5	9.784996403254809E-4	1.1108340308890913E-4	65.38816827884287	0.7695075401678583
65	9.915232395059093E-4	1.6617489409721505E-4	8.858615597766573E-4	7.811441914686879E-5	9.84891434907098E-4	1.0464434238260805E-4	26.841261837814596	0.6821803095046037
66	9.971548619880366E-4	1.6665034330344574E-4	9.257631162000735E-4	6.607955510447451E-5	9.98795215320314E-4	1.231284845194211E-4	65.34740143869594	0.786476807400842
67	9.95694358390864E-4	1.8359448135613285E-4	8.858061597187827E-4	7.819171032861092E-5	9.487022565934922E-4	1.0052828473911671E-4	26.83356830210271	0.6521423268375957
68	9.84982902608067E-4	1.64319338304859E-4	9.183037053617227E-4	6.588981922404252E-5	9.862043030217649E-4	1.0437061962637668E-4	65.39287334978488	0.7901492153130023
69	9.963218135311536E-4	1.535994861752656E-4	8.858823801389804E-4	7.809381945102068E-5	9.871097057683187E-4	1.0487343700233964E-4	26.841785492274056	0.6475049766846077
70	9.989654988515895E-4	1.4425809485466508E-4	9.245458877273904E-4	6.600491793329104E-5	9.982388113840557E-4	1.2306822374208635E-4	65.34902372909687	0.7817630182409885
71	9.967609747860706E-4	1.5689019551894652E-4	8.858186369344878E-4	7.822635245251889E-5	9.769422739083211E-4	1.0651637755445051E-4	26.833749073982784	0.6806540820583201
72	9.985208686096314E-4	1.8214337709636038E-4	9.168992192911674E-4	6.584788761411483E-5	9.783311824591578E-4	1.1106820165461311E-4	65.39089940272463	0.7829851260409209
73	9.915353389686743E-4	1.5780034866403033E-4	8.858757274872175E-4	7.810347471438393E-5	9.86781725554664E-4	1.0300198308492766E-4	26.841927296342046	0.6659014816374436
74	9.949263697421884E-4	1.5528353067196255E-4	9.211035059735195E-4	6.595192390636487E-5	9.700744527734173E-4	1.1888279643262366E-4	65.34444642909598	0.7864743506132107
75	9.966419823115302E-4	1.5748419143791164E-4	8.8581009913824E-4	7.825409230802245E-5	9.494763803061801E-4	1.0060163185954314E-4	26.833144387391478	0.675584125877927
76	9.97505407575261E-4	1.6897765656688393E-4	9.124254305703516E-4	6.57788576855466E-5	9.853337536185336E-4	1.0428274942820319E-4	65.39091835515882	0.7816537835231685
77	9.95197543652182E-4	1.6630728637883756E-4	8.858674380753939E-4	7.809235165256777E-5	9.863097867253146E-4	1.0481968101085513E-4	26.841729787072744	0.6501289639147092
78	9.85377944424215E-4	1.6323714241048116E-4	9.207441751044598E-4	6.586786023903417E-5	9.703737690678338E-4	1.189226569273512E-4	65.34804052263885	0.780649358381277
79	9.994306474929715E-4	1.6174076943410766E-4	8.858068744821423E-4	7.826734046496429E-5	9.49428660348417E-4	1.0058377076465637E-4	26.833689702434487	0.6642534869680463
80	9.911426327846584E-4	1.581089104742826E-4	9.107806628207982E-4	6.57226178779407E-5	9.818421048493065E-4	1.089264243644313E-4	65.39096369793435	0.7958685758116493
81	9.81781234052903E-4	1.6614810757516313E-4	8.858454160662887E-4	7.807676645979506E-5	9.302152465977542E-4	9.959075804253318E-5	26.841885680027538	0.669144088229245
82	9.845263291055062E-4	1.6123256551862312E-4	9.249673493627597E-4	6.60716665807159E-5	9.977014919471117E-4	1.2300397443263617E-4	65.34958359608729	0.7902056931298839
83	9.9421190540383E-4	1.726453547606503E-4	8.8583726438074E-4	7.815523724464599E-5	9.750246621322844E-4	1.061356381882959E-4	26.833438386449807	0.6300126703812508
84	9.96044941341978E-4	1.684373166610933E-4	9.158671074160907E-4	6.568794199149438E-5	9.782833192417684E-4	1.042773286388944E-4	65.39023456030259	0.7823492484989117
