iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	full_gap
0	0.0023444798028725566	7.867436010129403E-4	0.011188627124008033	0.137686898395596
1	5.570729155793819E-4	3.0205703493990654E-9	0.0016487375887531686	0.04735499857314174
2	6.848622425792428E-5	1.6505880965356212E-6	1.4637133957640103E-4	0.08252443325746817
3	7.221526621026264E-6	0.0	1.5040073879502014E-4	0.050938746179473804
4	3.606673703249186E-6	1.511974555223894E-6	1.3097244446091949E-5	0.12327296592001413
5	2.9150751852391465E-6	0.0	3.203982409161199E-6	0.06439045191351989
6	4.5839159819038855E-6	1.4571511266492365E-6	3.806032612962973E-6	0.16158209755213693
7	3.2048495250958098E-6	1.0193817567838437E-8	2.1079199856721687E-6	0.07533589605467594
8	4.07042386396661E-6	1.5020502374119005E-6	2.9614166923153107E-6	0.18306453631341235
9	3.6428706909896746E-6	1.9672673812198838E-7	2.3384202980647473E-6	0.08089862575516982
10	4.010758606676212E-6	1.1809006806862143E-6	3.2861865185696004E-6	0.19397358896017936
11	3.5530326110144728E-6	2.5953037074977203E-7	2.437364556961974E-6	0.08302070608454704
12	4.909898895122389E-6	1.2972557604795654E-6	3.0845910148347144E-6	0.19722411539494422
13	3.3911778447581753E-6	3.4623384359555587E-7	2.434938581652446E-6	0.08615412050797167
14	3.620835806850131E-6	1.3366264576264442E-6	2.4823201668633388E-6	0.208813670308441
15	3.0237270693955765E-6	3.896785282231363E-7	2.352372618807941E-6	0.08795189947258486
16	3.919405289987132E-6	1.4934787755382928E-6	2.8091547036313003E-6	0.21263313646684123
17	2.971380669625212E-6	5.770442920161045E-7	2.26815704573724E-6	0.09161124044326974
18	3.859503905245809E-6	1.5250240561481831E-6	1.9929872138169102E-6	0.21892853014758196
19	2.6910319492756685E-6	6.14412118737917E-7	2.2219277754365052E-6	0.09276992275962959
20	3.7542791142541887E-6	1.3664241299560231E-6	3.985442478149359E-6	0.22177615029874898
21	3.090821809381694E-6	6.411273416606633E-7	2.5483920471636168E-6	0.09336598698307408
22	5.35595428186042E-6	1.3225695526530856E-6	3.466384797534694E-6	0.22369018537226704
23	3.770289500937274E-6	6.355080878206465E-7	1.8972438915465517E-6	0.09374832679917033
24	3.6647182544147228E-6	1.5142235313403418E-6	3.190063898594886E-6	0.22502435932895015
25	3.1904079421662956E-6	6.330589568115386E-7	2.1442343089983495E-6	0.09393319117742849
26	3.940997640339283E-6	1.4263160137417685E-6	2.9864043368243998E-6	0.22555102287332096
27	2.502289858319351E-6	6.525903296639157E-7	2.4806309166791607E-6	0.0939153777277284
28	4.313596338900716E-6	1.4449286583895216E-6	3.365437340363542E-6	0.22545627053069695
29	2.9144384017243397E-6	6.591039677372734E-7	1.8138295230230028E-6	0.09393656542213258
30	4.548016410255151E-6	1.2929553060425647E-6	3.4789639042909215E-6	0.22543704777098172
31	3.3724443262439507E-6	6.519852934205872E-7	2.0719818282222136E-6	0.09392432015601337
32	4.139035517991552E-6	1.366145924164286E-6	3.3808604114060614E-6	0.22358906586135252
33	2.991271611296753E-6	6.92729667406411E-7	1.987636701561435E-6	0.09425068934212288
34	3.8696367986590374E-6	1.4143536318789174E-6	3.4744331872671452E-6	0.22269262767663922
35	3.995085020469524E-6	6.386377209288696E-7	2.2189647839176985E-6	0.09446127399637994
36	3.94654112390036E-6	1.4353655305443525E-6	3.4917337907725E-6	0.22257205751217812
37	3.362436070575292E-6	6.462705942622549E-7	1.80607601663052E-6	0.0944993298313831
38	4.051382591852004E-6	1.457806864668676E-6	3.1026858963167925E-6	0.222572960930852
39	3.8065045560031763E-6	6.541305508367401E-7	1.8087044297843136E-6	0.09453915596230222
40	4.439812724355008E-6	1.3128888510793857E-6	2.174492856776844E-6	0.2225956467192992
41	3.2169573794815776E-6	6.397885565778694E-7	2.2831104136145086E-6	0.09455964197581357
42	4.155742672762308E-6	1.3939652725447615E-6	2.4143914327812155E-6	0.22287806001884047
43	3.419368757251462E-6	7.041642092753264E-7	2.2699868271747192E-6	0.09452443422823686
44	3.905422604977282E-6	1.3387307332690668E-6	2.3188994835443566E-6	0.2227580860104421
45	3.2506635226914327E-6	6.377908207122474E-7	2.177768964939375E-6	0.09451299494564425
46	4.046870037410777E-6	1.4400111458812148E-6	2.331697840807223E-6	0.22251084501065654
47	3.1509947964192264E-6	7.093469096552951E-7	2.047485344380817E-6	0.09448479086272521
48	3.279951351631283E-6	1.4103972221235495E-6	1.6616538708325024E-6	0.22228174187195004
49	3.0604065179851148E-6	7.103307749778409E-7	2.2455174089053287E-6	0.09444112038581243
50	4.4019608630430085E-6	1.4088786435273448E-6	2.1815066394426097E-6	0.22211051659619185
51	3.3244711821200923E-6	6.414756191785997E-7	1.962762554708064E-6	0.09445526737517407
52	4.21897969615781E-6	1.4100299767783042E-6	1.6392083782568179E-6	0.22213370118864328
53	3.1052411197940444E-6	7.130357139173427E-7	2.3519024336948746E-6	0.09443420018281035
54	3.962382422173505E-6	1.4174999075633465E-6	2.226990715836763E-6	0.22205991102559974
55	2.8883900640153115E-6	6.435081996158942E-7	1.962031601521197E-6	0.09445110711210836
56	4.898033513667244E-6	1.4067000579931488E-6	1.7472039981480947E-6	0.22209668650310688
57	2.9252576795313345E-6	6.413966281426653E-7	2.307170634319178E-6	0.09443237512502578
58	3.2658753280623287E-6	1.4163240202869076E-6	2.1294772277746787E-6	0.22203920139503763
59	2.925421548449769E-6	6.431802813677834E-7	1.977815590636922E-6	0.09445076850870715
60	3.998841333618941E-6	1.4081737509386016E-6	1.7375933948349243E-6	0.2220919110699443
61	3.140534518775162E-6	6.425771015283743E-7	2.3107145298295606E-6	0.09443260511753493
62	4.913813056006688E-6	1.4127964064192255E-6	2.127557740982944E-6	0.22203479835502038
63	2.8126663580430034E-6	6.442918185634028E-7	1.9763720533472195E-6	0.09445001141166687
64	3.5964624940376666E-6	1.4084130470770617E-6	1.7369826426083534E-6	0.22208401562707758
65	3.0728187521145145E-6	6.424446399311279E-7	2.416748024480775E-6	0.09443101043915403
66	4.751896383159426E-6	1.41807902009905E-6	2.3073414348040444E-6	0.22203473192949863
67	3.576201787036659E-6	6.43563321856E-7	2.0318195037560827E-6	0.09445228448477616
68	4.857459875995396E-6	1.4130206169582493E-6	1.6516196252869264E-6	0.22209198794988383
69	2.8600977329817923E-6	6.423508471797845E-7	2.421737745117447E-6	0.09443113754632182
70	4.476576783596364E-6	1.4164503437941178E-6	2.3060925328222126E-6	0.22203427552924748
71	2.7501319193046214E-6	6.439657683765532E-7	1.9764828309565274E-6	0.09444919228886517
72	5.467292722549644E-6	1.4119714198956856E-6	1.7360526431975387E-6	0.22209299182510145
73	2.868986037074528E-6	6.425910777929644E-7	2.3110224450784145E-6	0.09443047654759407
74	3.992716760770065E-6	1.4148124706236942E-6	2.1304295574342547E-6	0.22202777543107866
75	2.806992002613029E-6	6.445088320816694E-7	2.0330458392336936E-6	0.09445137109549095
76	4.663272754168446E-6	1.409831161591768E-6	1.6490183121220525E-6	0.22209179283028457
77	3.1951331460611243E-6	6.42531770789212E-7	2.4215675822336635E-6	0.09443221886967001
78	4.844224239297645E-6	1.4131398869965395E-6	2.1307151333305185E-6	0.2220436758830493
79	2.977689206762335E-6	6.446923682679184E-7	2.033056123340593E-6	0.09445272468139065
80	4.774279874886211E-6	1.4084336867892233E-6	1.7322052403567767E-6	0.22209355468532677
81	3.159276467656902E-6	6.420587606026373E-7	2.322055330461481E-6	0.09443170010802993
82	4.732761853643019E-6	1.4177753475674848E-6	2.303261508296295E-6	0.222043542429043
83	3.2879870983659742E-6	6.433828382279572E-7	1.9706322785806307E-6	0.09444956194673582
84	5.371161060252483E-6	1.4087662950634794E-6	1.6369588702325188E-6	0.22209189488472936
85	3.137890153714906E-6	6.420498898096483E-7	2.355057045044795E-6	0.09443028910591267
86	4.469386537642173E-6	1.4163716087756129E-6	2.304127459717975E-6	0.22203555948807085
87	3.1307586489948136E-6	6.436523187769438E-7	1.9697196634860248E-6	0.09445145779362163
88	3.971532491320318E-6	1.4100619960544236E-6	1.6452187637794324E-6	0.2220922682667652
89	3.196714254638522E-6	6.413929161119825E-7	2.353905028895653E-6	0.09443218667798747
90	4.0385603348180865E-6	1.416847872026672E-6	2.3023663865417987E-6	0.2220453345024811
91	3.536428312189699E-6	6.429997904122686E-7	1.969404604840186E-6	0.09445166147915474
92	4.084315621599721E-6	1.4084671779990288E-6	1.5515205811222899E-6	0.2220944982043378
93	2.8938065683714598E-6	6.41982784266304E-7	2.3558006212454075E-6	0.0944336420372146
94	3.6466737607376842E-6	1.4138525639140198E-6	2.3042331684930417E-6	0.22204447626846668
95	2.892109852936642E-6	6.440561792775412E-7	1.9701302997887638E-6	0.09445340423917292
96	4.9983204856163255E-6	1.4080892012380275E-6	1.6632292610951893E-6	0.22209086404273515
97	3.279328147587357E-6	6.418827411813766E-7	2.3195068231673943E-6	0.09443324232155559
98	4.011588730090665E-6	1.4164935991933802E-6	2.301247538083473E-6	0.2220358483593039
99	3.045544517021881E-6	6.444401609018158E-7	1.970307749399325E-6	0.09445286370232531
100	3.2411631010198505E-6	1.4089145400353331E-6	1.678274507477262E-6	0.22209218164824263
101	3.244554954484613E-6	6.413606378208314E-7	2.3516592616568133E-6	0.09443422711513016
102	4.136243663133143E-6	1.4163130285238523E-6	2.2219545985358025E-6	0.22204483034829037
103	3.0365894222450507E-6	6.429499218585377E-7	1.9699037413500875E-6	0.09445098539158148
104	4.483311801140033E-6	1.410227740583636E-6	1.67792084604379E-6	0.22209715133358998
105	2.8647036286466587E-6	6.416870954595311E-7	2.352751842793488E-6	0.094432516197412
106	4.365063723366092E-6	1.4175522632386972E-6	2.319807097306281E-6	0.22204019470176584
107	2.806261959031886E-6	6.440984685607276E-7	1.9691281560874074E-6	0.09444972141535501
108	4.841901941166071E-6	1.4090827711310538E-6	1.6568794003468668E-6	0.22209032888698188
109	2.919405085566318E-6	6.415688557082078E-7	2.320246693998662E-6	0.09443026534002841
110	4.325679336392163E-6	1.4123396344656314E-6	2.1221811082883235E-6	0.22203169954882918
