ODtype	Origin	Destination	Demand	Cost
Regular	1	2	100.0	6.005678853967688
Regular	1	3	100.0	4.025544699146401
Regular	1	4	500.0	8.333954673334869
Regular	1	5	200.0	10.787002202163427
Regular	1	6	300.0	14.158815051211665
Regular	1	7	500.0	914.8043979171517
Regular	1	8	800.0	53.3192220427275
Regular	1	9	500.0	895.1034528055152
Regular	1	10	1300.0	901.7293878434414
Regular	1	11	500.0	17.100801548774093
Regular	1	12	200.0	8.058301909653325
Regular	1	13	500.0	11.094629355033634
Regular	1	14	300.0	913.6628171130204
Regular	1	15	500.0	923.5364056117061
Regular	1	16	500.0	920.1615749429889
Regular	1	17	400.0	921.9890376065122
Regular	1	18	100.0	916.9102705865699
Regular	1	19	300.0	928.4246501006435
Regular	1	20	300.0	921.0912528742593
Regular	1	21	100.0	926.1886649398989
Regular	1	22	400.0	930.4691600293608
Regular	1	23	300.0	918.410114457093
Regular	1	24	100.0	915.5774517225542
Regular	2	1	100.0	6.005798236410845
Regular	2	3	100.0	10.031342935557246
Regular	2	4	200.0	14.339752909745721
Regular	2	5	100.0	16.79280043857426
Regular	2	6	400.0	8.153136197243978
Regular	2	7	200.0	908.7987190631841
Regular	2	8	400.0	47.31354318875982
Regular	2	9	200.0	901.1092510419254
Regular	2	10	600.0	907.7351860798517
Regular	2	11	200.0	23.106599785184923
Regular	2	12	100.0	14.06410014606417
Regular	2	13	300.0	17.100427591444475
Regular	2	14	100.0	919.6686153494311
Regular	2	15	100.0	929.5422038481224
Regular	2	16	400.0	914.1558960890166
Regular	2	17	200.0	925.4150408313972
Regular	2	19	100.0	927.3425894314796
Regular	2	20	100.0	915.0855740202908
Regular	2	22	100.0	923.6573779211586
Regular	3	1	100.0	4.025180791072895
Regular	3	2	100.0	10.030859645040582
Regular	3	4	200.0	4.308409974188468
Regular	3	5	100.0	6.761457503017024
Regular	3	6	300.0	18.183687745045987
Regular	3	7	100.0	918.8295787082247
Regular	3	8	200.0	57.3444028338004
Regular	3	9	100.0	891.0779081063681
Regular	3	10	300.0	897.7038431442936
Regular	3	11	300.0	13.07525684962767
Regular	3	12	200.0	4.032757210506924
Regular	3	13	100.0	7.069084655887233
Regular	3	14	100.0	909.6372724138719
Regular	3	15	100.0	919.5108609125638
Regular	3	16	200.0	924.1867557340582
Regular	3	17	100.0	917.963492907364
Regular	3	22	100.0	926.6922448928979
Regular	3	23	100.0	914.3845697579474
Regular	4	1	500.0	8.333076984153347
Regular	4	2	200.0	14.338755838121042
Regular	4	3	200.0	4.3078961930804525
Regular	4	5	500.0	2.4530475288285563
Regular	4	6	400.0	13.874709014415885
Regular	4	7	400.0	914.5202918803527
Regular	4	8	700.0	53.035116005931755
Regular	4	9	700.0	886.7694981321799
Regular	4	10	1200.0	893.3954331701057
Regular	4	11	1400.0	8.766846875439201
Regular	4	12	600.0	8.340653403587377
Regular	4	13	600.0	11.376980848967685
Regular	4	14	500.0	905.3288624396831
Regular	4	15	500.0	915.2024509383747
Regular	4	16	800.0	919.8774704780362
Regular	4	17	500.0	913.6550829331738
Regular	4	18	100.0	916.626164549774
Regular	4	19	200.0	920.0906954273065
Regular	4	20	300.0	920.8071468374642
Regular	4	21	200.0	926.4710164338316
Regular	4	22	400.0	923.7928925441702
Regular	4	23	500.0	913.9297755584058
Regular	4	24	200.0	915.8598032164882
Regular	5	1	200.0	10.79248256475919
Regular	5	2	100.0	16.798161418726888
Regular	5	3	100.0	6.767301773686295
Regular	5	4	500.0	2.4594055806058432
Regular	5	6	200.0	11.42166148558733
Regular	5	7	200.0	912.0672443515255
Regular	5	8	500.0	50.58206847710314
Regular	5	9	800.0	884.3164506033511
Regular	5	10	1000.0	890.9423856412772
Regular	5	11	500.0	11.226252456045042
Regular	5	12	200.0	10.80005898419322
Regular	5	13	200.0	13.83638642957353
Regular	5	14	100.0	907.7882680202903
Regular	5	15	200.0	912.7494034095449
Regular	5	16	500.0	917.4244213773586
Regular	5	17	200.0	911.2020354043462
Regular	5	19	100.0	917.6376478984788
Regular	5	20	100.0	918.3540993086323
Regular	5	21	100.0	925.8287233266171
Regular	5	22	200.0	921.3398450153421
Regular	5	23	100.0	916.3891811390147
Regular	6	1	300.0	14.227102824188535
Regular	6	2	400.0	8.22130458777769
Regular	6	3	300.0	18.251665023778433
Regular	6	4	400.0	13.943768830698012
Regular	6	5	200.0	11.484363250092152
Regular	6	7	400.0	900.6455828659392
Regular	6	8	800.0	39.16040699151586
Regular	6	9	400.0	895.8008138534434
Regular	6	10	800.0	902.4267488913683
Regular	6	11	400.0	22.71061570613722
Regular	6	12	200.0	22.284422234285394
Regular	6	13	200.0	25.320749679665692
Regular	6	14	100.0	919.2726312703813
Regular	6	15	200.0	924.0988274354211
Regular	6	16	900.0	906.0027598917766
Regular	6	17	500.0	917.261904634149
Regular	6	18	100.0	902.7514555353596
Regular	6	19	200.0	919.1894532342375
Regular	6	20	300.0	906.9324378230473
Regular	6	21	100.0	914.3365022233934
Regular	6	22	200.0	915.504241723917
Regular	6	23	100.0	927.8735443891054
Regular	6	24	100.0	925.1289318322831
Regular	7	1	500.0	920.3499794521102
Regular	7	2	200.0	914.3441812157049
Regular	7	3	100.0	924.3745416517064
Regular	7	4	400.0	920.0666454586263
Regular	7	5	200.0	917.6072398780198
Regular	7	6	400.0	906.1228766279262
Regular	7	8	1000.0	866.4357628072205
Regular	7	9	600.0	43.73315448373872
Regular	7	10	1900.0	37.01393610997746
Regular	7	11	500.0	928.8334923340643
Regular	7	12	700.0	928.4081652761679
Regular	7	13	400.0	931.4444631023024
Regular	7	14	200.0	35.88119154979983
Regular	7	15	500.0	23.43484003251991
Regular	7	16	1400.0	5.366736475111437
Regular	7	17	1000.0	16.625881217491486
Regular	7	18	200.0	2.1058726694196173
Regular	7	19	400.0	18.543870368297284
Regular	7	20	500.0	6.286854957107712
Regular	7	21	200.0	13.690919357453911
Regular	7	22	500.0	14.85865885797795
Regular	7	23	200.0	27.316064028209862
Regular	7	24	100.0	24.4833489663395
Regular	8	1	800.0	53.91421664489291
Regular	8	2	400.0	47.908418408482085
Regular	8	3	200.0	57.9387788444828
Regular	8	4	700.0	53.63088265140242
Regular	8	5	500.0	51.171477070796556
Regular	8	6	800.0	39.68711382070439
Regular	8	7	1000.0	861.4851758744231
Regular	8	9	800.0	905.2088974388757
Regular	8	10	1600.0	898.4916119477851
Regular	8	11	800.0	62.397729526841474
Regular	8	12	600.0	61.972404576773506
Regular	8	13	600.0	65.00884599992658
Regular	8	14	400.0	897.3662662485037
Regular	8	15	600.0	884.920015906943
Regular	8	16	2200.0	866.8517050839052
Regular	8	17	1400.0	878.106905501178
Regular	8	18	300.0	863.5910485438429
Regular	8	19	700.0	880.0290462427207
Regular	8	20	900.0	867.7720308315312
Regular	8	21	400.0	875.1760952318748
Regular	8	22	500.0	876.3438347324001
Regular	8	23	300.0	888.8012399026317
Regular	8	24	200.0	885.9685248407644
Regular	9	1	500.0	900.1673336067627
Regular	9	2	200.0	906.1730124607305
Regular	9	3	100.0	896.1421528156892
Regular	9	4	700.0	891.8342566226091
Regular	9	5	800.0	889.3748510420031
Regular	9	6	400.0	900.7965125275908
Regular	9	7	600.0	43.45642885894716
Regular	9	8	800.0	909.8922003038862
Regular	9	10	2800.0	6.6259350379260376
Regular	9	11	1400.0	899.0845240522079
Regular	9	12	600.0	900.1749100261973
Regular	9	13	600.0	903.2112374715781
Regular	9	14	600.0	40.87900970252062
Regular	9	15	900.0	28.43295280619509
Regular	9	16	1400.0	38.09274897832596
Regular	9	17	900.0	26.885584800994906
Regular	9	18	200.0	41.34979336100222
Regular	9	19	400.0	33.321197295126915
Regular	9	20	600.0	45.53150121093931
Regular	9	21	300.0	41.55162566583049
Regular	9	22	700.0	37.0233944119906
Regular	9	23	500.0	49.48070653798372
Regular	9	24	200.0	52.34400301517508
Regular	10	1	1300.0	906.8864917423552
Regular	10	2	600.0	912.8921705963176
Regular	10	3	300.0	902.8613109512744
Regular	10	4	1200.0	898.5534147581968
Regular	10	5	1000.0	896.0940091775907
Regular	10	6	800.0	907.5156706631807
Regular	10	7	1900.0	36.83049323363356
Regular	10	8	1600.0	903.2663581257718
Regular	10	9	2800.0	6.719158135587603
Regular	10	11	4000.0	892.4585890142827
Regular	10	12	2000.0	906.9030074010338
Regular	10	13	1900.0	909.9398729390689
Regular	10	14	2100.0	34.25307466459461
Regular	10	15	4000.0	21.807017768269045
Regular	10	16	4400.0	31.46682130799708
Regular	10	17	3900.0	20.259649763068875
Regular	10	18	700.0	34.72385833552395
Regular	10	19	1800.0	26.69526225720092
Regular	10	20	2500.0	38.90580554853417
Regular	10	21	1200.0	34.92569062790443
Regular	10	22	2600.0	30.39745937406459
Regular	10	23	1800.0	42.854864762559366
Regular	10	24	800.0	45.71791005987613
Regular	11	1	500.0	17.143012604131396
Regular	11	2	200.0	23.148691458099083
Regular	11	3	300.0	13.117831813058494
Regular	11	4	1500.0	8.809935619978038
Regular	11	5	500.0	11.262983148806597
Regular	11	6	400.0	22.684644634393916
Regular	11	7	500.0	923.3302275003297
Regular	11	8	800.0	61.84505162590972
Regular	11	9	1400.0	893.7047386731365
Regular	11	10	3900.0	886.9855805375486
Regular	11	12	1400.0	14.450787514431436
Regular	11	13	1000.0	17.48711495981176
Regular	11	14	1600.0	896.5620155642439
Regular	11	15	1400.0	908.7925983058169
Regular	11	16	1400.0	918.4524018455471
Regular	11	17	1000.0	907.2452303006173
Regular	11	18	100.0	921.7094462282244
Regular	11	19	400.0	913.6808427947543
Regular	11	20	600.0	925.8910579445915
Regular	11	21	400.0	918.6373354068674
Regular	11	22	1100.0	917.4147932594633
Regular	11	23	1300.0	905.1629286829633
Regular	11	24	600.0	908.0261221895233
Regular	12	1	200.0	8.057568615117148
Regular	12	2	100.0	14.063247469084835
Regular	12	3	200.0	4.032387824044252
Regular	12	4	600.0	8.340797798232721
Regular	12	5	200.0	10.793845327061277
Regular	12	6	200.0	22.21638366632882
Regular	12	7	700.0	922.8612085483043
Regular	12	8	600.0	61.376790657844616
Regular	12	9	600.0	895.1102959304128
Regular	12	10	2000.0	901.6887586896066
Regular	12	11	1400.0	14.648233912416734
Regular	12	13	1300.0	3.0363274453803086
Regular	12	14	700.0	911.2102494766618
Regular	12	15	700.0	923.5282749516963
Regular	12	16	700.0	928.2187071177192
Regular	12	17	600.0	921.8936643558628
Regular	12	18	200.0	924.9671143735252
Regular	12	19	300.0	928.3642784765977
Regular	12	20	400.0	925.4765189252938
Regular	12	21	300.0	918.1303630302438
Regular	12	22	700.0	922.659487682394
Regular	12	23	700.0	910.3518125474411
Regular	12	24	500.0	907.5191498129
Regular	13	1	500.0	11.095151151126172
Regular	13	2	300.0	17.100830005093858
Regular	13	3	100.0	7.069970360053277
Regular	13	4	600.0	11.37838033424174
Regular	13	5	200.0	13.831427863070294
Regular	13	6	200.0	25.253966202337843
Regular	13	7	400.0	925.8990158354334
Regular	13	8	600.0	64.41383996100826
Regular	13	9	600.0	898.1478784664225
Regular	13	10	1900.0	904.6805064391204
Regular	13	11	1000.0	17.685816448425765
Regular	13	12	1300.0	3.0375825360090243
Regular	13	14	600.0	914.2478320126662
Regular	13	15	700.0	926.5454708327179
Regular	13	16	600.0	930.1936349870352
Regular	13	17	500.0	924.9738107799891
Regular	13	18	100.0	926.6209895185783
Regular	13	19	300.0	931.4099841383141
Regular	13	20	600.0	922.4401914799198
Regular	13	21	600.0	915.0940355848629
Regular	13	22	1300.0	919.6231602370103
Regular	13	23	800.0	907.3154851020591
Regular	13	24	800.0	904.4828223675198
Regular	14	1	300.0	919.1047292976994
Regular	14	2	100.0	925.1104081516683
Regular	14	3	100.0	915.0795485066276
Regular	14	4	500.0	910.7716523135472
Regular	14	5	100.0	913.2246998423758
Regular	14	6	100.0	924.6463613279662
Regular	14	7	200.0	35.70705651504476
Regular	14	8	400.0	902.1429312615866
Regular	14	9	600.0	40.9805179748836
Regular	14	10	2100.0	34.261359839295984
Regular	14	11	1600.0	901.9617166935686
Regular	14	12	700.0	916.412504208001
Regular	14	13	600.0	919.4488316533844
Regular	14	15	1300.0	12.320835768890671
Regular	14	16	700.0	36.46941718094627
Regular	14	17	700.0	25.262185454086424
Regular	14	18	100.0	33.60042160448728
Regular	14	19	300.0	17.209080257822524
Regular	14	20	500.0	29.420174446706742
Regular	14	21	400.0	22.075319842624396
Regular	14	22	1200.0	20.908605406755306
Regular	14	23	1100.0	8.600913118720854
Regular	14	24	400.0	11.464106625280516
Regular	15	1	500.0	928.8270158127552
Regular	15	2	100.0	934.832694666724
Regular	15	3	100.0	924.8018350216818
Regular	15	4	500.0	920.4939388286011
Regular	15	5	200.0	918.0345332479955
Regular	15	6	200.0	929.4858976006346
Regular	15	7	500.0	23.3862207461541
Regular	15	8	600.0	889.8219835533737
Regular	15	9	1000.0	28.65968220599291
Regular	15	10	4000.0	21.94052407040532
Regular	15	11	1400.0	914.4025481945538
Regular	15	12	700.0	928.8481251081837
Regular	15	13	700.0	931.8856559039815
Regular	15	14	1300.0	12.446056896325553
Regular	15	16	1200.0	24.14858141205568
Regular	15	17	1500.0	12.941349685195764
Regular	15	18	200.0	21.27958583559668
Regular	15	19	800.0	4.888244488931849
Regular	15	20	1100.0	17.098787796940517
Regular	15	21	800.0	13.118672859635375
Regular	15	22	2600.0	8.59044160579553
Regular	15	23	1000.0	21.047258770168696
Regular	15	24	400.0	23.910231579186707
Regular	16	1	500.0	925.7137812347761
Regular	16	2	400.0	919.7079829983601
Regular	16	3	200.0	929.7383434343607
Regular	16	4	800.0	925.4304337238214
Regular	16	5	500.0	922.9710377575371
Regular	16	6	900.0	911.4866627397671
Regular	16	7	1400.0	5.363679293233692
Regular	16	8	2200.0	871.7995645898784
Regular	16	9	1400.0	38.3662130559769
Regular	16	10	4400.0	31.647054920389294
Regular	16	11	1400.0	924.1056439346726
Regular	16	12	700.0	933.7714728372559
Regular	16	13	600.0	934.2568814098508
Regular	16	14	700.0	36.634917008298956
Regular	16	15	1200.0	24.188860111973327
Regular	16	17	2800.0	11.259144742380045
Regular	16	18	500.0	3.2570443826762796
Regular	16	19	1300.0	19.297890447750724
Regular	16	20	1600.0	7.438026670364374
Regular	16	21	600.0	14.842091070710575
Regular	16	22	1200.0	16.009830571234613
Regular	16	23	500.0	28.46723521867435
Regular	16	24	300.0	25.634520679596164
Regular	17	1	400.0	927.2750927111255
Regular	17	2	200.0	930.9151229309338
Regular	17	3	100.0	923.2499119200507
Regular	17	4	500.0	918.9420157269731
Regular	17	5	200.0	916.4826101463663
Regular	17	6	500.0	922.6938312933586
Regular	17	7	1000.0	16.570911020093604
Regular	17	8	1400.0	883.0066740275739
Regular	17	9	900.0	27.10775910436377
Regular	17	10	3900.0	20.388600968776178
Regular	17	11	1000.0	912.8471899830587
Regular	17	12	600.0	927.2897103286741
Regular	17	13	500.0	930.3332779126678
Regular	17	14	700.0	25.375772265918823
Regular	17	15	1500.0	12.92971536959327
Regular	17	16	2800.0	11.207231726859915
Regular	17	18	600.0	14.464276109536199
Regular	17	19	1700.0	8.038745705370669
Regular	17	20	1700.0	18.64525839722431
Regular	17	21	600.0	26.048516197420838
Regular	17	22	1700.0	21.5201569753888
Regular	17	23	600.0	33.9775091312109
Regular	17	24	300.0	36.84073123104856
Regular	18	1	100.0	922.4566143626722
Regular	18	4	100.0	922.1732803691807
Regular	18	6	100.0	908.2295115384825
Regular	18	7	200.0	2.1066349105574127
Regular	18	8	300.0	868.542397717778
Regular	18	9	200.0	41.627079515878805
Regular	18	10	700.0	34.90791872608112
Regular	18	11	200.0	927.3665254902896
Regular	18	12	200.0	930.5147766173793
Regular	18	13	100.0	930.9998370271705
Regular	18	14	100.0	33.77502113008334
Regular	18	15	200.0	21.328986587836557
Regular	18	16	500.0	3.26086380569182
Regular	18	17	600.0	14.520008548071864
Regular	18	19	300.0	16.43799769887768
Regular	18	20	400.0	4.180982287688095
Regular	18	21	100.0	11.585046688034286
Regular	18	22	300.0	12.752786188558336
Regular	18	23	100.0	25.210189636449936
Regular	19	1	300.0	933.7179854769761
Regular	19	2	100.0	932.8421574729259
Regular	19	4	200.0	925.3849084928236
Regular	19	5	100.0	922.9255029122178
Regular	19	6	200.0	924.6208528851482
Regular	19	7	400.0	18.49797625722222
Regular	19	8	700.0	884.9337390644429
Regular	19	9	400.0	33.55065187021555
Regular	19	10	1800.0	26.831493734627912
Regular	19	11	400.0	919.2965154902648
Regular	19	12	300.0	933.7390083285379
Regular	19	13	300.0	936.7756681597573
Regular	19	14	300.0	17.337026560548153
Regular	19	15	800.0	4.890969664222601
Regular	19	16	1300.0	19.26033692312384
Regular	19	17	1700.0	8.053105196263916
Regular	19	18	300.0	16.39134134666481
Regular	19	20	1200.0	12.210543308008667
Regular	19	21	400.0	18.009642523857977
Regular	19	22	1200.0	13.48141127001813
Regular	19	23	300.0	25.93871986699478
Regular	19	24	100.0	28.802010165072538
Regular	20	1	300.0	926.637412401328
Regular	20	2	100.0	920.6316141649163
Regular	20	4	300.0	926.3540784078338
Regular	20	5	100.0	923.8946728272308
Regular	20	6	300.0	912.4103095771386
Regular	20	7	500.0	6.287432949213552
Regular	20	8	900.0	872.7231957564342
Regular	20	9	600.0	45.80776371570197
Regular	20	10	2500.0	39.08850916332819
Regular	20	11	600.0	931.550639136175
Regular	20	12	500.0	929.8564372754882
Regular	20	13	600.0	926.8188547394798
Regular	20	14	500.0	29.594041946801777
Regular	20	15	1100.0	17.147985075412187
Regular	20	16	1600.0	7.44166184434796
Regular	20	17	1700.0	18.700806586728017
Regular	20	18	400.0	4.180798038656141
Regular	20	19	1200.0	12.257015411189585
Regular	20	21	1200.0	7.404064400346192
Regular	20	22	2400.0	8.571803900870242
Regular	20	23	700.0	21.02920928936502
Regular	20	24	400.0	18.196494009231788
Regular	21	1	100.0	930.5099414902594
Regular	21	4	200.0	930.7931706733843
Regular	21	5	100.0	931.2408287222852
Regular	21	6	100.0	919.7564654721937
Regular	21	7	200.0	13.633588844269065
Regular	21	8	400.0	880.0693516514892
Regular	21	9	300.0	41.76587025045817
Regular	21	10	1200.0	35.04671211487057
Regular	21	11	400.0	924.151638615521
Regular	21	12	300.0	922.4523728751417
Regular	21	13	600.0	919.4147903391329
Regular	21	14	400.0	22.189921921957247
Regular	21	15	800.0	13.106188044465261
Regular	21	16	600.0	14.787817739403478
Regular	21	17	600.0	26.047467474555894
Regular	21	18	100.0	11.526953933711654
Regular	21	19	400.0	17.99443253339711
Regular	21	20	1200.0	7.346155895055515
Regular	21	22	1800.0	4.52911627404848
Regular	21	23	700.0	13.625092343426662
Regular	21	24	500.0	10.792429608885595
Regular	22	1	400.0	935.0973012102527
Regular	22	2	100.0	929.1435888943353
Regular	22	3	100.0	931.01298505397
Regular	22	4	400.0	929.0710105990194
