iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	full_max 	 full_avg
0	48.73161121185308	2.9729725430258176	15.248528293799353	0.7497574629149647	7.964922055921882	0.15993355077269555	346.99833725895394	23.139221010563706
1	10.90291440990518	0.709412356357842	0.4296283944808259	0.009876992398187177	2.144883235404123	0.0561637269639048	152.61936258678702	3.96716615456197
2	3.570600476107984	0.08873732794240861	8.811317608419245E-4	9.119928825545526E-5	0.4225270216167658	0.016565067023909513	29.067128986471857	0.5192883828309088
3	0.6721708619372748	0.013204552729224436	9.037523772690292E-4	8.028653955798371E-5	0.04930410440136512	0.003316573085237307	6.163672586510074	0.07043135707061372
4	0.04328442556288792	9.270727479344153E-4	9.349107558236369E-4	4.907693942725114E-5	0.013644800109577915	7.886459889545194E-4	6.104563160687121	0.10867925649834285
5	0.03468634155990458	4.434515916187645E-4	8.910267538624339E-4	4.526189912400911E-5	0.0017192067470546135	1.813373178118085E-4	6.091871664822179	0.05025784474540642
6	0.03330543298261546	4.0273270175692275E-4	9.49511517568169E-4	7.527085399547441E-5	9.992834038214937E-4	1.1952075489679692E-4	6.080928897058357	0.0724791442148854
7	0.033697449986675565	0.001178985873305608	9.372391487261211E-4	6.438421768618447E-5	9.890565938519558E-4	1.4630896552952167E-4	3.7982284864582425	0.03598143602619125
8	0.005585404582234332	2.563055529711289E-4	9.1357055167407E-4	7.08075014522588E-5	9.92975653403505E-4	1.2950538973613003E-4	2.4389180013121177	0.016808634487910954
9	0.006239249416580606	2.540732832269066E-4	9.824995566489747E-4	7.373593054871738E-5	9.64954445272781E-4	1.5578604424286473E-4	1.3844322191208676	0.013671029415938356
