iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	full_gap
0	0.01004822883899581	0.006624690046784343	0.005274121324226444	0.0669267310004521
1	9.78893563733041E-4	2.9948905518262237E-4	0.0013586774442392313	0.06292483367486867
2	9.54941149104993E-5	4.271385898646507E-6	3.6600940011155547E-4	0.0012299021187214265
3	9.789421496875228E-6	1.943336274567997E-6	8.940863960293921E-5	1.9150527517131088E-4
4	9.860693833685374E-7	1.6798105864079815E-6	1.4299487691382673E-5	1.17775561319311E-4
5	5.019751396773131E-7	1.377607574126749E-6	5.311997760659715E-6	6.889907305940302E-5
6	4.910434873162117E-7	9.256983621863668E-7	1.7384771352491057E-6	4.894850673808904E-5
7	1.24086612440788E-6	1.2531306847751722E-6	3.362246300153693E-6	3.915360549133773E-5
8	2.28226908816076E-7	1.8042473218793376E-6	2.302414338850589E-6	1.8519182417797708E-5
9	2.5333070019506465E-7	1.8631655644973932E-6	2.051176725137438E-6	7.73510200058336E-6
