source 	 destination 	 fft 	 flow 	 cost(min)
13	24	40.0	9136.759542001479	102.23292887449173
14	11	40.0	8548.154294080707	96.6506365780568
5	9	50.0	14803.247284216583	86.01548265535803
11	10	50.0	15008.47307281526	88.05461258000716
10	11	50.0	15105.28359549696	89.04602220634537
7	8	30.0	13641.21147523283	71.20583586460236
9	8	100.0	1266.8470870512933	100.05939584861423
8	9	100.0	1314.8525844813803	100.06892353765163
9	5	50.0	14859.089529661096	86.56200983636053
16	8	50.0	6922.486491657387	76.56940486140591
24	13	40.0	9156.92752681965	102.78422918130879
11	14	40.0	8512.409375814908	95.70900344655524
8	7	30.0	13619.001659625808	70.93813489254723
8	16	50.0	6905.256481044682	76.3058667207816
