source 	 destination 	 fft 	 flow 	 cost(min)
1	2	6.0	7371.194589669048	6.005904477885078
23	22	4.0	9802.077830980363	12.862246374192557
19	15	3.0	20395.26877981957	4.7302853566381335
12	3	4.0	11072.702230275043	4.030063841948552
17	16	2.0	12039.068799742974	10.423953443184631
3	1	4.0	10922.527366708748	4.028465745486056
14	11	40.0	8548.154294080707	96.6506365780568
5	9	50.0	14803.247284216583	86.01548265535803
11	10	50.0	15008.47307281526	88.05461258000716
20	21	6.0	5735.6347939551115	7.485923666902341
7	8	30.0	13641.21147523283	71.20583586460236
4	3	4.0	14001.27856795912	4.269010248229459
10	9	3.0	23025.936616712384	6.373265039131448
6	2	5.0	7167.367459510436	8.274993663103542
22	20	5.0	7022.8689767526	7.748759273608994
11	14	40.0	8512.409375814908	95.70900344655524
5	4	2.0	19301.2785679591	2.4163567116727838
16	10	4.0	12283.92802110818	28.590808482655824
21	22	2.0	9015.222057311537	4.648805603565243
6	5	4.0	9342.189038298	11.624803942952639
8	6	2.0	15930.545053941472	35.55523339039706
7	18	2.0	16919.0016596258	2.081940560874961
9	10	3.0	22918.099868697955	6.310515885875345
12	13	3.0	13773.416694086996	3.0359887486738386
22	15	3.0	17796.775942837776	8.316688313465853
17	10	8.0	8583.628299579872	18.477095935132006
20	22	5.0	7025.798246207698	7.753348221917324
17	19	2.0	10077.677684988981	7.71414979739891
13	12	3.0	13893.584678905161	3.03726123536974
9	5	50.0	14859.089529661096	86.56200983636053
10	17	8.0	8516.746484731964	18.15435140378111
14	15	5.0	9228.253275723604	12.868786470159783
19	20	4.0	9334.018128598856	11.27176891355918
8	7	30.0	13619.001659625808	70.93813489254723
15	22	3.0	17796.81967056285	8.316740567321826
8	16	50.0	6905.256481044682	76.3058667207816
20	18	4.0	17729.882191855922	4.197630238829731
2	6	5.0	7171.194589669054	8.281994208069355
20	19	4.0	9317.59109483057	11.22071325016613
18	20	4.0	17727.414911563974	4.197520253345474
4	5	2.0	19250.174863566324	2.411964667769122
19	17	2.0	10083.071767255002	7.726393629995221
15	10	6.0	26881.96421998866	20.099631383818284
10	11	50.0	15105.28359549696	89.04602220634537
22	23	4.0	9845.2164507971	13.019289101046938
11	12	6.0	8753.437889577737	15.100103176972382
18	7	2.0	16941.211475232874	2.0823716670134145
5	6	4.0	9346.92757934974	11.640285515739244
16	8	50.0	6922.486491657387	76.56940486140591
24	21	3.0	10039.826367245458	11.026605146873187
18	16	3.0	17179.228072388374	3.261297850254902
14	23	4.0	8068.330595187338	8.32249909745823
15	19	3.0	20417.089895853867	4.737702252334399
21	20	6.0	5624.60430993392	7.3741635943992785
3	12	4.0	11119.978804509246	4.03058058813949
15	14	5.0	9270.162697606258	13.012705182708167
10	16	4.0	12282.388299617929	28.57848152081044
16	17	2.0	12100.556532324892	10.597372671197071
23	14	4.0	8062.166091570472	8.309304031296655
13	24	40.0	9136.759542001479	102.23292887449173
12	11	6.0	8820.882448630153	15.383823622553049
21	24	3.0	10110.691228630027	11.255634964375695
24	23	2.0	6517.921730889037	2.8139788227366593
4	11	6.0	6499.999999999995	8.766846875439185
9	8	100.0	1266.8470870512933	100.05939584861423
11	4	6.0	6600.0	8.941084080466851
8	9	100.0	1314.8525844813803	100.06892353765163
22	21	2.0	8975.056434674923	4.60191512075888
2	1	6.0	7367.3674595104385	6.005892224993112
24	13	40.0	9156.92752681965	102.78422918130879
23	24	2.0	6567.224854322643	2.838888202948169
3	4	4.0	13950.1748635663	4.265104222817404
16	18	3.0	17098.970607703486	3.2564490638712495
10	15	6.0	26845.73848563066	20.023783061713452
6	8	2.0	15939.110725151837	35.627460673240826
1	3	4.0	10918.700236550136	4.028425870147821
