iteration	solveMasterNet(ms)	updateSubDemand(ms)	solveSubNets(ms)	mapFlow(ms)	getGapFullNet(ms)
0	280.0	0.0	136.0	6.0	2.0
1	319.0	1.0	49.0	2.0	2.0
2	473.0	0.0	57.0	2.0	2.0
3	646.0	0.0	25.0	3.0	2.0
4	1701.0	1.0	29.0	1.0	2.0
5	1593.0	4.0	27.0	1.0	3.0
6	1640.0	0.0	200.0	1.0	2.0
7	1662.0	0.0	196.0	2.0	1.0
8	1464.0	0.0	178.0	1.0	2.0
9	1677.0	1.0	192.0	1.0	2.0
10	1474.0	0.0	179.0	1.0	1.0
11	1622.0	0.0	197.0	2.0	2.0
12	1564.0	0.0	172.0	0.0	2.0
13	1659.0	1.0	204.0	1.0	2.0
14	1635.0	0.0	179.0	1.0	2.0
15	1672.0	0.0	202.0	1.0	2.0
16	1632.0	1.0	182.0	1.0	2.0
17	1586.0	0.0	199.0	1.0	2.0
18	1609.0	0.0	178.0	1.0	1.0
19	1537.0	0.0	199.0	1.0	2.0
20	1593.0	0.0	179.0	1.0	1.0
21	1609.0	0.0	201.0	1.0	2.0
22	1608.0	1.0	171.0	1.0	2.0
23	1598.0	0.0	198.0	1.0	2.0
24	1603.0	1.0	179.0	1.0	2.0
25	1525.0	1.0	201.0	1.0	2.0
26	1576.0	0.0	183.0	0.0	3.0
27	1600.0	0.0	198.0	1.0	2.0
28	1657.0	0.0	176.0	1.0	2.0
29	1500.0	1.0	196.0	1.0	2.0
30	1685.0	1.0	278.0	1.0	2.0
31	1547.0	1.0	194.0	1.0	2.0
32	1587.0	0.0	185.0	1.0	2.0
33	1696.0	0.0	197.0	2.0	1.0
34	1581.0	0.0	177.0	0.0	2.0
35	1706.0	1.0	195.0	1.0	2.0
36	1668.0	1.0	181.0	1.0	1.0
37	1562.0	0.0	195.0	1.0	2.0
38	1686.0	1.0	176.0	1.0	1.0
39	1573.0	0.0	201.0	1.0	2.0
40	1591.0	1.0	176.0	1.0	1.0
41	1596.0	0.0	202.0	1.0	2.0
42	1695.0	0.0	176.0	1.0	2.0
43	1498.0	0.0	198.0	1.0	1.0
44	1645.0	0.0	177.0	1.0	2.0
45	1519.0	0.0	198.0	1.0	1.0
46	1625.0	0.0	178.0	1.0	2.0
47	1507.0	0.0	195.0	1.0	2.0
48	1651.0	0.0	194.0	1.0	1.0
49	1507.0	1.0	197.0	1.0	1.0
50	1746.0	0.0	177.0	1.0	2.0
51	1541.0	1.0	194.0	1.0	2.0
52	1631.0	0.0	181.0	1.0	1.0
53	1520.0	0.0	198.0	1.0	1.0
54	1632.0	0.0	184.0	1.0	2.0
55	1565.0	0.0	197.0	1.0	2.0
56	2066.0	1.0	181.0	1.0	2.0
57	1566.0	1.0	202.0	1.0	1.0
58	1660.0	1.0	181.0	1.0	2.0
59	1588.0	0.0	195.0	1.0	1.0
60	1693.0	0.0	180.0	1.0	2.0
61	1640.0	0.0	198.0	1.0	2.0
62	1663.0	0.0	191.0	1.0	1.0
63	1612.0	0.0	200.0	1.0	1.0
64	1668.0	0.0	177.0	1.0	1.0
65	1651.0	0.0	197.0	1.0	2.0
66	1669.0	0.0	179.0	0.0	2.0
67	1704.0	1.0	195.0	1.0	2.0
68	1629.0	1.0	179.0	1.0	1.0
69	1589.0	0.0	198.0	1.0	1.0
70	1585.0	0.0	175.0	1.0	1.0
71	1713.0	0.0	231.0	1.0	2.0
72	1573.0	0.0	183.0	1.0	2.0
73	1648.0	1.0	199.0	1.0	2.0
74	1792.0	0.0	180.0	1.0	1.0
75	1640.0	0.0	198.0	1.0	2.0
76	1777.0	0.0	209.0	1.0	2.0
77	1755.0	0.0	203.0	1.0	2.0
78	1756.0	1.0	184.0	1.0	1.0
79	1695.0	0.0	209.0	1.0	3.0
80	1710.0	0.0	184.0	1.0	2.0
81	1662.0	0.0	205.0	2.0	2.0
82	1704.0	0.0	184.0	0.0	2.0
83	1733.0	0.0	229.0	2.0	1.0
84	1780.0	1.0	184.0	1.0	1.0
85	1731.0	0.0	200.0	1.0	2.0
86	1593.0	0.0	182.0	1.0	2.0
87	1739.0	1.0	202.0	1.0	1.0
88	1715.0	1.0	182.0	1.0	2.0
89	1672.0	1.0	198.0	1.0	2.0
90	1650.0	1.0	179.0	1.0	1.0
91	1705.0	0.0	195.0	1.0	2.0
92	1661.0	1.0	209.0	1.0	2.0
93	1671.0	0.0	258.0	1.0	2.0
94	1712.0	0.0	181.0	1.0	1.0
95	1684.0	0.0	199.0	1.0	1.0
96	1715.0	1.0	201.0	1.0	2.0
97	1700.0	0.0	210.0	1.0	1.0
98	1650.0	1.0	198.0	1.0	1.0
99	1595.0	0.0	193.0	1.0	2.0
100	1667.0	1.0	181.0	1.0	2.0
101	1687.0	0.0	199.0	1.0	2.0
102	1764.0	0.0	196.0	0.0	2.0
103	1845.0	0.0	202.0	2.0	1.0
104	1750.0	1.0	190.0	1.0	2.0
105	1724.0	0.0	200.0	1.0	2.0
106	1710.0	0.0	183.0	1.0	1.0
107	1723.0	0.0	201.0	1.0	2.0
108	1655.0	0.0	178.0	2.0	1.0
109	1526.0	0.0	193.0	1.0	2.0
110	1600.0	0.0	175.0	1.0	1.0
111	1546.0	0.0	194.0	1.0	1.0
112	1664.0	0.0	176.0	1.0	2.0
113	1540.0	0.0	195.0	1.0	1.0
114	1699.0	0.0	191.0	1.0	1.0
115	1779.0	1.0	199.0	1.0	2.0
116	1620.0	0.0	175.0	1.0	1.0
117	1576.0	0.0	198.0	2.0	1.0
118	1676.0	1.0	191.0	1.0	1.0
119	1557.0	0.0	199.0	2.0	1.0
120	1719.0	0.0	177.0	1.0	2.0
121	1739.0	1.0	204.0	1.0	1.0
122	1725.0	0.0	179.0	1.0	1.0
123	1659.0	0.0	203.0	0.0	3.0
124	1671.0	0.0	184.0	1.0	1.0
125	1735.0	1.0	208.0	1.0	1.0
126	1730.0	0.0	184.0	1.0	1.0
127	1747.0	1.0	199.0	1.0	1.0
128	1630.0	0.0	179.0	0.0	2.0
