source 	 destination 	 fft 	 flow 	 cost(min)
1	2	6.0	4359.723596811264	6.000722546531398
4	5	2.0	17628.45866300994	2.289720096485205
11	10	5.0	18007.24595009247	12.88588517138935
10	11	5.0	17765.467187137074	12.470811776504927
11	12	6.0	8761.29788782526	15.132832348292004
18	7	2.0	14273.189967773209	2.0415034485826338
10	9	3.0	22867.87112673711	6.2815890214459404
16	8	5.0	7875.035214803701	9.44982956102367
24	21	3.0	9970.575020096418	10.807426660307698
22	20	5.0	7575.420086089736	8.721391215096293
5	4	2.0	17775.819906125264	2.2995296514967367
15	14	5.0	9080.011651162085	12.375226482463319
21	22	2.0	8009.49353944949	3.6503064395684692
12	11	6.0	8690.559137698805	14.84143126694855
7	18	2.0	14119.017800708669	2.0397390923328516
9	10	3.0	22956.795154682983	6.332930685986761
21	24	3.0	10169.7535424017	11.450235334200492
12	13	3.0	11180.9821992915	3.0156285909441998
22	15	3.0	16470.829818784117	6.900657239975457
20	22	5.0	7400.506306500072	8.389410540864287
4	11	6.0	5200.000000000007	7.1333004801799
11	4	6.0	5300.000000000002	7.2230245551941366
13	12	3.0	11022.605802860824	3.014761724807728
22	21	2.0	8047.654046040942	3.6819828643791928
2	1	6.0	4400.000000000038	6.000749619200129
14	15	5.0	9056.964001377088	12.300629424446418
15	22	3.0	16815.81904952618	7.237873326874496
8	16	5.0	7652.645707618384	8.968074234682524
