ODtype	Origin	Destination	Demand	Cost
Regular	1	2	100.0	6.000722546531398
Regular	1	3	100.0	4.008192000004488
Regular	1	4	500.0	8.239595639255041
Regular	1	5	200.0	10.529315735740598
Regular	1	6	300.0	11.556374836122234
Regular	1	7	500.0	27.462671081067676
Regular	1	8	800.0	23.16494335312751
Regular	1	9	500.0	19.2011908433949
Regular	1	10	1300.0	25.534121529381707
Regular	1	11	500.0	15.372896119434955
Regular	1	12	200.0	8.017554490427319
Regular	1	13	500.0	11.033183081371655
Regular	1	14	300.0	25.404839348020786
Regular	1	15	500.0	42.948213652660044
Regular	1	16	500.0	32.13301758781111
Regular	1	17	400.0	44.77870143267569
Regular	1	18	100.0	29.502410173400857
Regular	1	19	300.0	47.813550004535756
Regular	1	20	300.0	33.779045703162645
Regular	1	21	100.0	45.50048206358621
Regular	1	22	400.0	49.15078850315552
Regular	1	23	300.0	39.5831694223436
Regular	1	24	100.0	34.69305540327797
Regular	2	1	100.0	6.000749619200129
Regular	2	3	100.0	10.00894161920462
Regular	2	4	200.0	14.240345258455248
Regular	2	5	100.0	14.333118100386532
Regular	2	6	400.0	5.555652289590838
Regular	2	7	200.0	21.461948534536045
Regular	2	8	400.0	17.164220806596134
Regular	2	9	200.0	23.004993208040936
Regular	2	10	600.0	31.534871148582468
Regular	2	11	200.0	21.373645738635513
Regular	2	12	100.0	14.018304109627481
Regular	2	13	300.0	17.03393270057167
Regular	2	14	100.0	31.405588967221256
Regular	2	15	100.0	48.94896327186043
Regular	2	16	400.0	26.13229504127906
Regular	2	17	200.0	38.12171380634748
Regular	2	19	100.0	53.814299623736304
Regular	2	20	100.0	27.778323156631064
Regular	2	22	100.0	36.1677336974957
Regular	3	1	100.0	4.008028269521591
Regular	3	2	100.0	10.008750816052988
Regular	3	4	200.0	4.231403639250555
Regular	3	5	100.0	6.52112373573576
Regular	3	6	300.0	15.166065464498537
Regular	3	7	100.0	31.072361709444134
Regular	3	8	200.0	26.774850302388113
Regular	3	9	100.0	15.192998843390177
Regular	3	10	300.0	21.52592952937695
Regular	3	11	300.0	11.364704119430453
Regular	3	12	200.0	4.009362490422822
Regular	3	13	100.0	7.024991081367021
Regular	3	14	100.0	21.396647348016472
Regular	3	15	100.0	38.94002165265473
Regular	3	16	200.0	35.74325512200232
Regular	3	17	100.0	40.7705094326709
Regular	3	22	100.0	45.14259650314954
Regular	3	23	100.0	35.57497742233901
Regular	4	1	500.0	8.249714633744512
Regular	4	2	200.0	14.250437180276153
Regular	4	3	200.0	4.2416863642229234
Regular	4	5	500.0	2.289720096485205
Regular	4	6	400.0	10.934661825247522
Regular	4	7	400.0	26.84130303796509
Regular	4	8	700.0	22.543248768879696
Regular	4	9	700.0	10.961595204139622
Regular	4	10	1200.0	17.294525890126405
Regular	4	11	1400.0	7.1333004801799
Regular	4	12	600.0	8.251048854645743
Regular	4	13	600.0	11.266677445590043
Regular	4	14	500.0	17.165243708765896
Regular	4	15	500.0	34.70861801340422
Regular	4	16	800.0	43.20950262095814
Regular	4	17	500.0	36.539105793420305
Regular	4	18	100.0	28.881349255228802
Regular	4	19	200.0	39.5739543652799
