source 	 destination 	 fft 	 flow 	 cost(min)
1	2	6.0	4359.723596811264	6.000722546531398
23	22	4.0	11236.75636542438	19.305061939761707
19	15	3.0	20763.60843040561	4.8587086531609796
12	3	4.0	8083.97803045503	4.008541428193968
17	16	2.0	12636.68105563802	12.225309675039066
3	1	4.0	7959.723596811264	4.008028269521589
14	11	4.0	9195.830700688257	11.58716017219666
5	9	5.0	14874.989211182501	8.671875107654417
11	10	5.0	18007.24595009247	12.88588517138935
20	21	6.0	8466.58012891557	13.055091152053324
7	8	3.0	10373.189967773227	4.377832063122334
4	3	4.0	13631.33927357044	4.241686364222924
10	9	3.0	22867.87112673711	6.2815890214459404
6	2	5.0	4640.276403188801	5.575369960045146
11	14	4.0	8683.313187606323	10.031943228586005
22	20	5.0	7575.420086089736	8.721391215096293
16	10	4.0	12557.917901119505	30.859276710150223
5	4	2.0	17775.819906125264	2.2995296514967367
21	22	2.0	8009.49353944949	3.6503064395684692
6	5	4.0	8311.71948432172	8.777465810795693
8	6	2.0	11751.9958875105	11.937662570754064
7	18	2.0	14119.017800708669	2.0397390923328516
9	10	3.0	22956.795154682983	6.332930685986761
17	10	8.0	8663.162050482508	18.870838953413305
12	13	3.0	11180.9821992915	3.0156285909441998
22	15	3.0	16470.829818784117	6.900657239975457
20	22	5.0	7400.506306500072	8.389410540864287
17	19	2.0	9700.000000000007	6.904522165999217
13	12	3.0	11022.605802860824	3.014761724807728
9	5	5.0	14964.10042180354	8.76065695794685
10	17	8.0	8736.68105563807	19.244579903293936
19	20	4.0	10722.369617314718	16.662766684070768
14	15	5.0	9056.964001377088	12.300629424446418
8	7	3.0	10219.017800708612	4.297727727939937
15	22	3.0	16815.81904952618	7.237873326874496
8	16	5.0	7652.645707618384	8.968074234682524
20	18	4.0	19417.373768885933	4.2843098838767
2	6	5.0	4600.000000000036	5.555652289590838
20	19	4.0	10703.88483359439	16.575672534165896
18	20	4.0	19284.993221289784	4.276635529761865
4	5	2.0	17628.45866300994	2.289720096485205
19	17	2.0	9699.999999999976	6.904522165999157
15	10	6.0	25212.25836227223	16.90964853327471
10	11	5.0	17765.467187137074	12.470811776504927
22	23	4.0	11368.671309985311	20.036517944423213
11	12	6.0	8761.29788782526	15.132832348292004
18	7	2.0	14273.189967773209	2.0415034485826338
5	6	4.0	8253.469451827446	8.644941728762312
16	8	5.0	7875.035214803701	9.44982956102367
18	16	3.0	16096.11516640571	3.2013749927862225
24	21	3.0	9970.575020096418	10.807426660307698
14	23	4.0	8784.18095047379	10.07302775183014
15	19	3.0	20782.093214125944	4.865336351875621
21	20	6.0	8305.562113201748	12.53351149031396
3	12	4.0	8271.615676759191	4.009362490422821
15	14	5.0	9080.011651162085	12.375226482463319
10	16	4.0	12628.580022617676	31.46893601288442
16	17	2.0	12563.1620504825	11.989418765068198
23	14	4.0	9273.65081377072	11.54402516219981
13	24	4.0	12180.982199291482	23.659872321906345
12	11	6.0	8690.559137698805	14.84143126694855
21	24	3.0	10169.7535424017	11.450235334200492
24	23	2.0	8947.147739540866	4.890114019065239
9	8	10.0	5118.194056499553	11.582436514470686
4	11	6.0	5200.000000000007	7.1333004801799
11	4	6.0	5300.000000000002	7.2230245551941366
8	9	10.0	5396.229295066441	11.955333695111403
22	21	2.0	8047.654046040942	3.6819828643791928
24	13	4.0	11922.60580286083	22.04414047042682
2	1	6.0	4400.000000000038	6.000749619200129
23	24	2.0	8589.59282080494	4.455086794887653
3	4	4.0	13483.978030455119	4.231403639250554
16	18	3.0	16017.906785874111	3.197489633117509
10	15	6.0	25498.78002651963	17.41409212327782
1	3	4.0	8000.000000000095	4.008192000004491
6	8	2.0	11653.469451827463	11.608568517005297
