iteration	solveMasterNet(ms)	updateSubDemand(ms)	solveSubNets(ms)	mapFlow(ms)	getGapFullNet(ms)
0	141.0	0.0	47.0	0.0	15.0
1	406.0	0.0	16.0	0.0	0.0
2	422.0	0.0	16.0	0.0	15.0
3	781.0	0.0	16.0	0.0	0.0
4	1612.0	0.0	15.0	0.0	0.0
5	1469.0	0.0	0.0	0.0	0.0
6	1406.0	0.0	32.0	0.0	15.0
7	1454.0	0.0	46.0	0.0	0.0
8	1485.0	0.0	47.0	0.0	0.0
9	1312.0	0.0	47.0	0.0	0.0
10	1406.0	0.0	47.0	0.0	0.0
11	1453.0	0.0	32.0	0.0	15.0
12	1391.0	0.0	47.0	0.0	0.0
13	1422.0	0.0	52.0	0.0	0.0
14	1406.0	0.0	47.0	0.0	0.0
15	1297.0	0.0	47.0	0.0	0.0
16	1359.0	0.0	32.0	15.0	0.0
17	1297.0	0.0	47.0	0.0	0.0
18	1391.0	0.0	31.0	0.0	0.0
19	1312.0	0.0	47.0	0.0	0.0
20	1375.0	0.0	47.0	0.0	0.0
21	1328.0	0.0	32.0	0.0	0.0
22	1421.0	0.0	32.0	0.0	0.0
23	1328.0	0.0	31.0	0.0	0.0
24	1422.0	0.0	31.0	0.0	0.0
25	1297.0	0.0	31.0	16.0	0.0
26	1437.0	0.0	47.0	0.0	0.0
27	1266.0	0.0	47.0	0.0	0.0
28	1390.0	0.0	32.0	0.0	0.0
29	1343.0	0.0	47.0	0.0	0.0
30	1438.0	0.0	31.0	0.0	16.0
31	1269.0	0.0	31.0	0.0	0.0
32	1407.0	0.0	46.0	0.0	0.0
33	1297.0	0.0	47.0	0.0	0.0
34	1422.0	0.0	31.0	0.0	0.0
35	1313.0	0.0	47.0	0.0	0.0
36	1422.0	0.0	47.0	0.0	0.0
37	1297.0	0.0	31.0	15.0	0.0
38	1361.0	0.0	47.0	0.0	0.0
39	1328.0	0.0	31.0	16.0	0.0
40	1438.0	0.0	46.0	0.0	0.0
41	1344.0	0.0	47.0	0.0	0.0
42	1500.0	0.0	47.0	0.0	0.0
43	1328.0	0.0	31.0	16.0	0.0
44	1391.0	0.0	47.0	0.0	0.0
45	1406.0	0.0	31.0	16.0	0.0
46	1422.0	0.0	31.0	0.0	0.0
47	1406.0	0.0	32.0	0.0	15.0
48	1438.0	0.0	47.0	0.0	0.0
49	1453.0	0.0	47.0	0.0	0.0
50	1454.0	0.0	31.0	0.0	0.0
51	1328.0	0.0	31.0	0.0	0.0
52	1438.0	0.0	47.0	0.0	0.0
53	1408.0	0.0	31.0	0.0	0.0
54	1359.0	0.0	47.0	0.0	0.0
55	1313.0	0.0	31.0	15.0	0.0
56	1391.0	0.0	31.0	0.0	0.0
57	1391.0	0.0	47.0	0.0	0.0
58	1328.0	0.0	31.0	0.0	0.0
59	1331.0	0.0	31.0	0.0	0.0
60	1375.0	0.0	47.0	0.0	0.0
61	1359.0	0.0	31.0	0.0	0.0
62	1454.0	0.0	31.0	0.0	0.0
63	1314.0	0.0	47.0	0.0	0.0
64	1406.0	0.0	47.0	0.0	0.0
65	1281.0	0.0	47.0	0.0	0.0
66	1351.0	0.0	47.0	0.0	0.0
67	1328.0	0.0	31.0	0.0	0.0
68	1391.0	0.0	31.0	0.0	0.0
69	1375.0	0.0	47.0	0.0	0.0
70	1359.0	0.0	47.0	0.0	0.0
71	1298.0	0.0	31.0	0.0	0.0
72	1422.0	0.0	32.0	0.0	0.0
73	1375.0	0.0	31.0	0.0	0.0
74	1359.0	0.0	47.0	0.0	0.0
75	1297.0	0.0	47.0	0.0	0.0
76	1406.0	0.0	47.0	0.0	0.0
77	1406.0	0.0	32.0	0.0	15.0
78	1361.0	0.0	47.0	0.0	0.0
79	1312.0	0.0	32.0	15.0	0.0
80	1407.0	0.0	32.0	0.0	0.0
81	1375.0	0.0	46.0	0.0	0.0
82	1391.0	0.0	31.0	0.0	0.0
83	1313.0	0.0	31.0	0.0	0.0
84	1438.0	0.0	31.0	0.0	16.0
85	1343.0	0.0	47.0	0.0	0.0
86	1360.0	0.0	31.0	0.0	0.0
87	1312.0	0.0	47.0	0.0	0.0
88	1422.0	0.0	32.0	0.0	15.0
