iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	subnet_2_max 	 subnet_2_avg 	subnet_3_max 	 subnet_3_avg 	full_max 	 full_avg
0	2.7062445720274653	0.050195902423580345	0.0	0.0	7.192324790389989	0.424150741258087	0.0	0.0	0.01988435392969734	0.0012064681301811042	124.40356109580222	2.4150865769661958
1	0.4761314055465107	0.014269099122818117	0.0	0.0	0.1666595217896809	0.012373269992988075	0.0	0.0	0.003954235983847809	4.2119877867024765E-4	36.295117462819725	1.0747411081695852
2	0.16923847715550977	0.0027613533122976845	0.0	0.0	1.0974294773478306	0.03592619547808024	0.0	0.0	8.714733246826256E-4	2.81120427316976E-5	41.234401817189934	1.1659895629298378
3	0.023879410098459175	3.464303805400248E-4	0.0	0.0	0.041360296765326154	0.0026931386573313017	0.0	0.0	9.987813254781486E-4	8.533668851686288E-5	42.719567937468966	1.4558956104562537
4	0.0024454659621255814	1.916536303006657E-4	0.0	0.0	0.0365895619158394	0.0012403302841618132	0.0	0.0	8.035942937709706E-4	2.5922396573257116E-5	21.794543741438723	0.972813307420681
5	9.994221735851738E-4	1.543219078379366E-4	0.0	0.0	0.0016270088954222217	1.4273409344642564E-4	0.0	0.0	9.958369590137295E-4	1.1531625004286806E-4	29.38320087767655	1.1281347247022082
6	9.969086558427875E-4	1.7415568562174485E-4	0.0	0.0	9.739831499047114E-4	1.1491620031250926E-4	0.0	0.0	0.0	0.0	24.553242272803956	0.9332021138492018
7	9.925224819724576E-4	1.4572978156233385E-4	0.0	0.0	9.98786334974966E-4	1.0135345117739367E-4	0.0	0.0	9.568414538279058E-4	8.231209601959652E-5	30.342381303146723	1.1953971147279634
8	9.683153054353966E-4	1.660528519282225E-4	0.0	0.0	9.750229441536362E-4	1.1675267279404045E-4	0.0	0.0	8.362308600702306E-4	2.6975189034523567E-5	20.446639035976197	0.9431036087615575
9	9.987956345867133E-4	1.6269567241077113E-4	0.0	0.0	9.60024139915916E-4	1.0334231165093272E-4	0.0	0.0	9.48043875993676E-4	7.93778571279242E-5	21.57819197640586	1.2392776472096274
10	9.942845825179347E-4	1.9232139925639112E-4	0.0	0.0	9.46038280417838E-4	1.1458771420475022E-4	0.0	0.0	0.0	0.0	25.376263999756205	1.3182566822503432
11	9.895673491300272E-4	1.2888095283818886E-4	0.0	0.0	9.058544118190071E-4	8.105846356244012E-5	0.0	0.0	8.740441269026178E-4	5.3508402354296436E-5	29.709508646836625	1.2704913405698697
12	9.99980217194718E-4	1.7500464485878064E-4	0.0	0.0	9.610820665173492E-4	1.0064588763334487E-4	0.0	0.0	8.808231308741199E-4	2.8413649383036125E-5	20.999411631114903	0.7017883213033314
