iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	subnet_2_gap 	subnet_3_gap 	full_gap
0	0.0036069216747772748	0.0	0.006811369320686489	0.0	1.2503457095458526E-4	0.49451243011260226
1	3.5855139696494565E-4	0.0	2.9271744419623325E-4	0.0	5.439806549101256E-6	0.1693342217077478
2	5.7219746348202705E-5	-2.220446049250313E-16	3.066542575497211E-4	0.0	5.776207846475145E-7	0.13948254779098945
3	9.571998002555482E-6	0.0	3.553437241288204E-5	0.0	1.965184358687644E-6	0.1085902787027706
4	4.156086644502288E-6	0.0	5.72395811937465E-6	0.0	2.0089478358631396E-7	0.09986113508749783
5	5.3019468295723016E-6	-2.220446049250313E-16	2.4670356549849615E-6	0.0	4.581881902332441E-6	0.08773119108350091
6	4.161171212158088E-6	0.0	1.3411121659867575E-6	1.1102230246251565E-16	2.220446049250313E-16	0.09310950732397916
7	5.533267660617902E-6	0.0	2.376021865924116E-6	1.1102230246251565E-16	3.226191224836583E-6	0.0956718441017469
8	4.204149892439446E-6	0.0	1.376844322109605E-6	1.1102230246251565E-16	2.0929063493380085E-7	0.09261752949877855
9	5.570600971949169E-6	0.0	2.6252442835161816E-6	0.0	3.418218268436135E-6	0.09998713305564577
10	5.011920933384317E-6	-2.220446049250313E-16	1.4713160846335782E-6	0.0	0.0	0.1037008939138856
11	4.658513294897304E-6	0.0	2.194296016777564E-6	1.1102230246251565E-16	2.2886584751802275E-6	0.11000148247253017
12	4.236396360712824E-6	0.0	1.4861475033933758E-6	0.0	1.769584930810808E-7	0.10638504897679624
13	3.528705384558961E-6	-2.220446049250313E-16	1.9263576899186674E-6	-2.220446049250313E-16	2.679013607398417E-6	0.10660132703191671
14	5.34940623031499E-6	-2.220446049250313E-16	1.4400251810986475E-6	0.0	0.0	0.11264922628649376
15	7.209958622911294E-6	-2.220446049250313E-16	2.0170317899248502E-6	0.0	1.7892880512793141E-6	0.112086363693774
16	4.756866212263233E-6	-2.220446049250313E-16	1.3695401095414894E-6	0.0	1.6330408003639718E-7	0.10855567762487428
17	4.1623016334702E-6	-2.220446049250313E-16	1.9968631450595353E-6	0.0	2.7712366811316613E-6	0.10864272043474621
18	4.33727904458614E-6	0.0	1.446694044560104E-6	-2.220446049250313E-16	0.0	0.11426107535321395
19	6.449837307354045E-6	0.0	2.044629924369268E-6	0.0	1.6173204684388764E-6	0.11261504172949877
20	5.596018790354762E-6	0.0	1.3657332130767585E-6	0.0	3.2931035898187133E-7	0.10885512412826626
21	4.859609445517776E-6	-2.220446049250313E-16	2.023857568977938E-6	0.0	2.3460979263756343E-6	0.10904889913411364
22	5.066220257421428E-6	-2.220446049250313E-16	1.4464372666278535E-6	3.3306690738754696E-16	1.1102230246251565E-16	0.11442576038807295
23	6.1913152877846045E-6	2.220446049250313E-16	1.8093861078316564E-6	0.0	1.3334988957502958E-6	0.11257428246062273
24	4.594619425701829E-6	-2.220446049250313E-16	1.3982792891331641E-6	0.0	3.2689806395147514E-7	0.10891566353452897
25	4.957805601168985E-6	-2.220446049250313E-16	1.9226343290768E-6	0.0	2.097467696304811E-6	0.10902129190729903
26	5.2941444969034634E-6	0.0	1.4464531445934625E-6	-2.220446049250313E-16	0.0	0.11427480339964113
27	7.307326780781054E-6	-2.220446049250313E-16	1.8669034193008471E-6	0.0	1.050802709623433E-6	0.11264144392987885
28	5.48146179624176E-6	-2.220446049250313E-16	1.465429420588471E-6	0.0	3.244305295524441E-7	0.10893844617664561
29	4.5203947537375555E-6	-2.220446049250313E-16	2.005492560019917E-6	1.1102230246251565E-16	1.5966925372978835E-6	0.1091081331688124
30	4.760975762518882E-6	-2.220446049250313E-16	1.5191345553722257E-6	1.1102230246251565E-16	-2.220446049250313E-16	0.11076199097269745
31	6.371560117846009E-6	0.0	1.9761339816737333E-6	1.1102230246251565E-16	8.766619541411558E-7	0.10953409979801165
32	6.074272717926377E-6	-2.220446049250313E-16	1.480858853319944E-6	0.0	2.712907818391841E-7	0.10745215964067212
