ODtype	Origin	Destination	Demand	Cost
Regular	1	2	100.0	6.000971371428852
Regular	1	3	100.0	4.009567482272894
Regular	1	4	500.0	8.217041880635321
Regular	1	5	200.0	10.635102053498548
Regular	1	6	300.0	12.615985734675201
Regular	1	7	500.0	33.67755013109777
Regular	1	8	800.0	28.14108008680154
Regular	1	9	500.0	21.578744940211458
Regular	1	10	1300.0	26.461383404635534
Regular	1	11	500.0	18.864961161373103
Regular	1	12	200.0	8.023691334052574
Regular	1	13	500.0	11.045009964192696
Regular	1	14	300.0	30.812174852814447
Regular	1	15	500.0	40.75094228992673
Regular	1	16	500.0	38.865208556561754
Regular	1	17	400.0	42.76940055537609
Regular	1	18	100.0	35.72794449322954
Regular	1	19	300.0	45.02467389399451
Regular	1	20	300.0	40.00131284387633
Regular	1	21	100.0	40.777639224391386
Regular	1	22	400.0	44.88523804342883
Regular	1	23	300.0	32.44204779293468
Regular	1	24	100.0	28.520557359275948
Regular	2	1	100.0	6.000989734482219
Regular	2	3	100.0	10.010557216755114
Regular	2	4	200.0	14.218031615117548
Regular	2	5	100.0	16.636069500812837
Regular	2	6	400.0	6.615014363246349
Regular	2	7	200.0	27.676578759668917
Regular	2	8	400.0	22.140108715372662
Regular	2	9	200.0	27.579623615700633
Regular	2	10	600.0	32.46226208012477
Regular	2	11	200.0	24.865950895855327
Regular	2	12	100.0	14.024681068534795
Regular	2	13	300.0	17.045999698674912
Regular	2	14	100.0	36.81316458729669
Regular	2	15	100.0	46.75182096541591
Regular	2	16	400.0	32.86423713545728
Regular	2	17	200.0	42.17519337406133
Regular	2	19	100.0	43.32537275024506
Regular	2	20	100.0	34.000341472447474
Regular	2	22	100.0	41.7134714727527
Regular	3	1	100.0	4.009466505356778
Regular	3	2	100.0	10.01043787678563
Regular	3	4	200.0	4.207474398362428
Regular	3	5	100.0	6.6255345712256535
Regular	3	6	300.0	16.625406510528588
Regular	3	7	100.0	37.686968869015786
Regular	3	8	200.0	32.15049882471965
Regular	3	9	100.0	17.569177457938565
Regular	3	10	300.0	22.451815922362655
Regular	3	11	300.0	14.85539367910021
Regular	3	12	200.0	4.014123851779679
Regular	3	13	100.0	7.035442481919799
Regular	3	14	100.0	26.80260737054157
Regular	3	15	100.0	36.74137480765383
Regular	3	16	200.0	42.874633987484124
Regular	3	17	100.0	38.7598330731031
