source 	 destination 	 fft 	 flow 	 cost(min)
1	2	6.0	4694.494476383627	6.000971371428852
23	22	4.0	9684.042362637538	12.443022670049166
19	15	3.0	18926.27285875619	4.283099654752323
12	3	4.0	9127.209263824052	4.013879762267074
17	16	2.0	11608.576330030288	9.282160020798019
3	1	4.0	8294.494476383625	4.009466505356778
14	11	4.0	9340.313967205495	12.07534868559346
5	9	5.0	16778.29635544216	10.943642886712912
11	10	5.0	16141.91304424549	10.091916546494527
20	21	6.0	6394.2527220915	8.295248570283917
7	8	3.0	12142.945098147817	5.587277949932508
4	3	4.0	13138.825340884468	4.2086047520586405
10	9	3.0	19963.692994525398	4.906096027309973
6	2	5.0	6028.249750329702	6.638840654191415
22	20	5.0	7000.0	7.713130000305228
11	14	4.0	9303.039751809934	11.947213691441341
5	4	2.0	19338.82534088447	2.4196059318552736
16	10	4.0	11131.673064106435	20.58309261374582
21	22	2.0	8514.654663679608	4.107718109656149
6	5	4.0	8806.586227477477	10.020942008864793
8	6	2.0	12723.111614360216	15.652464987709083
7	18	2.0	14982.886446316155	2.0503943621317724
9	10	3.0	19901.98618444304	4.882638464424092
12	13	3.0	12083.418681763416	3.0213186301401196
22	15	3.0	18459.176257021918	9.153541535503278
17	10	8.0	8099.999999999999	16.30801715074042
20	22	5.0	7000.0	7.713130000305228
17	19	2.0	9946.531530213028	7.42246077735996
13	12	3.0	12172.162059879478	3.021951838742204
9	5	5.0	16788.38273521106	10.957948014863074
10	17	8.0	8100.000000000004	16.308017150740433
14	15	5.0	9098.14273337005	12.434310941579337
19	20	4.0	8611.346498798493	9.268048528795038
8	7	3.0	12082.886446316152	5.536470044296254
15	22	3.0	18482.31907729486	9.184459133082862
8	16	5.0	8386.755891421972	10.724128420084593
20	18	4.0	19244.390911618644	4.274313181095521
2	6	5.0	6006.2188398305925	6.615014363246349
20	19	4.0	8634.53916038131	9.325031277797557
18	20	4.0	19227.798363049696	4.273368350646784
4	5	2.0	19320.990423993473	2.418060172863226
19	17	2.0	9935.083507533678	7.397539782517303
15	10	6.0	23608.049553762714	14.3869527487562
10	11	5.0	16276.029623343748	10.263263946084923
22	23	4.0	9719.065347166688	12.565825871303176
11	12	6.0	9016.343590549248	16.243621222087494
18	7	2.0	15042.945098147815	2.0512072533886014
5	6	4.0	8798.837690355376	9.999779685592996
16	8	5.0	8404.85625689807	10.773704067562983
24	21	3.0	10404.273337565763	12.257081865115413
18	16	3.0	14627.277357934792	3.13733310544984
14	23	4.0	8440.009518850233	9.175733633807454
15	19	3.0	18891.632174494018	4.27373160406777
21	20	6.0	6334.037932243265	8.210004596222998
3	12	4.0	9167.07509121417	4.014123851779679
15	14	5.0	9140.8027167605	12.574728679931617
10	16	4.0	11104.687555524604	20.42287283313103
16	17	2.0	11620.024352709635	9.31092831478501
23	14	4.0	8434.623750855337	9.162535245811577
13	24	4.0	11083.41868176341	17.475547395083257
12	11	6.0	9044.952796055426	16.374254958270434
21	24	3.0	10452.607963157789	12.430305000546412
24	23	2.0	8079.1453441976455	3.921490433658729
9	8	10.0	6676.310170999122	14.581475025907142
4	11	6.0	7400.0	10.647919280737785
11	4	6.0	7500.0	10.904296875778478
8	9	10.0	6724.689740685668	14.715723260020079
22	21	2.0	8502.774499423396	4.095979439802928
2	1	6.0	4716.525386882737	6.000989734482219
24	13	4.0	11072.162059879482	17.420886206853886
23	24	2.0	8119.554096721689	3.9602220065655556
3	4	4.0	13120.990423993464	4.207474398362428
16	18	3.0	14570.743461197508	3.1352222327145736
10	15	6.0	23539.211673163925	14.289558885291164
6	8	2.0	12693.332166739006	15.525094352126313
1	3	4.0	8316.525386882739	4.009567482272894
