iteration	solveMasterNet(ms)	updateSubDemand(ms)	solveSubNets(ms)	mapFlow(ms)	getGapFullNet(ms)
0	94.0	0.0	93.0	0.0	0.0
1	79.0	0.0	46.0	0.0	0.0
2	47.0	0.0	16.0	16.0	0.0
3	31.0	0.0	15.0	0.0	0.0
4	32.0	0.0	31.0	0.0	0.0
5	16.0	0.0	39.0	0.0	0.0
6	31.0	0.0	266.0	0.0	0.0
7	31.0	0.0	204.0	0.0	0.0
8	15.0	0.0	281.0	0.0	0.0
9	16.0	0.0	234.0	0.0	0.0
10	16.0	0.0	172.0	0.0	0.0
11	0.0	0.0	156.0	0.0	0.0
12	16.0	0.0	140.0	0.0	0.0
13	16.0	0.0	156.0	0.0	0.0
14	0.0	0.0	157.0	0.0	0.0
15	15.0	0.0	156.0	0.0	0.0
16	0.0	0.0	172.0	0.0	0.0
17	16.0	0.0	141.0	0.0	15.0
18	0.0	0.0	156.0	0.0	0.0
19	0.0	0.0	141.0	0.0	16.0
20	0.0	0.0	187.0	0.0	0.0
21	0.0	0.0	156.0	0.0	0.0
22	0.0	16.0	156.0	0.0	0.0
23	16.0	0.0	156.0	0.0	0.0
24	0.0	0.0	141.0	0.0	0.0
25	15.0	0.0	141.0	0.0	0.0
26	0.0	0.0	141.0	0.0	0.0
27	15.0	0.0	141.0	0.0	0.0
28	16.0	0.0	125.0	0.0	0.0
29	15.0	0.0	167.0	1.0	0.0
30	0.0	0.0	172.0	0.0	0.0
31	16.0	0.0	125.0	0.0	0.0
32	15.0	0.0	125.0	0.0	0.0
33	16.0	0.0	125.0	0.0	0.0
34	15.0	0.0	130.0	0.0	0.0
35	15.0	0.0	125.0	0.0	0.0
36	16.0	0.0	125.0	0.0	16.0
37	0.0	0.0	125.0	15.0	0.0
38	0.0	0.0	125.0	0.0	0.0
39	16.0	0.0	125.0	0.0	0.0
40	16.0	0.0	140.0	0.0	0.0
41	0.0	0.0	172.0	0.0	0.0
42	0.0	0.0	141.0	0.0	0.0
43	0.0	0.0	140.0	0.0	0.0
44	0.0	0.0	141.0	0.0	0.0
45	0.0	0.0	125.0	16.0	0.0
46	0.0	0.0	125.0	0.0	0.0
47	15.0	0.0	125.0	0.0	0.0
48	0.0	0.0	141.0	0.0	0.0
49	0.0	0.0	140.0	0.0	0.0
50	16.0	0.0	172.0	0.0	0.0
51	0.0	0.0	141.0	0.0	0.0
52	0.0	0.0	125.0	0.0	0.0
53	15.0	0.0	125.0	0.0	0.0
54	0.0	0.0	125.0	16.0	0.0
55	0.0	0.0	125.0	0.0	0.0
56	16.0	0.0	125.0	0.0	0.0
57	0.0	0.0	140.0	0.0	0.0
58	0.0	0.0	125.0	0.0	16.0
59	0.0	0.0	125.0	0.0	0.0
60	15.0	0.0	125.0	0.0	0.0
61	0.0	0.0	125.0	0.0	0.0
62	16.0	0.0	125.0	0.0	0.0
63	0.0	0.0	141.0	0.0	0.0
64	0.0	0.0	140.0	0.0	0.0
65	0.0	0.0	125.0	16.0	0.0
66	0.0	0.0	125.0	0.0	0.0
67	16.0	0.0	125.0	0.0	0.0
68	0.0	0.0	125.0	0.0	15.0
69	0.0	0.0	125.0	0.0	0.0
70	0.0	0.0	141.0	0.0	0.0
71	0.0	0.0	125.0	15.0	0.0
72	0.0	0.0	125.0	0.0	0.0
73	16.0	0.0	125.0	0.0	0.0
74	16.0	0.0	140.0	0.0	0.0
75	16.0	0.0	125.0	0.0	0.0
76	0.0	0.0	125.0	0.0	16.0
77	0.0	0.0	125.0	0.0	0.0
78	15.0	0.0	125.0	0.0	0.0
79	0.0	0.0	141.0	0.0	0.0
80	0.0	0.0	125.0	0.0	15.0
81	0.0	0.0	125.0	0.0	0.0
82	16.0	0.0	125.0	0.0	0.0
83	0.0	0.0	141.0	0.0	0.0
84	15.0	0.0	141.0	0.0	0.0
85	0.0	0.0	141.0	0.0	0.0
86	0.0	0.0	125.0	0.0	15.0
87	0.0	0.0	125.0	0.0	0.0
88	16.0	0.0	125.0	0.0	0.0
89	0.0	0.0	141.0	0.0	0.0
90	0.0	0.0	125.0	0.0	0.0
91	0.0	0.0	132.0	0.0	0.0
92	0.0	16.0	125.0	0.0	0.0
93	0.0	0.0	156.0	0.0	0.0
94	0.0	0.0	141.0	0.0	0.0
95	0.0	0.0	140.0	0.0	0.0
96	0.0	0.0	141.0	0.0	0.0
97	0.0	0.0	125.0	0.0	0.0
98	16.0	0.0	125.0	0.0	0.0
99	0.0	0.0	125.0	0.0	15.0
100	0.0	0.0	125.0	0.0	0.0
