iteration 	 master_max 	 master_avg 	subnet_0_max 	 subnet_0_avg 	subnet_1_max 	 subnet_1_avg 	full_max 	 full_avg
0	1.5500704480655347	0.0231209703686319	0.019725596098510323	0.001530692301779535	14.245830137351405	0.3320054555020893	46.85393855115279	1.201826526061913
1	4.903769037554838	0.16011179363155106	0.32267123892972904	0.0125172733626991	0.7333177192333764	0.011037437145813836	21.701568513046304	0.5431640515983993
2	17.409845164426223	0.5207760393004846	0.32447697650356133	0.009343150128718275	0.4451577716495656	0.009063265250170106	29.310141033815142	0.5562460355418254
3	3.4088651106518313	0.08048819065895706	0.07824059693314567	0.0021354019419289137	0.020406432658447216	0.0014082225375440008	9.673709871652363	0.19347238861350205
4	5.807970204230855	0.16427961545148842	0.03268908946992255	0.0016660679527570703	0.003427221696625793	2.5982439296652865E-4	11.03201430797656	0.20295231329175198
5	1.3185568961150338	0.05784434822104078	0.0017952698231908926	9.943464811527968E-5	0.023759215199358863	3.424824688545997E-4	6.4879374623887145	0.1289240672295415
6	2.6472419137163783	0.0932211116951289	9.930251234209209E-4	1.414645852364635E-4	9.14852045852399E-4	1.5886985755145767E-4	4.3304953188751085	0.10047039358453085
7	0.6282436376982758	0.03409935122037285	9.436595417966487E-4	9.714001795567439E-5	9.964366339580977E-4	1.5726073612244208E-4	2.2039388023341644	0.04039144109205812
8	0.4180303920531472	0.01991322762264369	9.573700066809465E-4	1.3940291800603808E-4	9.613684144333945E-4	1.261635135372099E-4	2.0881454050745134	0.029004588041520576
9	0.3943945160404212	0.018036711595127455	9.864826130225879E-4	1.1825419253925906E-4	9.922588788739972E-4	1.5101354304057052E-4	1.6204966162890742	0.027672603104782877
10	0.3385536394700246	0.015095701336013055	9.511101929717825E-4	1.4279326006803533E-4	9.643480970282781E-4	1.3543842588018486E-4	1.4482565661312492	0.02615524186610351
11	0.30209557745032	0.013995567140825144	9.869068486132448E-4	1.1400143065947483E-4	9.596502535700324E-4	1.1539429526245424E-4	1.182202650198903	0.020615337771689186
12	0.2594179432155528	0.010893092105825767	9.479688734295166E-4	1.365875967844504E-4	9.987856640520931E-4	1.4947938878320417E-4	1.0250949247219268	0.01895723578425238
13	0.15388239033675433	0.009905379444135094	9.639501081792901E-4	1.2405864506527458E-4	9.591261979018384E-4	1.1023701182268776E-4	0.8406451562760822	0.015499402867333471
14	0.1345531074158295	0.007888955414073343	9.62537224847182E-4	1.4196864935428163E-4	9.572790550507193E-4	1.4571624464024719E-4	0.7177137888757343	0.013658787349189974
15	0.11870176546298694	0.007085860297984853	9.002854407214045E-4	1.1568158864637309E-4	9.986388444289673E-4	1.2558760372528884E-4	0.5906871846490134	0.011702999833612802
16	0.11599919259006697	0.00577891972162725	9.960505697854671E-4	1.459539133634017E-4	9.966756637354024E-4	1.556331615932217E-4	0.4997142567268327	0.010478405149498942
17	0.10450859296710746	0.005562538729905011	9.302207302610555E-4	1.2330687935810112E-4	9.935723801248741E-4	1.2567293341243777E-4	0.41248669497030477	0.00914190378376368
18	0.10258889660706672	0.00463461226282098	9.989458309931365E-4	1.3607730847148606E-4	9.980607884330084E-4	1.4274331634584676E-4	0.36113742333061793	0.00813828811307943
19	0.09659769680612129	0.004410082969073834	9.916886242713474E-4	1.242143659012883E-4	9.830384891635902E-4	1.4435134689109143E-4	0.3370328145085111	0.007356366214983774
20	0.09244167275669923	0.0037443888348798137	9.7007571580221E-4	1.3540414890998148E-4	9.202626616655607E-4	1.1934516390646955E-4	0.3257235529764486	0.006506061248528923
21	0.08733596148401901	0.0035996512597702575	9.927243797918095E-4	1.2374567290817203E-4	9.567077357992559E-4	1.1648024708815928E-4	0.3054212091934687	0.005632134236426486
22	0.08021879566081935	0.003278249756070646	9.622125442447782E-4	1.362141213957959E-4	9.632300567581353E-4	1.1757954073801687E-4	0.29167515615390727	0.00567120321481598
23	0.07791570346815746	0.002969513435354546	9.225527944352052E-4	1.1648827264957787E-4	9.94910958056039E-4	8.047342129489341E-5	0.2736390914411402	0.004912629785807944
24	0.07184442213659281	0.0028734871454125384	9.156809676014177E-4	1.3658732206135645E-4	9.562353447662986E-4	1.2304894675956572E-4	0.2587543582761924	0.004724685693158571
25	0.06265977609502826	0.0023992953743029112	9.446771833339085E-4	1.2179804974942322E-4	9.98915516198906E-4	1.1935919623044923E-4	0.23691222996141903	0.003996050340658122
26	0.06469649075832251	0.0023636216183524784	9.194503930203268E-4	1.3956170653623193E-4	9.546474330939247E-4	1.307040279772741E-4	0.22875301258325464	0.0038108092023226158
27	0.06132609380488674	0.0020265022783249047	9.617056765662824E-4	1.1259587652164746E-4	9.361678185371147E-4	1.1815394929209584E-4	0.21627325808084663	0.0031306477618510092
28	0.05270993991349826	0.0020013540021271495	9.650413158510673E-4	1.3660666368926357E-4	9.834721583033001E-4	1.1696950791669038E-4	0.2025405514420413	0.00328811135967817
29	0.04844703844737097	0.0016610648268321267	9.955073975618234E-4	1.1254058337021294E-4	9.234810933946846E-4	9.256284408334119E-5	0.18571363695857457	0.0025620070094126823
30	0.04880121107770208	0.001655070409181126	9.787428660246178E-4	1.2667308661395329E-4	9.964983225820845E-4	1.1260988244475395E-4	0.17753988288804123	0.0027236921660067034
31	0.047492187549650566	0.0015290808396007552	9.517033944987929E-4	1.1369478302752964E-4	9.852007124031559E-4	1.0673830701477146E-4	0.16815474771111383	0.002295608643766628
32	0.04067226596538376	0.0014191168281700625	9.619752205480836E-4	1.299714384226511E-4	9.082711325412163E-4	1.0145951360507768E-4	0.15716266172298532	0.0023995796030092803
33	0.03737422686102576	0.0011869365348330565	9.745467501609539E-4	1.0785342919422556E-4	9.743770451038358E-4	9.94280819546715E-5	0.14424571730339864	0.0018778130533572317
34	0.03429890852289219	0.0011559400881251702	9.43142209500536E-4	1.303325229135667E-4	9.510783778416965E-4	1.0014846207577668E-4	0.13427536617061975	0.0019723774301841626
35	0.031531894598714416	9.786549627755364E-4	9.999020673987502E-4	1.0179556947189904E-4	9.368924901238529E-4	9.636352259206976E-5	0.12305238008811159	0.001541081142445864
36	0.029238042541908982	9.751797563960455E-4	9.813123249742262E-4	1.0929137322551863E-4	9.92859514063582E-4	8.954329326474385E-5	0.11432813006713616	0.0016263487297294825
37	0.02701048189135946	8.526142417995945E-4	9.128197600922761E-4	7.144324719194043E-5	8.639306500839439E-4	9.667731751397419E-5	0.10492677441396836	0.001278015014069816
38	0.02485520556432874	8.303521820221202E-4	9.191486985891117E-4	8.315717929801841E-5	9.921051875103615E-4	8.257377189593252E-5	0.09732508453722133	0.0013552537458264876
39	0.023079022409277172	7.273099094979862E-4	9.620115727031475E-4	5.759155444896795E-5	9.202728311592523E-4	1.016010014196292E-4	0.08926195270591109	0.0010801577829330688
40	0.021107633193171438	7.157569933445052E-4	8.679218985889747E-4	8.973025333860791E-5	9.308767596110101E-4	9.047364776134941E-5	0.08268834589771501	0.0011701298865581817
41	0.019754423026157042	6.18655942391499E-4	9.95382993004057E-4	6.710674698277225E-5	9.195199510294572E-4	1.0602920950226921E-4	0.07595277349572171	9.335202719516032E-4
42	0.01800250357575095	6.081984251255164E-4	8.421750689322494E-4	1.0687730397375756E-4	9.409513363998201E-4	8.85778008226874E-5	0.07027432963529634	0.0010182704131470124
43	0.016871013009534863	5.218655282260146E-4	8.998107287183643E-4	7.036256211088232E-5	8.388368372678201E-4	1.0239901776812784E-4	0.06441321152325585	8.067379588398799E-4
44	0.01528157732176183	5.126408673531733E-4	9.401421441239677E-4	1.241516408733724E-4	9.400078949610702E-4	8.666615385556766E-5	0.059560666881992574	8.820479516311588E-4
45	0.014335337039007356	4.544470737145441E-4	9.32651697645781E-4	7.897760548232213E-5	9.108696418280715E-4	1.0352951521382969E-4	0.054593894095862794	7.026177646501302E-4
46	0.012929543689594425	4.4499904695893193E-4	9.945354081395408E-4	1.3968233982092636E-4	9.488841511853252E-4	8.086126570637137E-5	0.05034377570855497	7.719691302557127E-4
47	0.012081103580101171	3.861700016252022E-4	8.948192997735305E-4	7.73366030969932E-5	9.827221866274272E-4	1.0197104528429155E-4	0.04609328124957912	6.072866180992544E-4
48	0.010919113691365112	3.777480434118694E-4	9.525724505508038E-4	1.2921232131591127E-4	9.693176178018348E-4	8.50357016955763E-5	0.04229232303674735	6.546719754531383E-4
49	0.010378459313436394	3.3152705722601757E-4	9.707005719263861E-4	7.131522235081573E-5	9.13126375543527E-4	8.767309727625542E-5	0.03861996054034478	5.130777618228688E-4
50	0.00908218279246853	3.1602636485566306E-4	8.519273983509379E-4	1.0817081036641433E-4	9.14090662632816E-4	8.944121430490364E-5	0.03541252526132865	5.569777808589786E-4
51	0.008608866938118354	2.839919061584387E-4	9.896697624895978E-4	5.086993365971445E-5	8.489739937829199E-4	7.16943622903976E-5	0.03227916983924928	4.308895634858562E-4
52	0.007335572450728023	2.592647207584754E-4	9.458114585356725E-4	8.705032819654611E-5	7.827880550763666E-4	8.303240007887316E-5	0.029162384938047126	4.558431130362111E-4
53	0.0070423696936572355	2.418166650679464E-4	8.145088853339644E-4	3.700256067827706E-5	9.206956070357819E-4	7.301717634959459E-5	0.026287446667218717	3.600557055070132E-4
54	0.00581977754798757	2.0956199375600994E-4	9.841072853618016E-4	6.696896667715137E-5	9.139164459526228E-4	7.669436956222076E-5	0.023450550144413995	3.639522178911155E-4
55	0.005506091942351077	1.9230325860791964E-4	9.640925756286833E-4	5.0066516092561405E-5	8.945561768314292E-4	6.548161929536888E-5	0.02089959918129125	3.0293057447003196E-4
56	0.0045750652443601325	1.6462189815339565E-4	8.728311250152387E-4	5.553587571951928E-5	7.082285201676086E-4	6.757024733382156E-5	0.018347464043891648	2.9345145457907503E-4
57	0.004222587267868505	1.7507552791042296E-4	8.714596304031375E-4	4.561693511486703E-5	9.27400048766458E-4	6.366847361682915E-5	0.016206747775996178	2.9442299506680746E-4
58	0.00332760822103495	1.4500954737752713E-4	8.678458130972899E-4	5.569706358645193E-5	8.115534760690934E-4	7.571141712589259E-5	0.013740601686961895	2.785210108474596E-4
59	0.003099300242027425	1.4070713426076693E-4	9.89208211102266E-4	4.911768475941778E-5	9.189540330112322E-4	5.927948050242831E-5	0.011650103403837875	2.328904962169661E-4
60	0.0021569664865204174	1.0774876019130766E-4	9.568420193488691E-4	6.5576581851047E-5	9.1609339515486E-4	7.685631698713174E-5	0.009409888075644801	2.2220419720453088E-4
61	0.0019806447781078873	9.776468087116195E-5	8.955272811874693E-4	4.552624875850269E-5	7.4825074255358E-4	5.5750167487747345E-5	0.00730366242019187	1.7060155118670878E-4
62	0.0011397087616273893	7.192483017515014E-5	9.193761780750265E-4	6.847396234118978E-5	5.157935262971591E-4	4.674849013334591E-5	0.005068977485862547	1.4848288721800874E-4
63	8.87608759377656E-4	5.5265600735397645E-5	8.842821447601068E-4	4.711352741507605E-5	3.4478101397894534E-4	4.6370452788596146E-5	0.0030680302674142013	1.0868254260791445E-4
64	9.80257686585162E-4	5.613199954410316E-5	2.642783094088941E-4	2.508497192054576E-5	3.4478101397894534E-4	4.6370452788596146E-5	0.001276826668068054	5.9684921131803306E-5
65	9.406213061922131E-4	4.703939471934444E-5	2.642783094088941E-4	2.89710525933082E-5	3.4478101397894534E-4	4.436883282031526E-5	6.275465993610396E-4	5.3865130384790726E-5
66	6.169807735503241E-4	4.28009698078531E-5	2.642783094088941E-4	2.89710525933082E-5	3.4478101397894534E-4	4.436883282031526E-5	6.275465993610396E-4	5.3865130384790726E-5
67	6.169807735503241E-4	4.28009698078531E-5	2.642783094088941E-4	2.89710525933082E-5	3.4478101397894534E-4	4.436883282031526E-5	6.275465993610396E-4	5.3865130384790726E-5
68	6.169807735503241E-4	4.28009698078531E-5	2.642783094088941E-4	2.89710525933082E-5	3.4478101397894534E-4	4.436883282031526E-5	6.275465993610396E-4	5.3865130384790726E-5
