source 	 destination 	 flow 	 cost(min)
15	22	18409.54323	9.087625428
16	10	11072.74694	20.23473684
4	3	14030.52897	4.271265285
7	8	12101.28024	5.551950434
10	9	21814.43015	5.717419802
19	15	19116.71439	4.335528027
14	11	9814.172959	13.84306184
6	2	5991.827577	6.599591219
12	3	9973.909764	4.019792094
17	16	11683.00769	9.470729689
22	21	8606.921493	4.200572792
5	4	18030.52897	2.317069981
11	10	17604.19654	12.20321036
22	20	7000	7.71313
20	22	7000	7.71313
12	13	12287.54784	3.022796117
23	14	8394.486819	9.06496884
1	2	4494.487629	6.000816114
5	9	15781.16275	9.65175955
3	1	8094.487629	4.008585932
8	6	12525.44243	14.8236018
15	14	9079.797937	12.37453215
21	22	8618.926604	4.212876121
20	18	18994.74636	4.260353842
22	15	18385.82786	9.056317413
10	17	8100	16.30801715
24	21	10259.50188	11.75250148
8	7	12040.45731	5.501029935
8	16	8388.620558	10.72922081
17	10	8100	16.30801715
13	12	12379.11004	3.023483223
23	22	9626.114263	12.24280988
17	19	9953.031306	7.436648373
4	5	18006.56035	2.315387371
9	10	21744.8319	5.682906048
14	15	9036.277547	12.23415792
19	20	8687.630639	9.457212964
7	18	15796.45844	2.062264272
10	11	17726.477	12.40544208
16	17	11694.11088	9.499170064
22	23	9661.834745	12.36584191
9	5	15796.91411	9.670359281
20	19	8709.78992	9.513104555
18	20	18978.94264	4.25948846
24	13	11112.45216	17.61730224
15	10	23192.70154	13.81212387
3	12	10022.35654	4.020179453
19	17	9941.928113	7.412429331
10	16	11046.89495	20.08365141
16	8	8406.646159	10.77862392
18	7	15857.28138	2.063228799
6	5	8806.476639	10.02064232
11	12	8365.191292	13.58988516
15	19	19083.45191	4.326257154
21	20	6240.575277	8.082423434
14	23	8400.296652	9.079005283
18	16	15335.20367	3.16591263
16	18	15280.22288	3.163546032
11	14	9776.462402	13.69264533
4	11	5200	7.13330048
9	8	6836.330847	15.03676389
24	23	7861.388078	3.722556537
5	6	8798.259389	9.998202504
8	9	6882.483968	15.17416337
13	24	11120.88996	17.65870838
21	24	10309.53377	11.92448561
2	1	4518.965792	6.000834039
12	11	8405.200277	13.73613363
10	15	23126.67483	13.72354249
3	4	14006.56035	4.269416399
20	21	6302.612278	8.16647111
23	24	7902.918393	3.759245834
1	3	8118.965792	4.008690261
6	8	12492.74702	14.69023034
2	6	5967.349414	6.573611987
11	4	5300	7.223024555
