source 	 destination 	 fft 	 flow 	 cost(min)
13	24	4.0	22537.10312815763	234.37949761672374
14	11	4.0	15257.249394856788	61.49371411241167
5	9	5.0	20859.945348942096	19.200836541703403
11	10	5.0	12626.608165726197	6.906373872625565
10	11	5.0	33049.02052448244	94.47374893906265
7	8	3.0	22935.59247704001	35.92962727724954
9	8	10.0	10710.50032675561	40.345782323011946
8	9	10.0	31485.40744882702	2276.191333383558
9	5	5.0	35442.92994851724	123.3531248190318
16	8	5.0	16214.595483445495	84.97566000300574
24	13	4.0	30929.8531584231	821.2649835020754
11	14	4.0	36262.45121562552	1838.6110892456506
8	7	3.0	18486.783561793454	16.899282695495344
8	16	5.0	20743.48843104794	219.22025535623177
