source	destination	fft(min)	flow	cost(min)
11	10	5.0	17604.13	12.203101666666667
11	12	6.0	8365.6431	13.591525
22	20	5.0	7000.0	7.71313
22	21	2.0	8606.4874	4.200128333333334
11	14	4.0	9776.2923	13.69197
22	23	4.0	9661.7355	12.365498333333333
16	8	5.0	8406.6171	10.778543333333333
16	10	4.0	11072.7434	20.234716666666667
5	4	2.0	18030.8545	2.3170933333333332
5	6	4.0	8798.2889	9.998283333333333
5	9	5.0	15780.6573	9.651163333333333
16	17	2.0	11693.8312	9.498453333333334
16	18	3.0	15281.1925	3.1635883333333332
10	9	3.0	21815.0004	5.717703333333334
10	11	5.0	17726.4986	12.405478333333333
21	20	6.0	6240.9335	8.082901666666666
21	22	2.0	8618.8331	4.21278
10	15	6.0	23126.1295	13.722813333333333
10	16	4.0	11046.7886	20.083031666666667
21	24	3.0	10309.4182	11.924085
10	17	8.0	8100.0	16.308016666666667
15	10	6.0	23193.3989	13.813063333333334
4	3	4.0	14030.8545	4.27129
4	5	2.0	18006.0994	2.315355
15	14	5.0	9079.7322	12.374318333333333
4	11	6.0	5200.0	7.1333
15	19	3.0	19082.9361	4.326113333333334
9	5	5.0	15797.2178	9.670718333333333
15	22	3.0	18408.9866	9.086888333333333
9	8	10.0	6836.5125	15.0373
9	10	3.0	21744.1448	5.682566666666666
20	18	4.0	18995.7029	4.2604066666666665
20	19	4.0	8709.5023	9.512376666666666
20	21	6.0	6302.9307	8.166908333333334
20	22	5.0	7000.0	7.71313
3	1	4.0	8094.5404	4.008586666666667
14	11	4.0	9814.5013	13.844378333333333
3	4	4.0	14006.0994	4.269381666666667
14	15	5.0	9036.3385	12.234353333333333
3	12	4.0	10022.6155	4.020181666666667
8	6	2.0	12525.3978	14.823418333333333
8	7	3.0	12040.801	5.501315
14	23	4.0	8399.824	9.077861666666667
19	15	3.0	19116.7107	4.3355266666666665
8	9	10.0	6882.2174	15.173361666666667
19	17	2.0	9941.8971	7.4123616666666665
19	20	4.0	8687.008	9.455648333333333
24	13	4.0	11111.7413	17.613818333333334
8	16	5.0	8388.5409	10.729003333333333
2	1	6.0	4518.9142	6.0008333333333335
13	12	3.0	12378.5522	3.0234783333333333
24	21	3.0	10259.7666	11.753405
2	6	5.0	5967.3872	6.573651666666667
18	7	2.0	15858.2396	2.0632433333333333
24	23	2.0	7861.6812	3.7228133333333333
7	8	3.0	12100.998	5.551711666666667
13	24	4.0	11121.4478	17.66145
18	16	3.0	15336.5039	3.1659683333333333
12	3	4.0	9973.4866	4.0197883333333335
18	20	4.0	18980.1944	4.259556666666667
23	14	4.0	8394.6393	9.065336666666667
1	2	6.0	4494.5404	6.000816666666666
7	18	2.0	15798.0425	2.06229
1	3	4.0	8118.9142	4.00869
12	11	6.0	8405.0656	13.735638333333334
12	13	3.0	12288.2587	3.0228016666666666
23	22	4.0	9626.2783	12.243371666666667
23	24	2.0	7902.3232	3.7587166666666665
6	2	5.0	5991.761	6.59952
17	10	8.0	8100.0	16.308016666666667
6	5	4.0	8806.4836	10.020661666666667
6	8	2.0	12492.8293	14.690565
17	16	2.0	11682.5508	9.469561666666667
17	19	2.0	9953.1775	7.436968333333334
11	4	6.0	5300.0	7.223025
22	15	3.0	18385.875	9.05638
