source 	 destination 	 fft 	 centralized flow 	 DSTAP flow 	 difference
13	24	4.0	22537.10312815763	18317.76914041058	4219.33398774705
14	11	4.0	15257.249394856788	4926.348301495176	10330.901093361612
5	9	5.0	20859.945348942096	6792.520311902671	14067.425037039426
11	10	5.0	12626.608165726197	11451.143800609312	1175.4643651168844
10	11	5.0	33049.02052448244	22396.544279108417	10652.476245374022
7	8	3.0	22935.59247704001	15380.017505122572	7555.574971917436
9	8	10.0	10710.50032675561	3638.84884142299	7071.651485332619
8	9	10.0	31485.40744882702	22385.75292710246	9099.654521724558
9	5	5.0	35442.92994851724	25539.782143827742	9903.147804689495
16	8	5.0	16214.595483445495	14464.143043693468	1750.4524397520272
24	13	4.0	30929.8531584231	21158.868562196712	9770.984596226386
11	14	4.0	36262.45121562552	22451.871325568653	13810.57989005687
8	7	3.0	18486.783561793454	9598.882233132987	8887.901328660468
8	16	5.0	20743.48843104794	16306.612938141116	4436.875492906824
