source 	 dest 	 fft_centralized 	 fft_DSTAP 	 flow_Centralized 	 flow_DSTAP	Cost_centralized	Cost_DSTAP
11	10	5.0	5.0	17604.13	12626.608165726197	12.203101666666667	6.906373872625565
11	12	6.0	6.0	8365.6431	12646.074268573153	13.591525	45.64191357540526
22	20	5.0	5.0	7000.0	15064.318224017657	7.71313	63.19375331325545
22	21	2.0	2.0	8606.4874	22836.253719974196	4.200128333333334	111.0545552275495
11	14	4.0	4.0	9776.2923	36262.45121562552	13.69197	1838.6110892456506
22	23	4.0	4.0	9661.7355	13346.035714209871	12.365498333333333	34.45652596208295
16	8	5.0	5.0	8406.6171	16214.595483445495	10.778543333333333	84.97566000300574
16	10	4.0	4.0	11072.7434	0.0	20.234716666666667	4.0
5	4	2.0	2.0	18030.8545	38063.62566360338	2.3170933333333332	8.297408548477819
5	6	4.0	4.0	8798.2889	7048.328002648229	9.998283333333333	6.470463845761965
5	9	5.0	5.0	15780.6573	20859.945348942096	9.651163333333333	19.200836541703403
16	17	2.0	2.0	11693.8312	34813.58046290487	9.498453333333334	591.0323376615937
16	18	3.0	3.0	15281.1925	5129.162484244483	3.1635883333333332	3.002076381177406
10	9	3.0	3.0	21815.0004	0.0	5.717703333333334	3.0
10	11	5.0	5.0	17726.4986	33049.02052448244	12.405478333333333	94.47374893906265
21	20	6.0	6.0	6240.9335	16471.387037594104	8.082901666666666	107.06277665317286
21	22	2.0	2.0	8618.8331	14096.062910087436	4.21278	17.8319966714728
10	15	6.0	6.0	23126.1295	26102.586290074974	13.722813333333333	18.534237642367426
10	16	4.0	4.0	11046.7886	0.0	20.083031666666667	4.0
21	24	3.0	3.0	10309.4182	3362.6140296965295	11.924085	3.1010032093784528
10	17	8.0	8.0	8100.0	4552.886075227141	16.308016666666667	8.829286206941198
15	10	6.0	6.0	23193.3989	25101.514787762757	13.813063333333334	16.719227432438153
4	3	4.0	4.0	14030.8545	30426.389224369952	4.27129	9.999287932655943
4	5	2.0	2.0	18006.0994	13402.988406845927	2.315355	2.0968116946890896
15	14	5.0	5.0	9079.7322	19131.541448605316	12.374318333333333	150.35487107338975
4	11	6.0	6.0	5200.0	8124.105424075934	7.1333	12.752022800340661
15	19	3.0	3.0	19082.9361	23982.3169002104	4.326113333333334	6.307992755577368
9	5	5.0	5.0	15797.2178	35442.92994851724	9.670718333333333	123.3531248190318
15	22	3.0	3.0	18408.9866	26562.022613661116	9.086888333333333	29.38277283531977
9	8	10.0	10.0	6836.5125	10710.50032675561	15.0373	40.345782323011946
9	10	3.0	3.0	21744.1448	2800.9771244845556	5.682566666666666	3.0007386173309323
20	18	4.0	4.0	18995.7029	33267.404161601604	4.2604066666666665	6.449659113437805
20	19	4.0	4.0	8709.5023	13945.72817088105	9.512376666666666	40.235169056389935
20	21	6.0	6.0	6302.9307	0.0	8.166908333333334	6.0
20	22	5.0	5.0	7000.0	7276.601246901227	7.71313	8.168055269168853
3	1	4.0	4.0	8094.5404	40956.33542449813	4.008586666666667	9.62748518595789
14	11	4.0	4.0	9814.5013	15257.249394856788	13.844378333333333	61.49371411241167
3	4	4.0	4.0	14006.0994	9881.491979272849	4.269381666666667	4.066740296177762
14	15	5.0	5.0	9036.3385	8157.150389821148	12.234353333333333	9.80378559318869
3	12	4.0	4.0	10022.6155	30299.65092261901	4.020181666666667	5.685700813035156
8	6	2.0	2.0	12525.3978	5679.7384902594085	14.823418333333333	2.5421894761416466
8	7	3.0	3.0	12040.801	18486.783561793454	5.501315	16.899282695495344
14	23	4.0	4.0	8399.824	41252.952720276466	9.077861666666667	2958.066910432226
19	15	3.0	3.0	19116.7107	33346.22480510174	4.3355266666666665	15.364788575374632
