iteration 	 gap
0	NaN
1	0.023948666196133228
2	0.08016469073731514
3	0.08016469073731514
4	0.13496019160325468
5	0.13496019160325468
6	0.16498215749089218
7	0.16498215749089218
8	0.16890310455002144
9	0.16890310455002144
10	0.16539913780675808
11	0.16539913780675808
12	0.16277714273461108
13	0.16277714273461108
14	0.1611766128724228
15	0.1611766128724228
16	0.15717892457210003
17	0.15717892457210003
18	0.1532723370433422
19	0.12968901876786154
20	0.1402408109979869
21	0.11065858662753125
22	0.12255129967845746
23	0.06952120846359944
24	0.07110651022505798
25	0.03514661980550515
26	0.03928031692191092
27	0.0027421957934936625
28	0.004939357383461407
29	0.004939357383461407
30	0.006315800361038848
31	0.006315800361038848
32	0.006950505514443095
33	0.004602461294981652
34	0.004962001242034719
35	4.253301488728045E-4
36	4.858842723389767E-4
37	-2.220446049250313E-16
38	0.0
39	-4.440892098500626E-16
40	0.0
41	0.0
42	-2.220446049250313E-16
43	0.0
44	0.0
45	0.0
46	-2.220446049250313E-16
47	-2.220446049250313E-16
48	2.220446049250313E-16
49	0.0
50	-2.220446049250313E-16
51	-2.220446049250313E-16
52	-2.220446049250313E-16
53	-4.440892098500626E-16
54	-4.440892098500626E-16
55	0.0
56	-4.440892098500626E-16
57	-2.220446049250313E-16
58	-2.220446049250313E-16
59	-2.220446049250313E-16
60	-4.440892098500626E-16
61	-4.440892098500626E-16
62	-4.440892098500626E-16
63	-2.220446049250313E-16
64	-2.220446049250313E-16
65	-2.220446049250313E-16
66	-4.440892098500626E-16
67	-2.220446049250313E-16
68	-2.220446049250313E-16
69	-4.440892098500626E-16
70	-4.440892098500626E-16
71	-4.440892098500626E-16
72	-2.220446049250313E-16
73	-2.220446049250313E-16
74	-4.440892098500626E-16
75	-4.440892098500626E-16
76	-2.220446049250313E-16
77	-4.440892098500626E-16
78	-4.440892098500626E-16
79	-2.220446049250313E-16
80	-4.440892098500626E-16
81	-4.440892098500626E-16
82	-2.220446049250313E-16
83	-4.440892098500626E-16
84	-4.440892098500626E-16
85	-2.220446049250313E-16
86	-4.440892098500626E-16
87	-2.220446049250313E-16
88	-2.220446049250313E-16
89	-2.220446049250313E-16
90	-4.440892098500626E-16
91	-4.440892098500626E-16
92	-4.440892098500626E-16
93	-2.220446049250313E-16
94	-4.440892098500626E-16
95	-8.881784197001252E-16
96	-4.440892098500626E-16
97	-2.220446049250313E-16
98	-4.440892098500626E-16
99	-4.440892098500626E-16
100	-4.440892098500626E-16
101	-4.440892098500626E-16
102	0.0
103	-4.440892098500626E-16
104	-6.661338147750939E-16
105	-4.440892098500626E-16
106	-2.220446049250313E-16
107	-4.440892098500626E-16
108	-4.440892098500626E-16
109	-4.440892098500626E-16
