Origin 	 destination 	 od demand 	 od travel time(min)
1	2	100.0	6.00081615217836
1	3	100.0	4.008690040421561
1	4	500.0	8.278070974155941
1	5	200.0	10.593426050200698
1	6	300.0	12.574468002589246
1	7	500.0	32.766348288283446
1	8	800.0	27.26503280946755
1	9	500.0	20.244589617345337
1	10	1300.0	25.92715655963681
1	11	500.0	15.411371454335832
1	12	200.0	8.028871579400981
1	13	500.0	11.051672972466093
1	14	300.0	29.103342182891634
1	15	500.0	39.649970573547016
1	16	500.0	37.994035919547855
1	17	400.0	42.23517371037724
1	18	100.0	34.82863753911686
1	19	300.0	43.97608434284387
1	20	300.0	39.088194465988046
1	21	100.0	40.46652717969982
1	22	400.0	44.67930731800659
1	23	300.0	32.43593565748691
1	24	100.0	28.713122209244617
2	1	100.0	6.000834000605171
2	3	100.0	10.009524041026733
2	4	200.0	14.278904974761113
2	5	100.0	16.59428661969269
2	6	400.0	6.573651850410886
2	7	200.0	26.765532136105083
2	8	400.0	21.26421665728919
2	9	200.0	26.245450186837328
2	10	600.0	31.9280171291288
2	11	200.0	21.412205454941006
2	12	100.0	14.029705580006153
2	13	300.0	17.052506973071264
2	14	100.0	35.10417618349681
2	15	100.0	45.65085771192582
2	16	400.0	31.993219767369496
2	17	200.0	41.4916724190335
2	19	100.0	42.59975457105988
2	20	100.0	33.08737831380968
2	22	100.0	40.80050831411491
3	1	100.0	4.008586155957328
3	2	100.0	10.009402308135687
3	4	200.0	4.26938093373438
3	5	100.0	6.584736009779139
3	6	300.0	16.583036639907167
3	7	100.0	36.774782714973945
3	8	200.0	31.273583928146063
3	9	100.0	16.235899576923778
3	10	300.0	21.91846651921525
3	11	300.0	11.402681413914271
3	12	200.0	4.02018153897942
3	13	100.0	7.0429829320445325
3	14	100.0	25.09465214247007
3	15	100.0	35.64128053312546
3	16	200.0	42.00204275152269
3	17	100.0	38.22648366995568
3	22	100.0	40.670617277585464
3	23	100.0	28.427245617065346
4	1	500.0	8.279876620745316
4	2	200.0	14.280692772923677
4	3	200.0	4.271290464787989
4	5	500.0	2.3153550760447583
4	6	400.0	12.313638187533376
4	7	400.0	32.505518473227575
4	8	700.0	27.00420299441168
4	9	700.0	11.966518643189396
4	10	1200.0	17.64908558548087
4	11	1400.0	7.133300480179892
4	12	600.0	8.291472003767408
4	13	600.0	11.31427339683252
4	14	500.0	20.825271208735693
4	15	500.0	31.371899599391078
4	16	800.0	37.733206104491984
