source 	 destination 	 fft 	 centralized flow 	 DSTAP flow 	 difference
11	10	5.0	17604.13	16148.25848627789	1455.8715137221116
11	12	6.0	8365.6431	6660.332358289858	1705.310741710141
22	20	5.0	7000.0	5938.355925360165	1061.6440746398348
22	21	2.0	8606.4874	2812.9413551370267	5793.546044862973
16	8	5.0	8406.6171	7645.141370646893	761.4757293531065
5	9	5.0	15780.6573	14014.724066840869	1765.9332331591322
10	11	5.0	17726.4986	16435.8016035823	1290.6969964177006
21	22	2.0	8618.8331	2882.0504307842334	5736.782669215767
21	24	3.0	10309.4182	6307.808305213177	4001.609894786823
15	14	5.0	9079.7322	7509.652335893705	1570.0798641062956
4	11	6.0	5200.0	6556.137140641262	-1356.1371406412618
9	5	5.0	15797.2178	13965.561661971851	1831.6561380281491
15	22	3.0	18408.9866	15751.857135240318	2657.1294647596824
9	8	10.0	6836.5125	1072.206139714167	5764.306360285833
20	22	5.0	7000.0	5798.610850860151	1201.389149139849
14	15	5.0	9036.3385	7471.949284770025	1564.389215229975
8	7	3.0	12040.801	9548.598368483696	2492.202631516304
8	9	10.0	6882.2174	800.0	6082.2174
8	16	5.0	8388.5409	7637.134931094735	751.4059689052647
13	12	3.0	12378.5522	10958.17523371234	1420.3769662876603
24	21	3.0	10259.7666	6324.367657598487	3935.3989424015135
7	8	3.0	12100.998	9458.477558633042	2642.520441366958
12	11	6.0	8405.0656	6638.450334693095	1766.6152653069048
12	13	3.0	12288.2587	10960.918322015925	1327.3403779840755
11	4	6.0	5300.0	6596.068840801372	-1296.068840801372
22	15	3.0	18385.875	15830.837316976998	2555.0376830230016
