source 	 dest 	 fft_centralized 	 fft_DSTAP 	 flow_Centralized 	 flow_DSTAP
11	10	5.0	5.0	17604.13	16148.25848627789
11	12	6.0	6.0	8365.6431	6660.332358289858
22	20	5.0	5.0	7000.0	5938.355925360165
22	21	2.0	2.0	8606.4874	2812.9413551370267
11	14	4.0	4.0	9776.2923	16091.82071544483
22	23	4.0	4.0	9661.7355	17602.421282320745
16	8	5.0	5.0	8406.6171	7645.141370646893
16	10	4.0	4.0	11072.7434	13098.76871623049
5	4	2.0	2.0	18030.8545	18285.692985849637
5	6	4.0	4.0	8798.2889	9864.16639062073
5	9	5.0	5.0	15780.6573	14014.724066840869
16	17	2.0	2.0	11693.8312	13716.554179654635
16	18	3.0	3.0	15281.1925	16333.20886362603
10	9	3.0	3.0	21815.0004	21939.331064427937
10	11	5.0	5.0	17726.4986	16435.8016035823
21	20	6.0	6.0	6240.9335	10213.008616009196
21	22	2.0	2.0	8618.8331	2882.0504307842334
10	15	6.0	6.0	23126.1295	20707.765175439185
10	16	4.0	4.0	11046.7886	12953.481267458059
21	24	3.0	3.0	10309.4182	6307.808305213177
10	17	8.0	8.0	8100.0	8641.944881310277
15	10	6.0	6.0	23193.3989	20910.20969297046
4	3	4.0	4.0	14030.8545	12353.886279590919
4	5	2.0	2.0	18006.0994	18293.395504455104
15	14	5.0	5.0	9079.7322	7509.652335893705
4	11	6.0	6.0	5200.0	6556.137140641262
15	19	3.0	3.0	19082.9361	24700.43819457589
9	5	5.0	5.0	15797.2178	13965.561661971851
15	22	3.0	3.0	18408.9866	15751.857135240318
9	8	10.0	10.0	6836.5125	1072.206139714167
9	10	3.0	3.0	21744.1448	21616.287329582756
20	18	4.0	4.0	18995.7029	15674.879608828514
20	19	4.0	4.0	8709.5023	11319.126532651426
20	21	6.0	6.0	6302.9307	10265.558339271096
20	22	5.0	5.0	7000.0	5798.610850860151
3	1	4.0	4.0	8094.5404	13892.663404656478
14	11	4.0	4.0	9814.5013	15966.091321897347
3	4	4.0	4.0	14006.0994	12421.657098036198
14	15	5.0	5.0	9036.3385	7471.949284770025
3	12	4.0	4.0	10022.6155	9101.71510525743
8	6	2.0	2.0	12525.3978	13378.752558291653
8	7	3.0	3.0	12040.801	9548.598368483696
14	23	4.0	4.0	8399.824	15762.951401569499
19	15	3.0	3.0	19116.7107	24761.605581494165
8	9	10.0	10.0	6882.2174	800.0
19	17	2.0	2.0	9941.8971	11273.611833609177
19	20	4.0	4.0	8687.008	11230.73552768119
24	13	4.0	4.0	11111.7413	14802.212069942841
8	16	5.0	5.0	8388.5409	7637.134931094735
2	1	6.0	6.0	4518.9142	7644.805559960302
13	12	3.0	3.0	12378.5522	10958.17523371234
24	21	3.0	3.0	10259.7666	6324.367657598487
2	6	5.0	5.0	5967.3872	5204.306102726159
18	7	2.0	2.0	15858.2396	14559.03601102081
24	23	2.0	2.0	7861.6812	19054.9178887714
7	8	3.0	3.0	12100.998	9458.477558633042
13	24	4.0	4.0	11121.4478	14904.955158246434
18	16	3.0	3.0	15336.5039	16622.13401974449
12	3	4.0	4.0	9973.4866	9020.854040550657
18	20	4.0	4.0	18980.1944	15576.07526256067
23	14	4.0	4.0	8394.6393	15599.518956898257
1	2	6.0	6.0	4494.5404	7496.173676808236
7	18	2.0	2.0	15798.0425	14649.156820871485
1	3	4.0	4.0	8118.9142	14041.295287808523
12	11	6.0	6.0	8405.0656	6638.450334693095
12	13	3.0	3.0	12288.2587	10960.918322015925
23	22	4.0	4.0	9626.2783	17752.037462910215
23	24	2.0	2.0	7902.3232	19068.734152853067
6	2	5.0	5.0	5991.761	5352.937985878248
17	10	8.0	8.0	8100.0	8804.79976715624
6	5	4.0	4.0	8806.4836	9905.626276884319
6	8	2.0	2.0	12492.8293	13188.660788876008
17	16	2.0	2.0	11682.5508	13580.92291186065
17	19	2.0	2.0	9953.1775	11246.388215557232
11	4	6.0	6.0	5300.0	6596.068840801372
22	15	3.0	3.0	18385.875	15830.837316976998
