source	dest	fft	coef	power	capacity
33800	22153	0.756095	0.92	2.3	31581.0
24836	990	8.602073	0.8	2.3	2400000.0
42786	22542	0.979651	0.12	3.2	112224.0
22748	32346	2.0	1.881291	2.0	24000.0
20413	17781	2.0	1.881291	2.0	24000.0
7285	34378	4.700701	1.572944	2.0	66259.0
15984	13256	4.627618	1.12	2.0	52800.0
26750	10196	2.0	1.881291	2.0	24000.0
28370	37157	3.483956	1.12	2.0	48043.0
17771	13278	4.778038	0.92	2.3	31581.0
18926	18765	2.168486	0.8	2.3	4800000.0
35213	15984	2.0	1.881291	2.0	24000.0
18708	1889	6.683909	0.8	2.3	2400000.0
1889	18708	6.683909	0.8	2.3	2400000.0
28701	4064	11.53146	0.8	2.3	2400000.0
6702	21086	4.670703	0.8	2.3	52800.0
38074	24654	5.484803	2.0	2.35	115200.0
38968	44273	5.260567	1.572944	2.0	66915.0
32088	15979	5.502659	1.572944	2.0	33129.0
12124	41538	5.142595	0.92	2.3	31581.0
990	24836	8.602073	0.8	2.3	2400000.0
41852	16889	0.087665	0.8	2.3	33129.0
7760	34547	2.0	1.881291	2.0	24000.0
32697	39391	4.293933	0.8	2.3	48043.0
990	9092	10.679452	0.8	2.3	2400000.0
17564	20232	9.659514	1.572944	2.0	33129.0
9910	27389	0.226888	1.881291	2.0	31581.0
39063	6639	1.678417	1.572944	2.0	63163.0
7618	25863	3.677336	2.0	2.35	115200.0
3881	32393	8.673183	0.8	2.3	2400000.0
25165	11484	2.0	0.92	2.3	24000.0
33089	22572	6.679132	1.881291	2.0	33129.0
4129	16553	3.063023	0.8	2.3	2400000.0
33532	36200	4.182076	0.92	2.3	31581.0
29354	4212	12.672967	0.8	2.3	2400000.0
20200	24250	1.048767	0.8	2.3	51422.0
152	39900	6.563115	0.8	2.3	2400000.0
16698	19254	5.351029	0.8	2.3	66259.0
37726	4906	11.037631	1.881291	2.0	31581.0
4135	16810	9.983602	0.8	2.3	2400000.0
12668	1565	18.11265	0.8	2.3	2400000.0
35958	21327	0.779719	0.12	3.2	56472.0
10773	9092	4.147216	0.92	2.3	31581.0
18765	18926	2.168486	0.8	2.3	4800000.0
14649	22433	0.252484	0.8	2.3	102759.0
14317	44514	3.032759	1.572944	2.0	66259.0
161	18126	9.258862	0.8	2.3	2400000.0
18402	5144	10.515598	0.92	2.3	31581.0
10806	27770	2.433742	1.881291	2.0	31581.0
6933	10210	6.355166	1.881291	2.0	31581.0
27843	19428	3.092643	1.881291	2.0	31581.0
12787	33076	7.177367	1.881291	2.0	31581.0
31780	20782	2.05551	1.572944	2.0	66259.0
10625	15377	3.967678	0.92	2.3	33457.0
22628	167	12.740338	0.8	2.3	2400000.0
17421	13788	4.385995	1.12	2.0	52800.0
4066	35641	16.466505	0.8	2.3	2400000.0
20413	30819	4.690146	1.881291	2.0	31581.0
24024	10331	4.430029	1.881291	2.0	31581.0
20782	31780	2.05551	0.8	2.3	66259.0
4204	18750	24.897064	0.8	2.3	2400000.0
31903	15048	4.836386	1.572944	2.0	33457.0
10990	1889	7.987804	0.8	2.3	2400000.0
16166	9910	0.111118	0.92	2.3	33017.0
6483	4083	7.963522	0.8	2.3	2400000.0
28447	4017	5.335265	0.8	2.3	2400000.0
5715	2753	6.765522	0.8	2.3	2400000.0
13746	11120	5.256951	1.572944	2.0	31581.0
26378	44569	6.33637	1.12	2.0	51883.0
12375	34797	2.0	0.92	2.3	24000.0
19218	26619	7.044779	0.92	2.3	31581.0
33089	4018	13.384115	0.8	2.3	2400000.0
23232	39774	2.0	1.881291	2.0	24000.0
38095	10990	6.255907	0.92	2.3	31581.0
15048	16895	3.402232	1.881291	2.0	31581.0
21735	43736	4.284501	1.572944	2.0	63163.0
2753	5715	6.765522	0.8	2.3	2400000.0
13746	37559	4.748628	1.881291	2.0	31581.0
18953	766	18.586761	0.8	2.3	2400000.0
38605	41192	4.029135	0.92	2.3	31581.0
9545	15396	1.898008	0.8	2.3	103767.0
44209	42671	9.688375	1.881291	2.0	31581.0
4018	33089	13.384115	0.8	2.3	2400000.0
19254	2701	13.060576	0.8	2.3	2400000.0
12593	17283	3.215444	1.881291	2.0	31581.0
32536	23760	2.521742	1.881291	2.0	31581.0
37990	20381	2.30791	1.572944	2.0	66259.0
23575	1889	5.962518	0.8	2.3	2400000.0
4123	39569	6.580198	0.8	2.3	2400000.0
4080	21298	4.990728	0.8	2.3	2400000.0
1075	6377	1.852007	0.8	2.3	2400000.0
22835	25261	2.549997	0.92	2.3	31581.0
27976	26423	11.10383	0.92	2.3	31581.0
8597	18928	0.429557	1.572944	2.0	31581.0
26750	13065	2.0	1.881291	2.0	24000.0
9910	14671	2.0	1.881291	2.0	24000.0
12398	32667	0.21682	0.8	2.3	102844.0
35753	14036	5.710738	1.12	2.0	103767.0
10879	26130	4.988035	1.881291	2.0	31581.0
17540	19311	7.936297	1.881291	2.0	31581.0
37316	25594	1.231325	0.92	2.3	31581.0
10990	38095	6.255907	0.92	2.3	31581.0
9910	38250	0.184349	1.881291	2.0	31581.0
14671	9910	2.0	0.92	2.3	24000.0
32346	33756	2.0	1.881291	2.0	24000.0
15530	38897	4.54946	1.881291	2.0	31581.0
1559	13201	11.721996	0.8	2.3	2400000.0
25463	27279	4.878876	1.881291	2.0	63163.0
34807	44688	1.667496	0.92	2.3	31581.0
13401	32632	12.814832	1.881291	2.0	31581.0
40428	30354	2.358951	1.881291	2.0	31581.0
165	20368	1.928454	0.8	2.3	2400000.0
31164	28618	6.807048	0.92	2.3	31581.0
24250	20200	1.048767	0.8	2.3	51422.0
19871	29528	5.555346	1.12	2.0	48043.0
22542	42786	0.979651	0.12	3.2	112224.0
33208	20025	6.307969	1.881291	2.0	31581.0
26130	10879	4.988035	0.92	2.3	31581.0
40545	21663	15.784754	1.12	2.0	48043.0
4215	44786	5.596097	0.8	2.3	2400000.0
17283	12593	3.215444	1.881291	2.0	31581.0
16895	15048	3.402232	1.881291	2.0	31581.0
38897	15530	4.54946	0.92	2.3	31581.0
35377	22729	3.054693	0.92	2.3	31581.0
13095	20368	1.379414	0.8	2.3	105600.0
2849	28833	6.999176	0.8	2.3	2400000.0
31818	2874	3.176944	0.8	2.3	2400000.0
10971	158	1.449872	0.8	2.3	2400000.0
18750	4204	24.897064	0.8	2.3	2400000.0
9229	24534	3.671705	1.881291	2.0	31581.0
4906	763	13.937125	0.8	2.3	2400000.0
13065	26750	2.0	1.881291	2.0	24000.0
1889	10990	7.987804	0.8	2.3	2400000.0
13256	1568	6.695045	0.8	2.3	2400000.0
19392	9178	13.114973	0.92	2.3	31581.0
25422	7313	3.944164	1.881291	2.0	31581.0
23034	43066	0.718646	0.12	3.2	169920.0
18519	12593	3.873562	1.881291	2.0	31581.0
24654	38074	5.484803	2.0	2.35	115200.0
39391	32697	4.293933	1.12	2.0	48043.0
36134	25910	3.984797	0.92	2.3	31581.0
